[Name],
On4sOff4s,
[Spatial Fields],
t,
[Data],
t[s],Power[W m^-3]
0,0
0.04040404,767944.934
0.080808081,1535889.868
0.121212121,2303834.802
0.161616162,3071779.736
0.202020202,3839724.67
0.242424242,4607669.604
0.282828283,5375614.538
0.323232323,6143559.472
0.363636364,6911504.406
0.404040404,7679449.34
0.444444444,8447394.275
0.484848485,9215339.209
0.525252525,9983284.143
0.565656566,10751229.08
0.606060606,11519174.01
0.646464646,12287118.94
0.686868687,13055063.88
0.727272727,13823008.81
0.767676768,14590953.75
0.808080808,15358898.68
0.848484848,16126843.62
0.888888889,16894788.55
0.929292929,17662733.48
0.96969697,18430678.42
1.01010101,19198623.35
1.050505051,19966568.29
1.090909091,20734513.22
1.131313131,21502458.15
1.171717172,22270403.09
1.212121212,23038348.02
1.252525253,23806292.96
1.292929293,24574237.89
1.333333333,25342182.82
1.373737374,26110127.76
1.414141414,26878072.69
1.454545455,27646017.63
1.494949495,28413962.56
1.535353535,29181907.49
1.575757576,29949852.43
1.616161616,30717797.36
1.656565657,31485742.3
1.696969697,32253687.23
1.737373737,33021632.16
1.777777778,33789577.1
1.818181818,34557522.03
1.858585859,35325466.97
1.898989899,36093411.9
1.939393939,36861356.83
1.97979798,37629301.77
2.02020202,38397246.7
2.060606061,39165191.64
2.101010101,39933136.57
2.141414141,40701081.5
2.181818182,41469026.44
2.222222222,42236971.37
2.262626263,43004916.31
2.303030303,43772861.24
2.343434343,44540806.17
2.383838384,45308751.11
2.424242424,46076696.04
2.464646465,46844640.98
2.505050505,47612585.91
2.545454545,48380530.85
2.585858586,49148475.78
2.626262626,49916420.71
2.666666667,50684365.65
2.707070707,51452310.58
2.747474747,52220255.52
2.787878788,52988200.45
2.828282828,53756145.38
2.868686869,54524090.32
2.909090909,55292035.25
2.949494949,56059980.19
2.98989899,56827925.12
3.03030303,57595870.05
3.070707071,58363814.99
3.111111111,59131759.92
3.151515152,59899704.86
3.191919192,60667649.79
3.232323232,61435594.72
3.272727273,62203539.66
3.313131313,62971484.59
3.353535354,63739429.53
3.393939394,64507374.46
3.434343434,65275319.39
3.474747475,66043264.33
3.515151515,66811209.26
3.555555556,67579154.2
3.595959596,68347099.13
3.636363636,69115044.06
3.676767677,69882989
3.717171717,70650933.93
3.757575758,71418878.87
3.797979798,72186823.8
3.838383838,72954768.73
3.878787879,73722713.67
3.919191919,74490658.6
3.95959596,75258603.54
4,76026548.47
4.01,76026548.47
9.999,76026548.47
10.001,76026548.47
10.04139394,75258603.54
10.08178788,74490658.6
10.12218182,73722713.67
10.16257576,72954768.73
10.2029697,72186823.8
10.24336364,71418878.87
10.28375758,70650933.93
10.32415152,69882989
10.36454545,69115044.06
10.40493939,68347099.13
10.44533333,67579154.2
10.48572727,66811209.26
10.52612121,66043264.33
10.56651515,65275319.39
10.60690909,64507374.46
10.64730303,63739429.53
10.68769697,62971484.59
10.72809091,62203539.66
10.76848485,61435594.72
10.80887879,60667649.79
10.84927273,59899704.86
10.88966667,59131759.92
10.93006061,58363814.99
10.97045455,57595870.05
11.01084848,56827925.12
11.05124242,56059980.19
11.09163636,55292035.25
11.1320303,54524090.32
11.17242424,53756145.38
11.21281818,52988200.45
11.25321212,52220255.52
11.29360606,51452310.58
11.334,50684365.65
11.37439394,49916420.71
11.41478788,49148475.78
11.45518182,48380530.85
11.49557576,47612585.91
11.5359697,46844640.98
11.57636364,46076696.04
11.61675758,45308751.11
11.65715152,44540806.17
11.69754545,43772861.24
11.73793939,43004916.31
11.77833333,42236971.37
11.81872727,41469026.44
11.85912121,40701081.5
11.89951515,39933136.57
11.93990909,39165191.64
11.98030303,38397246.7
12.02069697,37629301.77
12.06109091,36861356.83
12.10148485,36093411.9
12.14187879,35325466.97
12.18227273,34557522.03
12.22266667,33789577.1
12.26306061,33021632.16
12.30345455,32253687.23
12.34384848,31485742.3
12.38424242,30717797.36
12.42463636,29949852.43
12.4650303,29181907.49
12.50542424,28413962.56
12.54581818,27646017.63
12.58621212,26878072.69
12.62660606,26110127.76
12.667,25342182.82
12.70739394,24574237.89
12.74778788,23806292.96
12.78818182,23038348.02
12.82857576,22270403.09
12.8689697,21502458.15
12.90936364,20734513.22
12.94975758,19966568.29
12.99015152,19198623.35
13.03054545,18430678.42
13.07093939,17662733.48
13.11133333,16894788.55
13.15172727,16126843.62
13.19212121,15358898.68
13.23251515,14590953.75
13.27290909,13823008.81
13.31330303,13055063.88
13.35369697,12287118.94
13.39409091,11519174.01
13.43448485,10751229.08
13.47487879,9983284.143
13.51527273,9215339.209
13.55566667,8447394.275
13.59606061,7679449.34
13.63645455,6911504.406
13.67684848,6143559.472
13.71724242,5375614.538
13.75763636,4607669.604
13.7980303,3839724.67
13.83842424,3071779.736
13.87881818,2303834.802
13.91921212,1535889.868
13.95960606,767944.934
14,0
14.01,0
15,0
