Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
10.8599997000,293.2418520000,307.6708070000,320.0033570000,341.0974120000,339.8166810000,297.9426880000,293.1513370000,0.5181863310,0.2645142380,296.4292910000,0.2112686930,295.6054690000,0.2112686930,295.6054690000,0.1242789780,294.5005490000,0.0354231857,293.5451970000,299.5403750000,297.5132140000,296.7918090000,296.4292910000,295.6201780000,295.1379700000,293.2129820000,295.0975950000,0.1696043460,313.4268800000,305.1947940000,299.5403750000,333.5528560000
10.8699999000,293.2418210000,307.6654660000,319.9943240000,341.0847470000,339.8000180000,297.9406740000,293.1513370000,0.5181863310,0.2645142380,296.4284970000,0.2112686930,295.6048890000,0.2112686930,295.6048890000,0.1242789780,294.5002750000,0.0354231857,293.5451350000,299.5385740000,297.5120540000,296.7909240000,296.4284970000,295.6196590000,295.1376340000,293.2129820000,295.0972900000,0.1696043460,313.4203190000,305.1911620000,299.5385740000,333.5428770000
10.8800001000,293.2417600000,307.6600040000,319.9849850000,341.0716550000,339.7829590000,297.9385680000,293.1513370000,0.5181863310,0.2645142380,296.4277040000,0.2112686930,295.6043090000,0.2112686930,295.6043090000,0.1242789780,294.4999390000,0.0354231857,293.5450740000,299.5367130000,297.5108640000,296.7899780000,296.4277040000,295.6191410000,295.1372680000,293.2129820000,295.0969850000,0.1696043460,313.4136050000,305.1874390000,299.5367130000,333.5325320000
10.8900003000,293.2417300000,307.6543580000,319.9754330000,341.0581050000,339.7654420000,297.9364620000,293.1513370000,0.5181863310,0.2645142380,296.4268800000,0.2112686930,295.6037290000,0.2112686930,295.6037290000,0.1242789780,294.4996340000,0.0354231857,293.5450130000,299.5348210000,297.5096440000,296.7890010000,296.4268800000,295.6185610000,295.1369020000,293.2129820000,295.0966190000,0.1696043460,313.4066470000,305.1835940000,299.5348210000,333.5218200000
10.8999996000,293.2416690000,307.6486210000,319.9656070000,341.0441280000,339.7474670000,297.9342650000,293.1513370000,0.5181863310,0.2645142380,296.4259950000,0.2112686930,295.6030880000,0.2112686930,295.6030880000,0.1242789780,294.4992980000,0.0354231857,293.5449220000,299.5328370000,297.5083620000,296.7880250000,296.4259950000,295.6179810000,295.1365050000,293.2129820000,295.0962520000,0.1696043460,313.3995360000,305.1796260000,299.5328370000,333.5107420000
10.9099998000,293.2416380000,307.6427000000,319.9555360000,341.0297240000,339.7290650000,297.9320680000,293.1513370000,0.5181863310,0.2645142380,296.4251100000,0.2112686930,295.6024480000,0.2112686930,295.6024480000,0.1242789780,294.4989620000,0.0354231857,293.5448300000,299.5307920000,297.5070190000,296.7869570000,296.4251100000,295.6173710000,295.1360780000,293.2129820000,295.0958560000,0.1696043460,313.3922420000,305.1755370000,299.5307920000,333.4992980000
10.9200001000,293.2415770000,307.6366580000,319.9452210000,341.0148930000,339.7102050000,297.9297790000,293.1513370000,0.5181863310,0.2645142380,296.4241940000,0.2112686930,295.6017760000,0.2112686930,295.6017760000,0.1242789780,294.4985960000,0.0354231857,293.5447390000,299.5286870000,297.5056760000,296.7858890000,296.4241940000,295.6167300000,295.1356510000,293.2130130000,295.0954590000,0.1696043460,313.3847350000,305.1713560000,299.5286870000,333.4874880000
10.9300003000,293.2415160000,307.6304930000,319.9346310000,340.9996030000,339.6908870000,297.9274600000,293.1513370000,0.5181863310,0.2645142380,296.4232180000,0.2112686930,295.6010740000,0.2112686930,295.6010740000,0.1242789780,294.4982300000,0.0354231857,293.5446470000,299.5265500000,297.5042720000,296.7847900000,296.4232180000,295.6160580000,295.1351930000,293.2130130000,295.0950320000,0.1696043460,313.3770450000,305.1670530000,299.5265500000,333.4753110000
10.9399996000,293.2414860000,307.6241460000,319.9237980000,340.9838870000,339.6711730000,297.9251100000,293.1513370000,0.5181863310,0.2645142380,296.4222410000,0.2112686930,295.6003720000,0.2112686930,295.6003720000,0.1242789780,294.4978640000,0.0354231857,293.5445560000,299.5243230000,297.5028380000,296.7836610000,296.4222410000,295.6153870000,295.1347350000,293.2130130000,295.0946040000,0.1696043460,313.3691410000,305.1626280000,299.5243230000,333.4627990000
10.9499998000,293.2414250000,307.6177370000,319.9127200000,340.9677430000,339.6509400000,297.9226070000,293.1513370000,0.5181863310,0.2645142380,296.4212340000,0.2112686930,295.5996090000,0.2112686930,295.5996090000,0.1242789780,294.4974670000,0.0354231857,293.5444640000,299.5220640000,297.5013430000,296.7824710000,296.4212340000,295.6146850000,295.1342470000,293.2130130000,295.0941160000,0.1696043460,313.3611150000,305.1580810000,299.5220640000,333.4498900000
