Time [ s ],coil12_Center [K],coil12_nearcoil [K],coil12_oncoil [K]
9.6000003800,298.1592710000,306.1151730000,325.8953250000
9.6999998100,298.1813660000,306.1741640000,326.0556340000
9.8000001900,298.2030640000,306.2321470000,326.2134090000
9.9000005700,298.2243350000,306.2890930000,326.3686520000
10.0000000000,298.2453310000,306.3451230000,326.5214230000
10.1000004000,298.2322080000,306.3114010000,326.4572750000
10.1999998000,298.1728210000,306.1555790000,326.0998840000
10.3000002000,298.0944210000,305.9571230000,325.6392520000
10.4000006000,298.0112610000,305.7479250000,325.1496280000
10.5000000000,297.9273380000,305.5375670000,324.6555790000
10.6000004000,297.8443300000,305.3290100000,324.1651610000
10.6999998000,297.7624820000,305.1234440000,323.6810000000
10.8000002000,297.6820070000,304.9211120000,323.2041020000
10.9000006000,297.6029660000,304.7222600000,322.7344060000
11.0000000000,297.5252380000,304.5266420000,322.2718810000
11.1000004000,297.4489140000,304.3343200000,321.8164670000
11.1999998000,297.3738710000,304.1452330000,321.3680110000
11.3000002000,297.3001100000,303.9593510000,320.9264530000
11.4000006000,297.2277530000,303.7766110000,320.4917300000
11.5000000000,297.1566470000,303.5970150000,320.0636900000
11.6000004000,297.0867610000,303.4203800000,319.6422120000
11.6999998000,297.0181580000,303.2467350000,319.2273250000
11.8000002000,296.9506840000,303.0760500000,318.8189700000
11.9000006000,296.8844600000,302.9082640000,318.4169010000
12.0000000000,296.8193660000,302.7432560000,318.0210880000
