X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Velocity [ m s^-1 ], Velocity w [ m s^-1 ]
0.0000000000,0.0045250002,0.0479932986,298.1499023400,0.0000281370,-0.0000050580
0.0000000000,0.0045410162,0.0479932986,298.1509704600,0.0000626821,-0.0000590125
0.0000000000,0.0045570321,0.0479932986,298.1520996100,0.0001157826,-0.0001148571
0.0000000000,0.0045730481,0.0479932986,298.1532287600,0.0001712566,-0.0001710712
0.0000000000,0.0045890640,0.0479932986,298.1543273900,0.0002274659,-0.0002274616
0.0000000000,0.0046050800,0.0479932986,298.1554870600,0.0002842586,-0.0002842034
0.0000000000,0.0046210960,0.0479932986,298.1566772500,0.0003478421,-0.0003475865
0.0000000000,0.0046371119,0.0479932986,298.1578369100,0.0004099789,-0.0004094451
0.0000000000,0.0046531279,0.0479932986,298.1589660600,0.0004684902,-0.0004676465
0.0000000000,0.0046691438,0.0479932986,298.1600952100,0.0005270310,-0.0005258478
0.0000000000,0.0046851598,0.0479932986,298.1612548800,0.0005845110,-0.0005828436
0.0000000000,0.0047011757,0.0479932986,298.1623840300,0.0006403871,-0.0006379811
0.0000000000,0.0047171917,0.0479932986,298.1635437000,0.0006963303,-0.0006931187
0.0000000000,0.0047332076,0.0479932986,298.1646728500,0.0007529114,-0.0007487753
0.0000000000,0.0047492236,0.0479932986,298.1658020000,0.0008097207,-0.0008045887
0.0000000000,0.0047652395,0.0479932986,298.1669616700,0.0008665726,-0.0008604021
0.0000000000,0.0047812555,0.0479932986,298.1681213400,0.0009234594,-0.0009162156
0.0000000000,0.0047972715,0.0479932986,298.1692504900,0.0009803748,-0.0009720291
0.0000000000,0.0048132874,0.0479932986,298.1704101600,0.0010373141,-0.0010278425
0.0000000000,0.0048293034,0.0479932986,298.1716308600,0.0010981429,-0.0010870903
0.0000000000,0.0048453193,0.0479932986,298.1728210400,0.0011605916,-0.0011477279
0.0000000000,0.0048613353,0.0479932986,298.1740112300,0.0012183288,-0.0012033749
0.0000000000,0.0048773512,0.0479932986,298.1751709000,0.0012736571,-0.0012564183
0.0000000000,0.0048933672,0.0479932986,298.1763000500,0.0013290576,-0.0013094615
0.0000000000,0.0049093831,0.0479932986,298.1774902300,0.0013845221,-0.0013625051
0.0000000000,0.0049253991,0.0479932986,298.1786804200,0.0014400430,-0.0014155486
0.0000000000,0.0049414150,0.0479932986,298.1798400900,0.0014956138,-0.0014685920
