X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Velocity [ m s^-1 ], Velocity w [ m s^-1 ]
0,0.006046516,0.047993299,298.2568054,0.006068561,-0.004741096
0,0.006062532,0.047993299,298.2580872,0.006139741,-0.004770372
0,0.006078548,0.047993299,298.2593994,0.006211845,-0.004798753
0,0.006094564,0.047993299,298.2606812,0.006283963,-0.004827035
0,0.00611058,0.047993299,298.2619324,0.006353317,-0.004852068
0,0.006126596,0.047993299,298.2631836,0.006422753,-0.004875812
0,0.006142612,0.047993299,298.2644653,0.006492538,-0.00490018
0,0.006158628,0.047993299,298.2657471,0.006562611,-0.004924547
0,0.006174644,0.047993299,298.2670288,0.006632966,-0.004948915
0,0.00619066,0.047993299,298.26828,0.00670359,-0.004973283
0,0.006206675,0.047993299,298.2696228,0.006776989,-0.004997525
0,0.006222691,0.047993299,298.2709961,0.006853304,-0.005021484
0,0.006238707,0.047993299,298.2723694,0.006928272,-0.005044672
0,0.006254723,0.047993299,298.2737427,0.007003544,-0.00506786
0,0.006270739,0.047993299,298.2750855,0.007079111,-0.005091047
0,0.006286755,0.047993299,298.2764282,0.007154965,-0.005114235
0,0.006302771,0.047993299,298.2778015,0.007230088,-0.005135712
0,0.006318787,0.047993299,298.2791138,0.007302711,-0.005152423
0,0.006334803,0.047993299,298.2803955,0.007375661,-0.005169134
0,0.006350819,0.047993299,298.2817383,0.007448929,-0.005185846
0,0.006366835,0.047993299,298.2830505,0.007522123,-0.005202218
0,0.006382851,0.047993299,298.2843628,0.007596219,-0.005216643
0,0.006398867,0.047993299,298.2857666,0.007672231,-0.005226929
0,0.006414883,0.047993299,298.2871704,0.007749285,-0.005237981
0,0.006430899,0.047993299,298.2885742,0.007826766,-0.005249064
0,0.006446915,0.047993299,298.2899475,0.007904639,-0.005260147
0,0.006462931,0.047993299,298.2913208,0.007982888,-0.00527123
0,0.006478947,0.047993299,298.2926941,0.008061508,-0.005282313
0,0.006494963,0.047993299,298.2941589,0.008143057,-0.005296571
0,0.006510979,0.047993299,298.2956238,0.008225958,-0.005312103
