 Y [ m ],Tol_4_Velocity [ m s^-1 ], Velocity [ m s^-1 ]
0.01064103,0.53214294,0.53188956
0.01064683,0.53113025,0.53084987
0.01065264,0.53011823,0.52981079
0.01065844,0.52910680,0.52877235
0.01066425,0.52809590,0.52773446
0.01067006,0.52708560,0.52669710
0.01067586,0.52607578,0.52566040
0.01068167,0.52506667,0.52462429
0.01068747,0.52411038,0.52366340
0.01069328,0.52319163,0.52275568
0.01069908,0.52227354,0.52184868
0.01070489,0.52135623,0.52094251
0.01071070,0.52043957,0.52003688
0.01071650,0.51952380,0.51913208
0.01072231,0.51860869,0.51822799
0.01072811,0.51769423,0.51732457
0.01073392,0.51678061,0.51642191
0.01073973,0.51586777,0.51551998
0.01074553,0.51495552,0.51461887
0.01075134,0.51404417,0.51371837
0.01075714,0.51313353,0.51281869
0.01076295,0.51236230,0.51205355
0.01076876,0.51164848,0.51134390
0.01077456,0.51093501,0.51063466
0.01078037,0.51022214,0.50992590
0.01078617,0.50950968,0.50921762
0.01079198,0.50879771,0.50850970
0.01079778,0.50808620,0.50780237
0.01080359,0.50737518,0.50709552
0.01080940,0.50666469,0.50638902
0.01081520,0.50595468,0.50568312
0.01082101,0.50524509,0.50497764
0.01082681,0.50457597,0.50431210
0.01083262,0.50402421,0.50376230
0.01083843,0.50347292,0.50321317
0.01084423,0.50292224,0.50266445
0.01085004,0.50237215,0.50211638
0.01085584,0.50185382,0.50160104
0.01086165,0.50140560,0.50115806
0.01086746,0.50095779,0.50071537
0.01087326,0.50051022,0.50027299
0.01087907,0.50006288,0.49983090
0.01088487,0.49961591,0.49938914
0.01089068,0.49916211,0.49894056
0.01089648,0.49867448,0.49845842
0.01090229,0.49818718,0.49797660
0.01090810,0.49770036,0.49749517
0.01091390,0.49721393,0.49701425
0.01091971,0.49672788,0.49653363
0.01092551,0.49624225,0.49605343
0.01093132,0.49575701,0.49557361
0.01093713,0.49527222,0.49509421
0.01094293,0.49478781,0.49461523
0.01094874,0.49430928,0.49414217
0.01095454,0.49390236,0.49374169
0.01096035,0.49349567,0.49334142
0.01096615,0.49308923,0.49294141
0.01097196,0.49268308,0.49254161
0.01097777,0.49227715,0.49214211
0.01098357,0.49187145,0.49174285
0.01098938,0.49151939,0.49139634
0.01099518,0.49124298,0.49112418
0.01100099,0.49096674,0.49085227
0.01100680,0.49069077,0.49058056
0.01101260,0.49041501,0.49030912
0.01101841,0.49013948,0.49003786
0.01102421,0.48986417,0.48976687
0.01103002,0.48958915,0.48949608
0.01103583,0.48931429,0.48922554
0.01104163,0.48905063,0.48896438
0.01104744,0.48880392,0.48871750
0.01105324,0.48855743,0.48847079
0.01105905,0.48831102,0.48822427
0.01106485,0.48806483,0.48797789
0.01107066,0.48781878,0.48773167
0.01107647,0.48757291,0.48748556
0.01108227,0.48732716,0.48723966
0.01108808,0.48708162,0.48699391
0.01109388,0.48683617,0.48674834
0.01109969,0.48659098,0.48650292
0.01110550,0.48634589,0.48625767
0.01111130,0.48610100,0.48601258
0.01111711,0.48585621,0.48576763
0.01112291,0.48559418,0.48550665
0.01112872,0.48533165,0.48524526
0.01113452,0.48509240,0.48500532
0.01114033,0.48488179,0.48479325
0.01114614,0.48472622,0.48463574
0.01115194,0.48457071,0.48447835
0.01115775,0.48441535,0.48432103
0.01116355,0.48426011,0.48416388
0.01116936,0.48410502,0.48400679
0.01117517,0.48395002,0.48384985
0.01118097,0.48379514,0.48369303
0.01118678,0.48364034,0.48353636
0.01119258,0.48348573,0.48337978
0.01119839,0.48333120,0.48322335
0.01120420,0.48317683,0.48306698
0.01121000,0.48302260,0.48291081
0.01121581,0.48286840,0.48275471
0.01122161,0.48271284,0.48259726
0.01122742,0.48255479,0.48243737
0.01123322,0.48239681,0.48227760
0.01123903,0.48223895,0.48211792
0.01124484,0.48208120,0.48195833
0.01125064,0.48192349,0.48179886
0.01125645,0.48176590,0.48163947
0.01126225,0.48160842,0.48148018
0.01126806,0.48145103,0.48132101
0.01127387,0.48130083,0.48116907
0.01127967,0.48120329,0.48107073
0.01128548,0.48110577,0.48097244
0.01129128,0.48100838,0.48087421
0.01129709,0.48091102,0.48077610
0.01130289,0.48081371,0.48067802
