 Y [ m ], Velocity [ m s^-1 ], Velocity [ m s^-1 ]
0.01100099,2.61904645,2.61486459
0.0110068,2.6178875,2.61351991
0.0110126,2.61673021,2.6121769
0.01101841,2.61557484,2.61083555
0.01102421,2.61434388,2.60941792
0.01103002,2.61290097,2.60778284
0.01103583,2.61145949,2.60614991
0.01104163,2.61001945,2.60451818
0.01104744,2.60833311,2.60279512
0.01105324,2.60655499,2.60103822
0.01105905,2.60477781,2.5992825
0.01106485,2.60300183,2.5975275
0.01107066,2.60122705,2.59577417
0.01107647,2.59948778,2.59407878
0.01108227,2.59775329,2.59239101
0.01108808,2.59602046,2.5907042
0.01109388,2.59428906,2.5890193
0.01109969,2.59255934,2.58733559
0.0111055,2.5908308,2.58565378
0.0111113,2.58910394,2.58397317
0.01111711,2.5873785,2.58229399
0.01112291,2.58565474,2.580616
0.01112872,2.58393216,2.57893944
0.01113452,2.58237982,2.57747316
0.01114033,2.58083773,2.57601953
0.01114614,2.57929635,2.57456684
0.01115194,2.5777564,2.57311487
0.01115775,2.57621717,2.57166433
0.01116355,2.57467866,2.57021427
0.01116936,2.57307339,2.56869864
0.01117517,2.571316,2.56703615
0.01118097,2.56955981,2.56537414
0.01118678,2.56780458,2.56371307
0.01119258,2.56605077,2.56205344
0.01119839,2.56429744,2.56039453
0.0112042,2.5625453,2.55873656
0.01121,2.56079435,2.55708003
0.01121581,2.55917883,2.55556512
0.01122161,2.55757952,2.5540669
0.01122742,2.55598068,2.55256963
0.01123322,2.55438304,2.55107331
0.01123903,2.55278587,2.54957771
0.01124484,2.5511899,2.54808307
0.01125064,2.54961538,2.54660892
0.01125645,2.54822707,2.54531169
0.01126225,2.54683924,2.54401517
0.01126806,2.54545259,2.5427196
0.01127387,2.54406667,2.54142499
0.01127967,2.54268169,2.54013133
0.01128548,2.54129767,2.53883815
0.01129128,2.53991461,2.5375464
0.01129709,2.53853226,2.53625536
0.01130289,2.53718615,2.53499484
0.0113087,2.53603482,2.53389883
0.01131451,2.53488398,2.53280354
0.01132031,2.53373384,2.53170896
0.01132612,2.53258443,2.53061509
0.01133192,2.53143573,2.52952147
0.01133773,2.53028774,2.52842879
0.01134354,2.52914023,2.52733684
0.01134934,2.52799344,2.52624536
0.01135515,2.52684712,2.52515459
0.01136095,2.52570176,2.52406454
0.01136676,2.52450132,2.52292347
0.01137257,2.52320528,2.5216949
0.01137837,2.52190995,2.52046657
0.01138418,2.5206151,2.51923895
0.01138998,2.51932144,2.51801181
0.01139579,2.51807761,2.51682734
0.01140159,2.51707935,2.51584911
0.0114074,2.51608205,2.51487231
0.01141321,2.51508546,2.51389527
0.01141901,2.51408887,2.51291919
0.01142482,2.51309371,2.51194358
0.01143062,2.51215076,2.51102066
0.01143643,2.51122022,2.5101099
0.01144224,2.51029038,2.50919962
0.01144804,2.50936151,2.50829029
0.01145385,2.50843287,2.5073812
0.01145965,2.5075047,2.50647283
0.01146546,2.50657749,2.50556493
