 Y [ m ], Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.01082101,1.27771246,1.28488767
0.01082681,1.28115058,1.28825295
0.01083262,1.28459072,1.29162025
0.01083843,1.28803265,1.29498935
0.01084423,1.29147673,1.29836035
0.01085004,1.29492259,1.30173337
0.01085584,1.29837048,1.30510819
0.01086165,1.30182028,1.30848503
0.01086746,1.30527186,1.31186366
0.01087326,1.30872560,1.31524396
0.01087907,1.31217670,1.31862211
0.01088487,1.31417465,1.32041216
0.01089068,1.31606281,1.32207048
0.01089648,1.31788731,1.32365215
0.01090229,1.31971276,1.32523489
0.0109081,1.32153940,1.3268187
0.0109139,1.32336700,1.32840359
0.01091971,1.32519567,1.32998955
0.01092551,1.32702565,1.33157659
0.01093132,1.32885647,1.33316457
0.01093713,1.33068848,1.33475375
0.01094293,1.33252144,1.33634388
0.01094874,1.33435547,1.33793545
0.01095454,1.33615911,1.3394959
0.01096035,1.33709204,1.340186
0.01096615,1.33802593,1.3408767
0.01097196,1.33895993,1.34156799
0.01097777,1.33989501,1.34226012
0.01098357,1.34083056,1.34295261
0.01098938,1.34176672,1.34364593
0.01099518,1.34270346,1.34433985
0.01100099,1.34364092,1.34503448
0.0110068,1.34457886,1.34572947
0.0110126,1.34551775,1.34642541
0.01101841,1.34645689,1.34712195
0.01102421,1.34736550,1.34779179
0.01103002,1.34818697,1.34838617
0.01103583,1.34900904,1.34898114
0.01104163,1.34983170,1.34957671
0.01104744,1.35010111,1.34965909
0.01105324,1.35016167,1.34954786
0.01105905,1.35022283,1.34943688
0.01106485,1.35028434,1.34932661
0.01107066,1.35034633,1.3492167
0.01107647,1.35037553,1.34909081
0.01108227,1.35040164,1.34896338
0.01108808,1.35042810,1.34883654
0.01109388,1.35045516,1.34871042
0.01109969,1.35048294,1.34858465
0.0111055,1.35051119,1.34845972
0.0111113,1.35053980,1.34833515
0.01111711,1.35056925,1.34821117
0.01112291,1.35059905,1.34808779
0.01112872,1.35062933,1.34796488
0.01113452,1.35024667,1.34750581
0.01114033,1.34984112,1.34702837
0.01114614,1.34943593,1.34655118
0.01115194,1.34903133,1.34607446
0.01115775,1.34862721,1.3455981
0.01116355,1.34822321,1.34512222
0.01116936,1.34780765,1.34463108
0.01117517,1.34736443,1.34410548
