Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
6.8000001900,293.3420410000,310.4679570000,328.0593570000,358.4186400000,352.7782900000,298.8859250000,293.1176760000,0.5181863310,0.2645142080,324.3588260000,0.2112686630,323.5822450000,0.2112686630,323.5822450000,0.1242789700,319.0408020000,0.0354234874,303.0583190000,324.7378850000,324.6205750000,324.4956670000,324.3588260000,321.1626280000,317.4338070000,293.9744570000,316.9808350000,0.1696041970,322.0971980000,324.7874760000,324.7378850000,360.8578190000
6.8099999400,293.3422550000,310.4909360000,328.1075130000,358.5115360000,352.8585820000,298.8929750000,293.1176450000,0.5181863310,0.2645142080,324.4031370000,0.2112686630,323.6256100000,0.2112686630,323.6256100000,0.1242789700,319.0778200000,0.0354234837,303.0726320000,324.7820130000,324.6647950000,324.5399780000,324.4031370000,321.2027280000,317.4689030000,293.9758000000,317.0153810000,0.1696041970,322.1370540000,324.8314820000,324.7820130000,360.9540410000
6.8200001700,293.3424680000,310.5138850000,328.1556400000,358.6043400000,352.9387820000,298.9000240000,293.1176150000,0.5181863310,0.2645142080,324.4474180000,0.2112686630,323.6689450000,0.2112686630,323.6689450000,0.1242789700,319.1148380000,0.0354234762,303.0869750000,324.8261110000,324.7090150000,324.5842590000,324.4474180000,321.2427980000,317.5039980000,293.9771420000,317.0498660000,0.1696041970,322.1768800000,324.8754270000,324.8261110000,361.0502010000
6.8299999200,293.3426820000,310.5368650000,328.2037050000,358.6971130000,353.0189210000,298.9070430000,293.1175540000,0.5181863310,0.2645142080,324.4916690000,0.2112686630,323.7122190000,0.2112686630,323.7122190000,0.1242789700,319.1518250000,0.0354234725,303.1012570000,324.8701780000,324.7531740000,324.6285100000,324.4916690000,321.2828370000,317.5390630000,293.9784850000,317.0843200000,0.1696041970,322.2166750000,324.9193420000,324.8701780000,361.1463320000
6.8400001500,293.3428960000,310.5597840000,328.2517400000,358.7897950000,353.0989990000,298.9140630000,293.1175230000,0.5181863310,0.2645142080,324.5358890000,0.2112686630,323.7554930000,0.2112686630,323.7554930000,0.1242789700,319.1887510000,0.0354234688,303.1155700000,324.9142150000,324.7972720000,324.6727290000,324.5358890000,321.3228150000,317.5740970000,293.9797970000,317.1187740000,0.1696041970,322.2564700000,324.9632260000,324.9142150000,361.2423710000
6.8499999000,293.3431090000,310.5826720000,328.2997440000,358.8824460000,353.1790160000,298.9210820000,293.1174930000,0.5181863310,0.2645142080,324.5800480000,0.2112686630,323.7987060000,0.2112686630,323.7987060000,0.1242789700,319.2256770000,0.0354234651,303.1298520000,324.9581910000,324.8413700000,324.7168880000,324.5800480000,321.3627930000,317.6091000000,293.9811400000,317.1531980000,0.1696041970,322.2962040000,325.0070800000,324.9581910000,361.3383180000
6.8600001300,293.3433230000,310.6055600000,328.3477170000,358.9750370000,353.2589420000,298.9280700000,293.1174620000,0.5181863310,0.2645142080,324.6242070000,0.2112686630,323.8418880000,0.2112686630,323.8418880000,0.1242789700,319.2625730000,0.0354234613,303.1441350000,325.0021670000,324.8854370000,324.7610470000,324.6242070000,321.4027400000,317.6441040000,293.9824830000,317.1875920000,0.1696041970,322.3359070000,325.0509030000,325.0021670000,361.4342650000
6.8699998900,293.3435360000,310.6284480000,328.3956600000,359.0675350000,353.3388060000,298.9350890000,293.1174320000,0.5181863310,0.2645142080,324.6683350000,0.2112686630,323.8850710000,0.2112686630,323.8850710000,0.1242789700,319.2994380000,0.0354234576,303.1583860000,325.0461120000,324.9294740000,324.8051450000,324.6683350000,321.4426570000,317.6790470000,293.9838260000,317.2219540000,0.1696042120,322.3755800000,325.0946960000,325.0461120000,361.5300900000
6.8800001100,293.3437500000,310.6512760000,328.4435420000,359.1600040000,353.4186100000,298.9420780000,293.1173710000,0.5181863310,0.2645142080,324.7124020000,0.2112686630,323.9281920000,0.2112686630,323.9281920000,0.1242789700,319.3362730000,0.0354234502,303.1726380000,325.0899960000,324.9734500000,324.8492430000,324.7124020000,321.4825440000,317.7139590000,293.9851680000,317.2562870000,0.1696042120,322.4152220000,325.1384580000,325.0899960000,361.6258850000
6.8899998700,293.3439640000,310.6741030000,328.4913940000,359.2524110000,353.4983520000,298.9490360000,293.1173400000,0.5181863310,0.2645142080,324.7564390000,0.2112686630,323.9712830000,0.2112686630,323.9712830000,0.1242789700,319.3730770000,0.0354234464,303.1868900000,325.1338810000,325.0174260000,324.8932800000,324.7564390000,321.5224000000,317.7488710000,293.9865110000,317.2906190000,0.1696042120,322.4548650000,325.1821900000,325.1338810000,361.7216190000
