 Y [ m ],Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.01086746,1.91225696,1.91263914
0.01087326,1.91179681,1.91217661
0.01087907,1.91133726,1.9117142
0.01088487,1.91087747,1.9112519
0.01089068,1.9104147,1.91078627
0.01089648,1.90993607,1.91030312
0.01090229,1.9094578,1.90982008
0.0109081,1.90897954,1.9093374
0.0109139,1.90850163,1.9088546
0.01091971,1.90802383,1.9083724
0.01092551,1.9075464,1.9078902
0.01093132,1.90706921,1.90740848
0.01093713,1.90659213,1.90692675
0.01094293,1.90611517,1.90644526
0.01094874,1.90564096,1.9059664
0.01095454,1.9051981,1.9055208
0.01096035,1.90475559,1.90507519
0.01096615,1.90431309,1.90462983
0.01097196,1.90387082,1.90418446
0.01097777,1.90342855,1.90373945
0.01098357,1.90298653,1.90329444
0.01098938,1.90260231,1.90290868
0.01099518,1.90229928,1.90260625
0.01100099,1.90199625,1.90230417
0.0110068,1.9016937,1.90200198
0.0110126,1.90139115,1.9016999
0.01101841,1.9010886,1.90139818
0.01102421,1.90078628,1.90109634
0.01103002,1.9004842,1.90079463
0.01103583,1.90018201,1.90049338
0.01104163,1.89988995,1.90019751
0.01104744,1.89961302,1.89991057
0.01105324,1.89933622,1.89962351
0.01105905,1.89905953,1.89933634
0.01106485,1.89878297,1.89904952
0.01107066,1.8985064,1.8987627
0.01107647,1.89822984,1.89847612
0.01108227,1.89795351,1.89818954
0.01108808,1.89767742,1.89790308
0.01109388,1.89740133,1.89761662
0.01109969,1.89712524,1.8973304
0.0111055,1.89684927,1.89704418
0.0111113,1.89657354,1.8967582
0.01111711,1.89629769,1.89647233
0.01112291,1.89600921,1.89617634
0.01112872,1.89572036,1.89587998
0.01113452,1.89544046,1.89559126
0.01114033,1.89519203,1.89533436
0.01114614,1.89501405,1.89515042
0.01115194,1.89483583,1.89496624
0.01115775,1.89465773,1.8947823
0.01116355,1.89447987,1.8945986
0.01116936,1.89430225,1.89441466
0.01117517,1.89412427,1.89423096
0.01118097,1.89394665,1.89404738
0.01118678,1.89376915,1.8938638
0.01119258,1.89359164,1.89368033
0.01119839,1.89341426,1.89349699
0.0112042,1.89323676,1.89331365
0.01121,1.89305961,1.89313054
0.01121581,1.89288235,1.89294744
0.01122161,1.89269602,1.89275563
0.01122742,1.89249396,1.89254963
0.01123322,1.8922919,1.8923434
0.01123903,1.89208996,1.89213729
0.01124484,1.89188814,1.89193165
0.01125064,1.89168632,1.89172554
0.01125645,1.8914845,1.89151978
0.01126225,1.89128268,1.89131391
0.01126806,1.89108121,1.89110827
0.01127387,1.89088917,1.89091253
0.01127967,1.89076686,1.89078915
0.01128548,1.89064455,1.89066577
0.01129128,1.89052236,1.89054263
0.01129709,1.89040029,1.89041924
0.01130289,1.89027822,1.8902961
0.0113087,1.89014041,1.89015687
0.01131451,1.88998532,1.89000022
0.01132031,1.88983023,1.8898437
0.01132612,1.88967562,1.88968718
0.01133192,1.88952076,1.88953066
0.01133773,1.88936603,1.88937449
0.01134354,1.88921118,1.88921785
0.01134934,1.88905644,1.88906169
0.01135515,1.88890183,1.88890529
0.01136095,1.88874733,1.88874912
0.01136676,1.88859284,1.88859296
0.01137257,1.88843834,1.88843691
0.01137837,1.88828397,1.88828099
0.01138418,1.88816786,1.88816476
0.01138998,1.88807189,1.88806891
0.01139579,1.88796353,1.887959
0.01140159,1.88785124,1.8878442
0.0114074,1.88773942,1.88772964
0.01141321,1.88762712,1.88761508
0.01141901,1.88751507,1.88750064
0.01142482,1.88740325,1.88738608
0.01143062,1.88729107,1.88727176
0.01143643,1.88717914,1.88715744
0.01144224,1.8870672,1.88704312
0.01144804,1.88695538,1.88692868
0.01145385,1.88684368,1.88681448
0.01145965,1.88673198,1.88670039
0.01146546,1.88662028,1.88658607
0.01147126,1.88650954,1.88647318
0.01147707,1.88640296,1.88636422
0.01148288,1.88629591,1.88625467
0.01148868,1.88621318,1.88616884
0.01149449,1.88613057,1.88608301
0.01150029,1.88604796,1.88599706
0.0115061,1.88596535,1.88591146
0.01151191,1.88588285,1.88582575
0.01151771,1.88580024,1.88574016
0.01152352,1.88571799,1.88565433
0.01152932,1.88563573,1.88556862
0.01153513,1.88555312,1.88548315
0.01154094,1.88547087,1.88539767
0.01154674,1.88538849,1.8853122
0.01155255,1.88530624,1.88522673
0.01155835,1.88522422,1.88514125
0.01156416,1.88514185,1.88505578
0.01156996,1.88505971,1.88497055
0.01157577,1.88497329,1.8848803
0.01158158,1.88487661,1.88477933
0.01158738,1.88477969,1.88467801
0.01159319,1.88468289,1.88457668
0.01159899,1.88461125,1.88450146
0.0116048,1.88454747,1.88443434
0.01161061,1.88448334,1.88436711
0.01161641,1.88441968,1.88429987
0.01162222,1.88435602,1.88423264
0.01162802,1.88429213,1.88416576
0.01163383,1.88422835,1.88409877
0.01163964,1.88416457,1.88403153
0.01164544,1.88410103,1.88396454
0.01165125,1.88403726,1.88389754
0.01165705,1.88397372,1.88383067
0.01166286,1.8839016,1.88375616
0.01166866,1.88382888,1.88368118
0.01167447,1.88375616,1.88360596
0.01168028,1.88368344,1.88353097
0.01168608,1.88361084,1.88345587
0.01169189,1.88353813,1.88338089
0.01169769,1.88346529,1.88330603
0.0117035,1.88339269,1.88323116
0.01170931,1.88332009,1.8831563
0.01171511,1.88324773,1.88308156
0.01172092,1.88319778,1.88303053
0.01172672,1.88315463,1.8829869
0.01173253,1.88311183,1.88294363
0.01173833,1.88306618,1.88289726
0.01174414,1.88301253,1.88284242
0.01174995,1.88295877,1.88278747
0.01175575,1.88290501,1.88273251
0.01176156,1.88285136,1.88267767
0.01176736,1.88281024,1.88263679
0.01177317,1.8827709,1.88259792
0.01177898,1.88273144,1.88255918
0.01178478,1.88269222,1.88252044
0.01179059,1.88265312,1.88248158
0.01179639,1.88261378,1.88244295
0.0118022,1.88257468,1.88240421
0.01180801,1.88253546,1.88236558
0.01181381,1.88249636,1.88232696
0.01181962,1.88245165,1.88228405
0.01182542,1.8823936,1.88222981
0.01183123,1.88233554,1.88217592
0.01183703,1.88227737,1.88212216
0.01184284,1.88221943,1.88206816
0.01184865,1.88216138,1.88201427
0.01185445,1.88210332,1.88196051
0.01186026,1.88204527,1.88190675
0.01186606,1.88201809,1.88188493
0.01187187,1.88199103,1.88186347
0.01187768,1.88196433,1.8818419
0.01188348,1.88193727,1.8818202
0.01188929,1.88191044,1.88179874
0.01189509,1.8818835,1.88177717
0.0119009,1.88185668,1.88175583
0.0119067,1.88182652,1.88173127
0.01191251,1.88179445,1.88170445
0.01191832,1.88176239,1.88167775
0.01192412,1.88172996,1.88165092
0.01192993,1.88169813,1.88162434
0.01193573,1.88166177,1.88159156
0.01194154,1.88162315,1.88155556
0.01194735,1.88158464,1.88151979
0.01195315,1.88154626,1.88148403
0.01195896,1.88150775,1.88144839
0.01196476,1.88146949,1.88141227
0.01197057,1.88143098,1.88137662
0.01197638,1.8813926,1.88134098
0.01198218,1.88135421,1.88130522
