t[s],Power[W m^-3]
0.0,0.0
0.04040404040404041,762984.7777187229
0.08080808080808081,1525969.5554374459
0.12121212121212122,2288954.3331561685
0.16161616161616163,3051939.1108748917
0.20202020202020204,3814923.8885936146
0.24242424242424243,4577908.666312337
0.2828282828282829,5340893.444031061
0.32323232323232326,6103878.2217497835
0.36363636363636365,6866862.999468505
0.4040404040404041,7629847.777187229
0.4444444444444445,8392832.554905953
0.48484848484848486,9155817.332624674
0.5252525252525253,9918802.110343399
0.5656565656565657,10681786.888062121
0.6060606060606061,11444771.665780842
0.6464646464646465,12207756.443499567
0.686868686868687,12970741.22121829
0.7272727272727273,13733725.99893701
0.7676767676767677,14496710.776655735
0.8080808080808082,15259695.554374458
0.8484848484848485,16022680.332093181
0.888888888888889,16785665.109811906
0.9292929292929294,17548649.88753063
0.9696969696969697,18311634.665249348
1.0101010101010102,19074619.442968074
1.0505050505050506,19837604.220686797
1.090909090909091,20600588.998405516
1.1313131313131315,21363573.776124243
1.1717171717171717,22126558.55384296
1.2121212121212122,22889543.331561685
1.2525252525252526,23652528.10928041
1.292929292929293,24415512.886999134
1.3333333333333335,25178497.664717853
1.373737373737374,25941482.44243658
1.4141414141414144,26704467.220155302
1.4545454545454546,27467451.99787402
1.494949494949495,28230436.775592748
1.5353535353535355,28993421.55331147
1.575757575757576,29756406.331030194
1.6161616161616164,30519391.108748917
1.6565656565656568,31282375.886467643
1.696969696969697,32045360.664186362
1.7373737373737375,32808345.441905085
1.777777777777778,33571330.21962381
1.8181818181818183,34334314.997342534
1.8585858585858588,35097299.77506126
1.8989898989898992,35860284.55277998
1.9393939393939394,36623269.330498695
1.97979797979798,37386254.10821742
2.0202020202020203,38149238.88593615
2.060606060606061,38912223.66365487
2.101010101010101,39675208.441373594
2.1414141414141414,40438193.21909231
2.181818181818182,41201177.99681103
2.2222222222222223,41964162.77452976
2.262626262626263,42727147.552248485
2.303030303030303,43490132.32996721
2.3434343434343434,44253117.10768592
2.383838383838384,45016101.885404654
2.4242424242424243,45779086.66312337
2.464646464646465,46542071.4408421
2.505050505050505,47305056.21856082
