Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
1.4800000200,293.1722720000,296.4493710000,299.1432800000,303.3876650000,303.6780700000,294.2772520000,293.1502080000,0.5181863310,0.2645107510,293.8229980000,0.2112638350,293.6501160000,0.2112638350,293.6501160000,0.1242792230,293.4249270000,0.0355298258,293.2313540000,294.5137940000,294.0685420000,293.9053650000,293.8229980000,293.6462100000,293.5354000000,293.1594540000,293.5243840000,0.1696079820,297.6280520000,295.7643430000,294.5137940000,301.6848140000
1.4900000100,293.1724550000,296.4739380000,299.1879880000,303.4645080000,303.7562560000,294.2855530000,293.1502080000,0.5181863310,0.2645107510,293.8284910000,0.2112638350,293.6542360000,0.2112638350,293.6542360000,0.1242792080,293.4272160000,0.0355294198,293.2320560000,294.5244450000,294.0758360000,293.9114690000,293.8284910000,293.6503910000,293.5387880000,293.1595460000,293.5277100000,0.1696073260,297.6617430000,295.7843630000,294.5244450000,301.7490230000
1.5000000000,293.1726070000,296.4985050000,299.2326050000,303.5412900000,303.8343510000,294.2938540000,293.1502080000,0.5181863310,0.2645107210,293.8339840000,0.2112638350,293.6583560000,0.2112638350,293.6583560000,0.1242792010,293.4295040000,0.0355290063,293.2327880000,294.5350950000,294.0830990000,293.9175420000,293.8339840000,293.6545410000,293.5421450000,293.1596370000,293.5310060000,0.1696067010,297.6953740000,295.8043520000,294.5350950000,301.8131100000
1.5099999900,293.1727600000,296.5230100000,299.2771910000,303.6179200000,303.9122920000,294.3021550000,293.1502380000,0.5181863310,0.2645107210,293.8394470000,0.2112638350,293.6624450000,0.2112638350,293.6624450000,0.1242791940,293.4317930000,0.0355285928,293.2334900000,294.5456850000,294.0903630000,293.9236150000,293.8394470000,293.6586910000,293.5455320000,293.1597290000,293.5343320000,0.1696060750,297.7289430000,295.8243100000,294.5456850000,301.8771360000
1.5199999800,293.1729130000,296.5474550000,299.3216860000,303.6944890000,303.9901430000,294.3104250000,293.1502380000,0.5181863310,0.2645106910,293.8449400000,0.2112638350,293.6665650000,0.2112638350,293.6665650000,0.1242791790,293.4340520000,0.0355281718,293.2341920000,294.5563050000,294.0976260000,293.9296880000,293.8449400000,293.6628110000,293.5488590000,293.1598510000,293.5375980000,0.1696054640,297.7624820000,295.8442380000,294.5563050000,301.9410710000
1.5299999700,293.1730960000,296.5718990000,299.3661190000,303.7709350000,304.0678710000,294.3186950000,293.1502380000,0.5181863310,0.2645106910,293.8504030000,0.2112638350,293.6706540000,0.2112638350,293.6706540000,0.1242791710,293.4363400000,0.0355277508,293.2349240000,294.5668950000,294.1048580000,293.9357300000,293.8504030000,293.6669620000,293.5522160000,293.1599430000,293.5409240000,0.1696048830,297.7959590000,295.8641360000,294.5668950000,302.0049440000
1.5399999600,293.1732480000,296.5962830000,299.4104920000,303.8472900000,304.1454770000,294.3269350000,293.1502380000,0.5181863310,0.2645106610,293.8558350000,0.2112638350,293.6747440000,0.2112638350,293.6747440000,0.1242791560,293.4386290000,0.0355273224,293.2355960000,294.5774540000,294.1120910000,293.9418030000,293.8558350000,293.6710820000,293.5555730000,293.1600340000,293.5441890000,0.1696043010,297.8294070000,295.8840330000,294.5774540000,302.0686950000
1.5499999500,293.1734010000,296.6206360000,299.4548030000,303.9235230000,304.2229920000,294.3351750000,293.1502380000,0.5181863310,0.2645106610,293.8612980000,0.2112638350,293.6788330000,0.2112638350,293.6788330000,0.1242791490,293.4408870000,0.0355268903,293.2363280000,294.5880130000,294.1193240000,293.9478150000,293.8612980000,293.6752320000,293.5589290000,293.1601260000,293.5474850000,0.1696037350,297.8627930000,295.9038700000,294.5880130000,302.1323850000
1.5599999400,293.1735840000,296.6449580000,299.4990230000,303.9996640000,304.3003850000,294.3434140000,293.1502380000,0.5181863310,0.2645106320,293.8667300000,0.2112638350,293.6829220000,0.2112638350,293.6829220000,0.1242791490,293.4431460000,0.0355264582,293.2370300000,294.5985410000,294.1265260000,293.9538570000,293.8667300000,293.6793520000,293.5622560000,293.1602170000,293.5507510000,0.1696031840,297.8961180000,295.9236760000,294.5985410000,302.1960140000
1.5700000500,293.1737370000,296.6692200000,299.5432130000,304.0757140000,304.3776550000,294.3516240000,293.1502380000,0.5181863310,0.2645106320,293.8721620000,0.2112638350,293.6869810000,0.2112638350,293.6869810000,0.1242791410,293.4454350000,0.0355260186,293.2377320000,294.6090700000,294.1337280000,293.9599000000,293.8721620000,293.6834410000,293.5656130000,293.1603390000,293.5540470000,0.1696026470,297.9294130000,295.9434810000,294.6090700000,302.2595210000
1.5800000400,293.1738890000,296.6934510000,299.5873110000,304.1516420000,304.4548030000,294.3598020000,293.1502380000,0.5181863310,0.2645106020,293.8775940000,0.2112638350,293.6910710000,0.2112638350,293.6910710000,0.1242791270,293.4476930000,0.0355255753,293.2384340000,294.6195680000,294.1409000000,293.9659120000,293.8775940000,293.6875610000,293.5689390000,293.1604310000,293.5573120000,0.1696021260,297.9626460000,295.9632260000,294.6195680000,302.3229680000
1.5900000300,293.1740420000,296.7176820000,299.6313480000,304.2274780000,304.5318300000,294.3680110000,293.1502380000,0.5181863310,0.2645106020,293.8829960000,0.2112638350,293.6951290000,0.2112638350,293.6951290000,0.1242791190,293.4499510000,0.0355251320,293.2391360000,294.6300660000,294.1481020000,293.9719240000,293.8829960000,293.6916500000,293.5722350000,293.1605220000,293.5605770000,0.1696016040,297.9958500000,295.9829710000,294.6300660000,302.3863530000
1.6000000200,293.1742250000,296.7418210000,299.6753230000,304.3032230000,304.6087650000,294.3761600000,293.1502380000,0.5181863310,0.2645106020,293.8884280000,0.2112638500,293.6991880000,0.2112638500,293.6991880000,0.1242791120,293.4522090000,0.0355246812,293.2398380000,294.6405640000,294.1552730000,293.9779050000,293.8884280000,293.6957400000,293.5755620000,293.1606140000,293.5638430000,0.1696011130,298.0289920000,296.0026550000,294.6405640000,302.4496150000
1.6100000100,293.1743770000,296.7659610000,299.7192380000,304.3788760000,304.6855470000,294.3843080000,293.1502380000,0.5181863310,0.2645105720,293.8938290000,0.2112638500,293.7032170000,0.2112638500,293.7032170000,0.1242790970,293.4544370000,0.0355242267,293.2405400000,294.6510310000,294.1624150000,293.9838870000,293.8938290000,293.6998290000,293.5788880000,293.1607060000,293.5670780000,0.1696006360,298.0620730000,296.0223390000,294.6510310000,302.5128170000
1.6200000000,293.1745300000,296.7900390000,299.7630920000,304.4544070000,304.7622680000,294.3924560000,293.1502380000,0.5181863310,0.2645105720,293.8992000000,0.2112638500,293.7072750000,0.2112638500,293.7072750000,0.1242790970,293.4566960000,0.0355237722,293.2412410000,294.6614690000,294.1695560000,293.9898680000,293.8992000000,293.7039180000,293.5822140000,293.1607970000,293.5703430000,0.1696001590,298.0951230000,296.0419920000,294.6614690000,302.5759280000
1.6300000000,293.1746830000,296.8140870000,299.8068850000,304.5298460000,304.8388370000,294.4006040000,293.1502380000,0.5181863310,0.2645105720,293.9046020000,0.2112638650,293.7113040000,0.2112638650,293.7113040000,0.1242790890,293.4589540000,0.0355233103,293.2419430000,294.6719060000,294.1766970000,293.9958500000,293.9046020000,293.7080080000,293.5855100000,293.1609190000,293.5735780000,0.1695996970,298.1281130000,296.0616150000,294.6719060000,302.6389770000
1.6399999900,293.1748350000,296.8381350000,299.8505860000,304.6051940000,304.9153140000,294.4087220000,293.1502380000,0.5181863310,0.2645105720,293.9099730000,0.2112638650,293.7153320000,0.2112638650,293.7153320000,0.1242790820,293.4611820000,0.0355228484,293.2426150000,294.6823120000,294.1838380000,294.0018010000,293.9099730000,293.7120670000,293.5888060000,293.1610110000,293.5768430000,0.1695992500,298.1610720000,296.0811770000,294.6823120000,302.7019350000
1.6499999800,293.1750180000,296.8620910000,299.8942570000,304.6804200000,304.9916690000,294.4168090000,293.1502380000,0.5181863310,0.2645105420,293.9153440000,0.2112638650,293.7193600000,0.2112638650,293.7193600000,0.1242790670,293.4634090000,0.0355223790,293.2433170000,294.6927190000,294.1909480000,294.0077510000,293.9153440000,293.7161250000,293.5921020000,293.1611020000,293.5800780000,0.1695988030,298.1939700000,296.1007390000,294.6927190000,302.7648010000
1.6599999700,293.1751710000,296.8860470000,299.9378360000,304.7555540000,305.0679020000,294.4248960000,293.1502690000,0.5181863310,0.2645105420,293.9206850000,0.2112638800,293.7233890000,0.2112638800,293.7233890000,0.1242790590,293.4656680000,0.0355219096,293.2440190000,294.7031250000,294.1980590000,294.0137020000,293.9206850000,293.7202150000,293.5953980000,293.1611940000,293.5833130000,0.1695983860,298.2268370000,296.1202700000,294.7031250000,302.8275760000
1.6699999600,293.1753230000,296.9099430000,299.9813840000,304.8305970000,305.1440430000,294.4329830000,293.1502690000,0.5181863310,0.2645105420,293.9260560000,0.2112638800,293.7274170000,0.2112638800,293.7274170000,0.1242790590,293.4678960000,0.0355214402,293.2447200000,294.7134700000,294.2051390000,294.0196230000,293.9260560000,293.7242740000,293.5986940000,293.1612850000,293.5865170000,0.1695979830,298.2596440000,296.1397710000,294.7134700000,302.8902890000
1.6799999500,293.1754760000,296.9338070000,300.0248410000,304.9055480000,305.2200620000,294.4410400000,293.1502690000,0.5181863310,0.2645105420,293.9313960000,0.2112638950,293.7314150000,0.2112638950,293.7314150000,0.1242790520,293.4701230000,0.0355209671,293.2454220000,294.7238160000,294.2122500000,294.0255740000,293.9313960000,293.7283020000,293.6019590000,293.1614070000,293.5897520000,0.1695975810,298.2923890000,296.1592710000,294.7238160000,302.9529110000
1.6900000600,293.1756290000,296.9576420000,300.0682370000,304.9803770000,305.2959590000,294.4490970000,293.1502690000,0.5181863310,0.2645105420,293.9367370000,0.2112638950,293.7354130000,0.2112638950,293.7354130000,0.1242790370,293.4723510000,0.0355204940,293.2461240000,294.7341920000,294.2192990000,294.0314940000,293.9367370000,293.7323610000,293.6052550000,293.1614990000,293.5929870000,0.1695971940,298.3251040000,296.1787110000,294.7341920000,303.0154720000
