Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
0.1099999990,293.2547910000,293.8170780000,294.1878660000,294.7606810000,294.5925290000,293.6188350000,293.1540830000,0.5181863900,0.2662542760,297.3461300000,0.2129245700,297.3434450000,0.2129245700,297.3434450000,0.1246625410,296.8031920000,0.0424006172,294.4158940000,297.0232850000,297.4189450000,297.5379330000,297.3461300000,296.1987610000,294.2113950000,293.1592100000,293.7669070000,0.1109130230,294.3386540000,295.9883730000,297.0232850000,295.6299440000
0.1199999970,293.2547610000,293.8191220000,294.1918950000,294.7677000000,294.6001280000,293.6194760000,293.1540220000,0.5181863310,0.2657805090,297.5708620000,0.2127186060,297.5416260000,0.2127186060,297.5416260000,0.1247810130,296.9591370000,0.0419089086,294.4655150000,297.0060120000,297.4007570000,297.5507810000,297.5708620000,296.5862730000,294.6887820000,293.1656800000,294.1812440000,0.1287559120,294.3410950000,295.9926450000,297.0060120000,295.6359860000
0.1299999950,293.2547610000,293.8213200000,294.1961980000,294.7751770000,294.6081850000,293.6201780000,293.1539920000,0.5181863310,0.2653437850,297.6529240000,0.2123886350,297.6361690000,0.2123886350,297.6361690000,0.1248035730,297.0586850000,0.0413202383,294.5131530000,297.0001830000,297.3836060000,297.5422060000,297.6529240000,296.8750000000,295.1656800000,293.1737370000,294.6578060000,0.1441366820,294.3435670000,295.9970700000,297.0001830000,295.6424260000
0.1400000010,293.2547610000,293.8236690000,294.2007750000,294.7831420000,294.6166990000,293.6209110000,293.1539610000,0.5181863310,0.2650229330,297.6606140000,0.2120440750,297.6680300000,0.2120440750,297.6680300000,0.1247395430,297.1112980000,0.0406577177,294.5552670000,297.0015260000,297.3721310000,297.5281370000,297.6606140000,297.0626830000,295.5935360000,293.1826480000,295.1350710000,0.1560710220,294.3462830000,295.9998780000,297.0015260000,295.6492920000
0.1500000060,293.2547610000,293.8261720000,294.2055970000,294.7915340000,294.6256410000,293.6217040000,293.1539310000,0.5181863310,0.2648095190,297.6424870000,0.2117408810,297.6690370000,0.2117408810,297.6690370000,0.1246249380,297.1334840000,0.0399630480,294.5903930000,297.0051880000,297.3670350000,297.5151980000,297.6424870000,297.1688540000,295.9423220000,293.1915280000,295.5594480000,0.1644368170,294.3492130000,296.0015870000,297.0051880000,295.6564940000
0.1599999960,293.2547610000,293.8287960000,294.2106930000,294.8003540000,294.6350400000,293.6225280000,293.1539000000,0.5181863310,0.2646769290,297.6218570000,0.2115091830,297.6591800000,0.2115091830,297.6591800000,0.1245064590,297.1398320000,0.0392845310,294.6187740000,297.0082400000,297.3664550000,297.5059510000,297.6218570000,297.2196040000,296.2029420000,293.1997070000,295.9017940000,0.1696881650,294.3522950000,296.0030820000,297.0082400000,295.6641240000
0.1700000020,293.2547610000,293.8315730000,294.2160030000,294.8096310000,294.6448670000,293.6233830000,293.1539000000,0.5181863310,0.2645957470,297.6064760000,0.2113519010,297.6484680000,0.2113519010,297.6484680000,0.1244101380,297.1400450000,0.0386612676,294.6416320000,297.0099490000,297.3679810000,297.5006710000,297.6064760000,297.2386470000,296.3828740000,293.2067870000,296.1558530000,0.1725304570,294.3555910000,296.0048220000,297.0099490000,295.6720890000
0.1800000070,293.2547610000,293.8344730000,294.2215580000,294.8193360000,294.6551510000,293.6242980000,293.1538700000,0.5181863310,0.2645481820,297.5972290000,0.2112605870,297.6408390000,0.2112605870,297.6408390000,0.1243471130,297.1390380000,0.0381171815,294.6601260000,297.0108030000,297.3699340000,297.4985660000,297.5972290000,297.2428590000,296.4985350000,293.2125850000,296.3311160000,0.1737337110,294.3590090000,296.0067750000,297.0108030000,295.6804500000
0.1899999980,293.2547910000,293.8375240000,294.2273860000,294.8294680000,294.6658630000,293.6252750000,293.1538700000,0.5181863310,0.2645218970,297.5926820000,0.2112183270,297.6364440000,0.2112183270,297.6364440000,0.1243147920,297.1387020000,0.0376621261,294.6753850000,297.0115050000,297.3714600000,297.4984440000,297.5926820000,297.2420960000,296.5685120000,293.2172550000,296.4444270000,0.1739402560,294.3626100000,296.0089110000,297.0115050000,295.6892090000
0.2000000030,293.2547910000,293.8406680000,294.2334590000,294.8400570000,294.6770020000,293.6262820000,293.1538700000,0.5181863310,0.2645084260,297.5910640000,0.2112064960,297.6344600000,0.2112064960,297.6344600000,0.1243033710,297.1393130000,0.0372946672,294.6881100000,297.0123600000,297.3724370000,297.4992680000,297.5910640000,297.2411800000,296.6092530000,293.2209470000,296.5139470000,0.1736093610,294.3663640000,296.0111390000,297.0123600000,295.6983340000
0.2099999930,293.2547910000,293.8439940000,294.2397770000,294.8511050000,294.6885990000,293.6273190000,293.1538390000,0.5181863310,0.2645027940,297.5910340000,0.2112101470,297.6340030000,0.2112101470,297.6340030000,0.1243023200,297.1406250000,0.0370054096,294.6989140000,297.0134280000,297.3731380000,297.5003660000,297.5910340000,297.2417600000,296.6332090000,293.2239070000,296.5534970000,0.1730409560,294.3702700000,296.0134580000,297.0134280000,295.7078550000
0.2199999990,293.2548220000,293.8474120000,294.2463380000,294.8625490000,294.7006840000,293.6283870000,293.1538390000,0.5181863310,0.2645021080,297.5917050000,0.2112195640,297.6343690000,0.2112195640,297.6343690000,0.1243040190,297.1422420000,0.0367814004,294.7080690000,297.0146180000,297.3737490000,297.5013730000,297.5917050000,297.2438660000,296.6486510000,293.2263180000,296.5762940000,0.1724156890,294.3743590000,296.0159000000,297.0146180000,295.7177430000
