Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
1.4099999700,293.1689150000,294.6818540000,296.0604860000,298.2988890000,298.2452390000,293.6789860000,293.1492310000,0.5181863310,0.2645109300,293.3182980000,0.2112638650,293.2758180000,0.2112638650,293.2758180000,0.1242792830,293.2213750000,0.0355325677,293.1705020000,293.5459900000,293.3811340000,293.3387760000,293.3182980000,293.2735600000,293.2441410000,293.1521610000,293.2409360000,0.1696129890,295.2720340000,294.1413570000,293.5459900000,297.6640930000
1.4199999600,293.1691890000,294.7031560000,296.1009830000,298.3705750000,298.3158260000,293.6863100000,293.1492000000,0.5181863310,0.2645109000,293.3208310000,0.2112638650,293.2777100000,0.2112638650,293.2777100000,0.1242792680,293.2224430000,0.0355321877,293.1708070000,293.5516970000,293.3844910000,293.3415830000,293.3208310000,293.2754520000,293.2456360000,293.1521910000,293.2424010000,0.1696122290,295.3017270000,294.1554260000,293.5516970000,297.7269290000
1.4299999500,293.1694340000,294.7246090000,296.1417240000,298.4427490000,298.3869020000,293.6936650000,293.1492000000,0.5181863310,0.2645108700,293.3233640000,0.2112638650,293.2796330000,0.2112638650,293.2796330000,0.1242792610,293.2235410000,0.0355318040,293.1711430000,293.5574340000,293.3879090000,293.3443910000,293.3233640000,293.2773440000,293.2471310000,293.1522220000,293.2438350000,0.1696114840,295.3316350000,294.1695860000,293.5574340000,297.7901920000
1.4400000600,293.1697080000,294.7461850000,296.1827390000,298.5153500000,298.4584350000,293.7010500000,293.1492000000,0.5181863310,0.2645108400,293.3258970000,0.2112638650,293.2815550000,0.2112638650,293.2815550000,0.1242792530,293.2246400000,0.0355314165,293.1714480000,293.5632320000,293.3913270000,293.3471980000,293.3258970000,293.2792660000,293.2486270000,293.1522830000,293.2453310000,0.1696107540,295.3617250000,294.1838380000,293.5632320000,297.8538820000
1.4500000500,293.1699830000,294.7679140000,296.2240300000,298.5884700000,298.5304260000,293.7084960000,293.1491700000,0.5181863310,0.2645108100,293.3284910000,0.2112638500,293.2834780000,0.2112638500,293.2834780000,0.1242792530,293.2257390000,0.0355310254,293.1717830000,293.5690310000,293.3947450000,293.3500670000,293.3284910000,293.2811890000,293.2501530000,293.1523130000,293.2467960000,0.1696100230,295.3919980000,294.1982120000,293.5690310000,297.9179690000
1.4600000400,293.1702270000,294.7897640000,296.2655640000,298.6620180000,298.6028750000,293.7160030000,293.1491700000,0.5181863310,0.2645108100,293.3310850000,0.2112638500,293.2854310000,0.2112638500,293.2854310000,0.1242792380,293.2268370000,0.0355306305,293.1721190000,293.5748900000,293.3982240000,293.3529360000,293.3310850000,293.2831420000,293.2516780000,293.1523440000,293.2482910000,0.1696093230,295.4224550000,294.2126460000,293.5748900000,297.9824520000
1.4700000300,293.1705020000,294.8117680000,296.3073730000,298.7360530000,298.6757810000,293.7235410000,293.1491390000,0.5181863310,0.2645107810,293.3336790000,0.2112638350,293.2874150000,0.2112638350,293.2874150000,0.1242792310,293.2279660000,0.0355302282,293.1724550000,293.5807800000,293.4017330000,293.3558350000,293.3336790000,293.2850950000,293.2532350000,293.1523740000,293.2497860000,0.1696086530,295.4531250000,294.2271730000,293.5807800000,298.0473630000
1.4800000200,293.1707760000,294.8339230000,296.3494260000,298.8105470000,298.7491150000,293.7311400000,293.1491390000,0.5181863310,0.2645107510,293.3363040000,0.2112638350,293.2893680000,0.2112638350,293.2893680000,0.1242792230,293.2290950000,0.0355298258,293.1727910000,293.5867310000,293.4052430000,293.3587340000,293.3363040000,293.2870790000,293.2547910000,293.1524050000,293.2513120000,0.1696079820,295.4839780000,294.2417910000,293.5867310000,298.1127010000
1.4900000100,293.1710510000,294.8561710000,296.3917540000,298.8855290000,298.8229370000,293.7387700000,293.1491390000,0.5181863310,0.2645107510,293.3389280000,0.2112638350,293.2913510000,0.2112638350,293.2913510000,0.1242792080,293.2302550000,0.0355294198,293.1731260000,293.5927120000,293.4087520000,293.3616640000,293.3389280000,293.2890630000,293.2563480000,293.1524660000,293.2528380000,0.1696073260,295.5150450000,294.2565310000,293.5927120000,298.1784060000
1.5000000000,293.1712950000,294.8786010000,296.4343570000,298.9609680000,298.8971860000,293.7464290000,293.1491090000,0.5181863310,0.2645107210,293.3415830000,0.2112638350,293.2933650000,0.2112638350,293.2933650000,0.1242792010,293.2313840000,0.0355290063,293.1734620000,293.5987240000,293.4123230000,293.3645940000,293.3415830000,293.2910460000,293.2579350000,293.1524960000,293.2543950000,0.1696067010,295.5462950000,294.2713320000,293.5987240000,298.2445370000
