Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
5.6900000600,293.3160100000,307.7863160000,322.4805300000,347.7186280000,343.4337460000,298.0526430000,293.1220090000,0.5181863310,0.2645141480,319.2314150000,0.2112686040,318.6345520000,0.2112686040,318.6345520000,0.1242789700,315.2613830000,0.0354246907,302.4954530000,319.6266480000,319.4985660000,319.3633120000,319.2314150000,316.6918330000,313.6711120000,293.8577580000,313.2945560000,0.1696036760,317.4761350000,319.6928100000,319.6266480000,349.7709960000
5.6999998100,293.3162540000,307.8116460000,322.5329280000,347.8185730000,343.5218810000,298.0606080000,293.1219790000,0.5181863310,0.2645141480,319.2796020000,0.2112686040,318.6818240000,0.2112686040,318.6818240000,0.1242789700,315.3026120000,0.0354246721,302.5132140000,319.6746220000,319.5466310000,319.4114990000,319.2796020000,316.7357790000,313.7099000000,293.8592830000,313.3327330000,0.1696036760,317.5195620000,319.7406310000,319.6746220000,349.8745420000
5.7100000400,293.3164980000,307.8369750000,322.5852660000,347.9184270000,343.6099550000,298.0685730000,293.1219180000,0.5181863310,0.2645141480,319.3277590000,0.2112686040,318.7290650000,0.2112686040,318.7290650000,0.1242789700,315.3438420000,0.0354246497,302.5309450000,319.7225650000,319.5946960000,319.4596250000,319.3277590000,316.7796630000,313.7486570000,293.8608400000,313.3708800000,0.1696036910,317.5629580000,319.7884220000,319.7225650000,349.9780270000
5.7199997900,293.3167420000,307.8623050000,322.6375730000,348.0182190000,343.6979370000,298.0765380000,293.1218870000,0.5181863310,0.2645141480,319.3758850000,0.2112686040,318.7762760000,0.2112686040,318.7762760000,0.1242789700,315.3850400000,0.0354246311,302.5486760000,319.7704770000,319.6427000000,319.5077510000,319.3758850000,316.8235470000,313.7874150000,293.8623660000,313.4089970000,0.1696037050,317.6063230000,319.8361820000,319.7704770000,350.0814210000
5.7300000200,293.3169860000,307.8875730000,322.6898500000,348.1179200000,343.7858580000,298.0845030000,293.1218570000,0.5181863310,0.2645141480,319.4239500000,0.2112686040,318.8234250000,0.2112686040,318.8234250000,0.1242789700,315.4262080000,0.0354246125,302.5664060000,319.8183590000,319.6906740000,319.5558170000,319.4239500000,316.8673710000,313.8261110000,293.8639220000,313.4470830000,0.1696037050,317.6496280000,319.8838810000,319.8183590000,350.1847840000
5.7399997700,293.3172610000,307.9128420000,322.7420650000,348.2175900000,343.8736880000,298.0924380000,293.1217960000,0.5181863310,0.2645141480,319.4719850000,0.2112686040,318.8705750000,0.2112686040,318.8705750000,0.1242789700,315.4673160000,0.0354245901,302.5841060000,319.8661800000,319.7385860000,319.6038510000,319.4719850000,316.9111940000,313.8648070000,293.8654480000,313.4851380000,0.1696037050,317.6929020000,319.9315800000,319.8661800000,350.2880550000
5.7500000000,293.3175050000,307.9380800000,322.7942500000,348.3172000000,343.9614560000,298.1003720000,293.1217650000,0.5181863310,0.2645141480,319.5199890000,0.2112686040,318.9176640000,0.2112686040,318.9176640000,0.1242789700,315.5084230000,0.0354245715,302.6018070000,319.9140010000,319.7864990000,319.6518550000,319.5199890000,316.9549560000,313.9034730000,293.8670040000,313.5231930000,0.1696037200,317.7361450000,319.9792180000,319.9140010000,350.3912350000
5.7600002300,293.3177490000,307.9632870000,322.8464050000,348.4167180000,344.0491330000,298.1083070000,293.1217350000,0.5181863310,0.2645141480,319.5679630000,0.2112686040,318.9647220000,0.2112686040,318.9647220000,0.1242789700,315.5495000000,0.0354245529,302.6194760000,319.9617610000,319.8343810000,319.6997990000,319.5679630000,316.9986880000,313.9420780000,293.8685300000,313.5611880000,0.1696037350,317.7793880000,320.0268250000,319.9617610000,350.4943850000
5.7699999800,293.3179930000,307.9884950000,322.8984990000,348.5161740000,344.1367490000,298.1162110000,293.1216740000,0.5181863310,0.2645141480,319.6159060000,0.2112686040,319.0117490000,0.2112686040,319.0117490000,0.1242789700,315.5905150000,0.0354245342,302.6371460000,320.0094910000,319.8822020000,319.7477420000,319.6159060000,317.0423890000,313.9806820000,293.8700870000,313.5991520000,0.1696037350,317.8225710000,320.0744020000,320.0094910000,350.5974730000
5.7800002100,293.3182370000,308.0136410000,322.9505920000,348.6155700000,344.2243040000,298.1241150000,293.1216430000,0.5181863310,0.2645141480,319.6637880000,0.2112686040,319.0587460000,0.2112686040,319.0587460000,0.1242789700,315.6315310000,0.0354245156,302.6548160000,320.0571590000,319.9299930000,319.7956240000,319.6637880000,317.0860600000,314.0192570000,293.8716130000,313.6370850000,0.1696037500,317.8657230000,320.1219180000,320.0571590000,350.7004700000
