Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
7.3099999400,293.2290040000,305.3821720000,315.6246340000,332.6745910000,332.3505550000,297.2325740000,293.1510620000,0.5181863310,0.2645142380,295.8575740000,0.2112686780,295.1761170000,0.2112686780,295.1761170000,0.1242789700,294.2738650000,0.0354233198,293.4988710000,298.4559630000,296.7655640000,296.1613770000,295.8575740000,295.1873470000,294.7859800000,293.2008670000,294.7514340000,0.1696042720,310.0809330000,303.1763610000,298.4559630000,326.3365170000
7.3200001700,293.2290650000,305.3930050000,315.6450200000,332.7122800000,332.3857420000,297.2360530000,293.1510620000,0.5181863310,0.2645142380,295.8600770000,0.2112686780,295.1780400000,0.2112686780,295.1780400000,0.1242789700,294.2749330000,0.0354233161,293.4992070000,298.4608460000,296.7689210000,296.1641850000,295.8600770000,295.1892700000,294.7875370000,293.2009280000,294.7529600000,0.1696042720,310.0963750000,303.1855770000,298.4608460000,326.3685610000
7.3299999200,293.2291260000,305.4038390000,315.6653750000,332.7499390000,332.4208370000,297.2395320000,293.1510620000,0.5181863310,0.2645142380,295.8626100000,0.2112686780,295.1799320000,0.2112686780,295.1799320000,0.1242789700,294.2759700000,0.0354233161,293.4995420000,298.4657590000,296.7722780000,296.1669920000,295.8626100000,295.1911930000,294.7890930000,293.2009890000,294.7544860000,0.1696042720,310.1117860000,303.1947630000,298.4657590000,326.4005430000
7.3400001500,293.2291870000,305.4146730000,315.6856990000,332.7875370000,332.4558720000,297.2430110000,293.1510620000,0.5181863310,0.2645142380,295.8651430000,0.2112686780,295.1818240000,0.2112686780,295.1818240000,0.1242789700,294.2770390000,0.0354233123,293.4998780000,298.4706420000,296.7756040000,296.1698000000,295.8651430000,295.1931150000,294.7906490000,293.2010500000,294.7560120000,0.1696042720,310.1271970000,303.2039490000,298.4706420000,326.4324950000
7.3499999000,293.2292480000,305.4254460000,315.7059940000,332.8251040000,332.4908750000,297.2464900000,293.1510620000,0.5181863310,0.2645142380,295.8676450000,0.2112686780,295.1837160000,0.2112686780,295.1837160000,0.1242789700,294.2780760000,0.0354233123,293.5002140000,298.4755250000,296.7789610000,296.1725770000,295.8676450000,295.1950070000,294.7922060000,293.2011110000,294.7575380000,0.1696042720,310.1426090000,303.2131350000,298.4755250000,326.4643860000
7.3600001300,293.2293090000,305.4362490000,315.7262570000,332.8626100000,332.5258180000,297.2499390000,293.1510620000,0.5181863310,0.2645142380,295.8701780000,0.2112686780,295.1855770000,0.2112686780,295.1855770000,0.1242789700,294.2791440000,0.0354233086,293.5005490000,298.4803770000,296.7822880000,296.1753850000,295.8701780000,295.1969300000,294.7937320000,293.2011410000,294.7590640000,0.1696042720,310.1579590000,303.2222900000,298.4803770000,326.4962460000
7.3699998900,293.2294010000,305.4469910000,315.7465210000,332.9000550000,332.5607300000,297.2533870000,293.1510620000,0.5181863310,0.2645142380,295.8726810000,0.2112686780,295.1874690000,0.2112686780,295.1874690000,0.1242789700,294.2801820000,0.0354233086,293.5008850000,298.4852600000,296.7856140000,296.1781620000,295.8726810000,295.1988220000,294.7952880000,293.2012020000,294.7605590000,0.1696042720,310.1733090000,303.2314450000,298.4852600000,326.5280760000
7.3800001100,293.2294620000,305.4577640000,315.7667240000,332.9374390000,332.5955510000,297.2568360000,293.1510620000,0.5181863310,0.2645142380,295.8751830000,0.2112686780,295.1893620000,0.2112686780,295.1893620000,0.1242789700,294.2812190000,0.0354233049,293.5012210000,298.4901120000,296.7889400000,296.1809390000,295.8751830000,295.2007140000,294.7968440000,293.2012630000,294.7620850000,0.1696042870,310.1886290000,303.2405700000,298.4901120000,326.5598450000
7.3899998700,293.2295230000,305.4684750000,315.7868960000,332.9747920000,332.6303410000,297.2603150000,293.1510620000,0.5181863310,0.2645142380,295.8776860000,0.2112686780,295.1912540000,0.2112686780,295.1912540000,0.1242789700,294.2822570000,0.0354233012,293.5015260000,298.4949650000,296.7922670000,296.1837160000,295.8776860000,295.2026060000,294.7983700000,293.2013240000,294.7635800000,0.1696042870,310.2039180000,303.2496950000,298.4949650000,326.5915830000
7.4000001000,293.2295840000,305.4791870000,315.8070370000,333.0120850000,332.6650700000,297.2637330000,293.1510620000,0.5181863310,0.2645142380,295.8801880000,0.2112686780,295.1931150000,0.2112686780,295.1931150000,0.1242789700,294.2833250000,0.0354233012,293.5018620000,298.4998170000,296.7955630000,296.1864930000,295.8801880000,295.2044980000,294.7998960000,293.2013550000,294.7651060000,0.1696042870,310.2191770000,303.2588200000,298.4998170000,326.6232910000
