Time [s],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K]
0.1739999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1749999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1759999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1770000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1780000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1790000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1800000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1809999940,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1819999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1829999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1840000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1850000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1860000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1870000060,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1879999940,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1889999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1899999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1910000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1920000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1930000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1940000060,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1949999930,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1959999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1969999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1979999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1990000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2000000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2010000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2020000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2029999940,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2039999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2049999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2060000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2070000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2080000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2090000060,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2099999930,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2109999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2119999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2130000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2140000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2150000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2160000060,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2169999930,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2179999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2189999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2199999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2210000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2220000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2230000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2240000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2249999940,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2259999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2269999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2280000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2290000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2300000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2310000060,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2319999930,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2329999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2339999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2349999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2360000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2370000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2380000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2389999930,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2399999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2409999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2419999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2430000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2440000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2450000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2460000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2469999940,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2479999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2489999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2500000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2509999870,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2520000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2529999910,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2540000080,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2549999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2560000120,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2569999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2579999860,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2590000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2599999900,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2610000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2619999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2630000110,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2639999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2649999860,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2660000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2669999900,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2680000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2689999940,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2700000110,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2709999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2720000150,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2730000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2739999890,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2750000060,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2759999930,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2770000100,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2779999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2790000140,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2800000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2809999880,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2820000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2829999920,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2840000090,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2849999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2860000130,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2870000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2879999880,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2890000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2899999920,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2910000090,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2919999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2930000130,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2940000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2949999870,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2960000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2969999910,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2980000080,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.2989999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3000000120,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3009999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3019999860,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3030000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3039999900,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3050000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3059999940,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3070000110,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3079999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3089999850,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3100000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3109999900,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3120000060,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3129999940,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3140000100,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3149999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3160000150,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3170000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3179999890,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3190000060,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3199999930,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3210000100,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3219999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3230000140,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3240000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3249999880,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3260000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3269999920,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3280000090,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3289999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3300000130,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3310000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3319999870,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3330000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3339999910,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3350000080,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3359999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3370000120,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3380000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3389999870,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3400000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3409999910,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3420000080,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3429999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3440000120,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3449999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3459999860,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3470000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3479999900,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3490000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3499999940,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3510000110,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3519999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3529999850,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3540000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3549999890,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3560000060,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3569999930,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3580000100,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3589999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3600000140,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3610000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3619999890,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3630000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3639999930,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3650000100,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3659999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3670000140,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3680000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3689999880,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3700000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3709999920,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3720000090,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3729999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3740000130,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3750000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3759999870,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3770000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3779999910,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3790000080,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3799999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3810000120,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3819999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3829999860,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3840000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
