[Name],
PowerSample0,
[Spatial Fields],
t,
[Data],
t[s],Power[W m^-3]
0.0000000000,0.0000000000
0.0202020202,764002.3047563360
0.0404040404,1528004.6095126700
0.0606060606,2292006.9142690000
0.0808080808,3056009.2190253400
0.1010101010,3820011.5237816800
0.1212121212,4584013.8285380100
0.1414141414,5348016.1332943500
0.1616161616,6112018.4380506800
0.1818181818,6876020.7428070200
0.2020202020,7640023.0475633600
0.2222222222,8404025.3523196900
0.2424242424,9168027.6570760300
0.2626262626,9932029.9618323600
0.2828282828,10696032.2665887000
0.3030303030,11460034.5713450000
0.3232323232,12224036.8761013000
0.3434343434,12988039.1808577000
0.3636363636,13752041.4856140000
0.3838383838,14516043.7903703000
0.4040404040,15280046.0951267000
0.4242424242,16044048.3998830000
0.4444444444,16808050.7046393000
0.4646464646,17572053.0093957000
0.4848484848,18336055.3141520000
0.5050505051,19100057.6189084000
0.5252525253,19864059.9236647000
0.5454545455,20628062.2284210000
0.5656565657,21392064.5331774000
0.5858585859,22156066.8379337000
0.6060606061,22920069.1426900000
0.6262626263,23684071.4474464000
0.6464646465,24448073.7522027000
0.6666666667,25212076.0569590000
0.6868686869,25976078.3617154000
0.7070707071,26740080.6664717000
0.7272727273,27504082.9712281000
0.7474747475,28268085.2759844000
0.7676767677,29032087.5807407000
0.7878787879,29796089.8854971000
0.8080808081,30560092.1902534000
0.8282828283,31324094.4950097000
0.8484848485,32088096.7997661000
0.8686868687,32852099.1045224000
0.8888888889,33616101.4092787000
0.9090909091,34380103.7140351000
0.9292929293,35144106.0187914000
0.9494949495,35908108.3235478000
0.9696969697,36672110.6283041000
0.9898989899,37436112.9330604000
1.0101010101,38200115.2378168000
1.0303030303,38964117.5425731000
1.0505050505,39728119.8473294000
1.0707070707,40492122.1520858000
1.0909090909,41256124.4568421000
1.1111111111,42020126.7615984000
1.1313131313,42784129.0663548000
1.1515151515,43548131.3711111000
1.1717171717,44312133.6758674000
1.1919191919,45076135.9806238000
1.2121212121,45840138.2853801000
1.2323232323,46604140.5901365000
1.2525252525,47368142.8948928000
1.2727272727,48132145.1996491000
1.2929292929,48896147.5044055000
1.3131313131,49660149.8091618000
1.3333333333,50424152.1139181000
1.3535353535,51188154.4186745000
1.3737373737,51952156.7234308000
1.3939393939,52716159.0281871000
1.4141414141,53480161.3329435000
1.4343434343,54244163.6376998000
1.4545454545,55008165.9424562000
1.4747474747,55772168.2472125000
1.4949494949,56536170.5519688000
1.5151515152,57300172.8567252000
1.5353535354,58064175.1614815000
1.5555555556,58828177.4662378000
1.5757575758,59592179.7709942000
1.5959595960,60356182.0757505000
1.6161616162,61120184.3805068000
1.6363636364,61884186.6852632000
1.6565656566,62648188.9900195000
1.6767676768,63412191.2947759000
1.6969696970,64176193.5995322000
1.7171717172,64940195.9042885000
1.7373737374,65704198.2090449000
1.7575757576,66468200.5138012000
1.7777777778,67232202.8185575000
1.7979797980,67996205.1233139000
1.8181818182,68760207.4280702000
1.8383838384,69524209.7328265000
1.8585858586,70288212.0375829000
1.8787878788,71052214.3423392000
1.8989898990,71816216.6470956000
1.9191919192,72580218.9518519000
1.9393939394,73344221.2566082000
1.9595959596,74108223.5613646000
1.9797979798,74872225.8661209000
2.0000000000,75636228.1708772000
2.0100000000,75636228.1708772000
9.9990000000,75636228.1708772000
10.0010000000,75636228.1708772000
10.0211919192,74872225.8661209000
10.0413838384,74108223.5613645000
10.0615757576,73344221.2566082000
10.0817676768,72580218.9518519000
10.1019595960,71816216.6470955000
10.1221515152,71052214.3423392000
10.1423434343,70288212.0375829000
10.1625353535,69524209.7328265000
10.1827272727,68760207.4280702000
10.2029191919,67996205.1233139000
10.2231111111,67232202.8185575000
10.2433030303,66468200.5138012000
10.2634949495,65704198.2090449000
10.2836868687,64940195.9042885000
10.3038787879,64176193.5995322000
10.3240707071,63412191.2947758000
10.3442626263,62648188.9900195000
10.3644545455,61884186.6852632000
10.3846464646,61120184.3805068000
10.4048383838,60356182.0757505000
10.4250303030,59592179.7709942000
10.4452222222,58828177.4662378000
10.4654141414,58064175.1614815000
10.4856060606,57300172.8567252000
10.5057979798,56536170.5519688000
10.5259898990,55772168.2472125000
10.5461818182,55008165.9424562000
10.5663737374,54244163.6376998000
10.5865656566,53480161.3329435000
10.6067575758,52716159.0281871000
10.6269494949,51952156.7234308000
10.6471414141,51188154.4186745000
10.6673333333,50424152.1139181000
10.6875252525,49660149.8091618000
10.7077171717,48896147.5044055000
10.7279090909,48132145.1996491000
10.7481010101,47368142.8948928000
10.7682929293,46604140.5901365000
10.7884848485,45840138.2853801000
10.8086767677,45076135.9806238000
10.8288686869,44312133.6758674000
10.8490606061,43548131.3711111000
10.8692525253,42784129.0663548000
10.8894444444,42020126.7615984000
10.9096363636,41256124.4568421000
10.9298282828,40492122.1520858000
10.9500202020,39728119.8473294000
10.9702121212,38964117.5425731000
10.9904040404,38200115.2378168000
11.0105959596,37436112.9330604000
11.0307878788,36672110.6283041000
11.0509797980,35908108.3235477000
11.0711717172,35144106.0187914000
11.0913636364,34380103.7140351000
11.1115555556,33616101.4092787000
11.1317474747,32852099.1045224000
11.1519393939,32088096.7997661000
11.1721313131,31324094.4950097000
11.1923232323,30560092.1902534000
11.2125151515,29796089.8854971000
11.2327070707,29032087.5807407000
11.2528989899,28268085.2759844000
