Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
0.1099999990,293.1500550000,293.1575010000,293.1645200000,293.1759950000,293.1772770000,293.1527400000,293.1499940000,0.5316451790,0.2731760140,293.1500550000,0.2185847760,293.1500240000,0.2185847760,293.1500240000,0.1280973550,293.1500240000,0.0434067026,293.1499940000,293.1510620000,293.1503910000,293.1501460000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,0.1191924880,293.1592710000,293.1536250000,293.1510620000,293.1719060000
0.1199999970,293.1500550000,293.1590270000,293.1673890000,293.1810000000,293.1824950000,293.1532590000,293.1499940000,0.5316451790,0.2726509570,293.1501160000,0.2183121440,293.1500550000,0.2183121440,293.1500550000,0.1282016040,293.1500240000,0.0428305455,293.1499940000,293.1514590000,293.1505740000,293.1502690000,293.1501160000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,0.1374961440,293.1612550000,293.1546020000,293.1514590000,293.1761170000
0.1299999950,293.1500850000,293.1607060000,293.1705020000,293.1864620000,293.1882020000,293.1538700000,293.1499940000,0.5316451790,0.2721945940,293.1501770000,0.2179347130,293.1500850000,0.2179347130,293.1500850000,0.1282001580,293.1500550000,0.0421590544,293.1499940000,293.1519170000,293.1508180000,293.1503910000,293.1501770000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,0.1527234170,293.1634520000,293.1557010000,293.1519170000,293.1806950000
0.1400000010,293.1500850000,293.1625060000,293.1738890000,293.1923520000,293.1943360000,293.1544800000,293.1499940000,0.5316451190,0.2718695700,293.1502990000,0.2175605740,293.1501770000,0.2175605740,293.1501770000,0.1281090230,293.1500550000,0.0414227098,293.1500240000,293.1524350000,293.1510930000,293.1505740000,293.1502990000,293.1500550000,293.1500240000,293.1499940000,293.1500240000,0.1640784140,293.1658330000,293.1568910000,293.1524350000,293.1856380000
0.1500000060,293.1500850000,293.1644590000,293.1775510000,293.1986690000,293.2009280000,293.1551820000,293.1499940000,0.5316451190,0.2716613410,293.1504520000,0.2172478440,293.1502380000,0.2172478440,293.1502380000,0.1279771030,293.1501160000,0.0406723991,293.1500240000,293.1530150000,293.1514280000,293.1507570000,293.1504520000,293.1501160000,293.1500240000,293.1499940000,293.1500240000,0.1716735210,293.1683960000,293.1582340000,293.1530150000,293.1909480000
0.1599999960,293.1501160000,293.1665650000,293.1814270000,293.2054750000,293.2079770000,293.1559140000,293.1499940000,0.5316451190,0.2715364690,293.1506040000,0.2170202430,293.1503600000,0.2170202430,293.1503600000,0.1278515160,293.1501460000,0.0399590209,293.1500240000,293.1536870000,293.1518250000,293.1510310000,293.1506040000,293.1501770000,293.1500550000,293.1499940000,293.1500240000,0.1761302050,293.1711730000,293.1596680000,293.1536870000,293.1966250000
0.1700000020,293.1501160000,293.1688230000,293.1856080000,293.2126770000,293.2154850000,293.1566770000,293.1499940000,0.5316451190,0.2714661660,293.1508180000,0.2168773410,293.1505130000,0.2168773410,293.1505130000,0.1277586370,293.1502080000,0.0393193476,293.1500240000,293.1543880000,293.1522520000,293.1513060000,293.1508180000,293.1502690000,293.1500550000,293.1499940000,293.1500550000,0.1783003960,293.1741330000,293.1612240000,293.1543880000,293.2026670000
0.1800000070,293.1501460000,293.1712040000,293.1900330000,293.2203370000,293.2234500000,293.1575320000,293.1499940000,0.5316451190,0.2714280490,293.1510620000,0.2168019260,293.1506650000,0.2168019260,293.1506650000,0.1277026090,293.1502990000,0.0387736633,293.1500550000,293.1551820000,293.1527100000,293.1516420000,293.1510620000,293.1503600000,293.1500850000,293.1499940000,293.1500550000,0.1790037750,293.1773070000,293.1629030000,293.1551820000,293.2090760000
0.1899999980,293.1501770000,293.1737060000,293.1947020000,293.2284550000,293.2318730000,293.1583860000,293.1499940000,0.5316451190,0.2714086770,293.1513370000,0.2167725710,293.1508480000,0.2167725710,293.1508480000,0.1276765170,293.1503910000,0.0383272506,293.1500550000,293.1560060000,293.1531980000,293.1519780000,293.1513370000,293.1505130000,293.1501460000,293.1499940000,293.1500850000,0.1788718550,293.1806640000,293.1647030000,293.1560060000,293.2158810000
0.2000000030,293.1501770000,293.1763920000,293.1996460000,293.2370000000,293.2407530000,293.1593320000,293.1499940000,0.5316451190,0.2714005710,293.1516720000,0.2167699340,293.1510620000,0.2167699340,293.1510620000,0.1276695580,293.1504820000,0.0379737802,293.1500850000,293.1569210000,293.1537480000,293.1523740000,293.1516720000,293.1506650000,293.1502080000,293.1499940000,293.1501460000,0.1783329840,293.1842040000,293.1666260000,293.1569210000,293.2230220000
