Time [ s ],Monitor Point: Coil12 X0 Z0089 (Temperature) [ K ]
0.1770000010,293.3591310000
0.1780000030,293.3604130000
0.1790000050,293.3616640000
0.1800000070,293.3629150000
0.1809999940,293.3641660000
0.1819999960,293.3654480000
0.1829999980,293.3666990000
0.1840000000,293.3679810000
0.1850000020,293.3692320000
0.1860000040,293.3704830000
0.1870000060,293.3717650000
0.1879999940,293.3730160000
0.1889999960,293.3742680000
0.1899999980,293.3755190000
0.1910000000,293.3768010000
0.1920000020,293.3780520000
0.1930000040,293.3793030000
0.1940000060,293.3805850000
0.1949999930,293.3818360000
0.1959999950,293.3830870000
0.1969999970,293.3843380000
0.1979999990,293.3856200000
0.1990000010,293.3868710000
0.2000000030,293.3881230000
0.2010000050,293.3894040000
0.2020000070,293.3906560000
0.2029999940,293.3919070000
0.2039999960,293.3931580000
0.2049999980,293.3944090000
0.2060000000,293.3956910000
0.2070000020,293.3969420000
0.2080000040,293.3981930000
0.2090000060,293.3994450000
0.2099999930,293.4006960000
0.2109999950,293.4019780000
0.2119999970,293.4032290000
0.2130000000,293.4044800000
0.2140000020,293.4057310000
0.2150000040,293.4069820000
0.2160000060,293.4082640000
0.2169999930,293.4094850000
0.2179999950,293.4107670000
0.2189999970,293.4120180000
0.2199999990,293.4132690000
0.2210000010,293.4145200000
0.2220000030,293.4157710000
0.2230000050,293.4170230000
0.2240000070,293.4183040000
0.2249999940,293.4195250000
0.2259999960,293.4208070000
0.2269999980,293.4220580000
0.2280000000,293.4233090000
0.2290000020,293.4245610000
0.2300000040,293.4258120000
0.2310000060,293.4270630000
0.2319999930,293.4283140000
0.2329999950,293.4295650000
0.2339999970,293.4308170000
0.2349999990,293.4320680000
0.2360000010,293.4333190000
0.2370000030,293.4345700000
0.2380000050,293.4358520000
0.2389999930,293.4371030000
0.2399999950,293.4383540000
0.2409999970,293.4395750000
0.2419999990,293.4408260000
0.2430000010,293.4420780000
0.2440000030,293.4433590000
0.2450000050,293.4446110000
0.2460000070,293.4458620000
0.2469999940,293.4471130000
0.2479999960,293.4483640000
0.2489999980,293.4495850000
0.2500000000,293.4508360000
0.2509999870,293.4520870000
0.2520000040,293.4533390000
0.2529999910,293.4545900000
0.2540000080,293.4558410000
0.2549999950,293.4570920000
0.2560000120,293.4583440000
0.2569999990,293.4595950000
0.2579999860,293.4608460000
0.2590000030,293.4620970000
0.2599999900,293.4633480000
0.2610000070,293.4646000000
0.2619999950,293.4658510000
0.2630000110,293.4670720000
0.2639999990,293.4683230000
0.2649999860,293.4695740000
0.2660000030,293.4708250000
0.2669999900,293.4720760000
0.2680000070,293.4733280000
0.2689999940,293.4745790000
0.2700000110,293.4758000000
0.2709999980,293.4770510000
0.2720000150,293.4783020000
0.2730000020,293.4795530000
0.2739999890,293.4808040000
0.2750000060,293.4820250000
0.2759999930,293.4832760000
0.2770000100,293.4845280000
0.2779999970,293.4857790000
0.2790000140,293.4870300000
0.2800000010,293.4882810000
0.2809999880,293.4895020000
0.2820000050,293.4907530000
0.2829999920,293.4920040000
0.2840000090,293.4932560000
0.2849999960,293.4945070000
0.2860000130,293.4957580000
0.2870000000,293.4969790000
0.2879999880,293.4982300000
0.2890000050,293.4994810000
0.2899999920,293.5007320000
0.2910000090,293.5019530000
0.2919999960,293.5032040000
0.2930000130,293.5044560000
0.2940000000,293.5056760000
0.2949999870,293.5069270000
0.2960000040,293.5081790000
0.2969999910,293.5093990000
0.2980000080,293.5106510000
0.2989999950,293.5119020000
0.3000000120,293.5131530000
0.3009999990,293.5143740000
0.3019999860,293.5156250000
0.3030000030,293.5168460000
0.3039999900,293.5180970000
0.3050000070,293.5193480000
0.3059999940,293.5205690000
0.3070000110,293.5218200000
0.3079999980,293.5230710000
0.3089999850,293.5242920000
0.3100000020,293.5255430000
0.3109999900,293.5267940000
0.3120000060,293.5280150000
0.3129999940,293.5292660000
0.3140000100,293.5304870000
0.3149999980,293.5317380000
0.3160000150,293.5329900000
0.3170000020,293.5342100000
0.3179999890,293.5354610000
0.3190000060,293.5366820000
0.3199999930,293.5379330000
0.3210000100,293.5391850000
0.3219999970,293.5404050000
0.3230000140,293.5416260000
0.3240000010,293.5428770000
0.3249999880,293.5441280000
0.3260000050,293.5453490000
0.3269999920,293.5466000000
0.3280000090,293.5478210000
0.3289999960,293.5490720000
0.3300000130,293.5502930000
0.3310000000,293.5515440000
0.3319999870,293.5527650000
0.3330000040,293.5540160000
0.3339999910,293.5552370000
0.3350000080,293.5564880000
0.3359999950,293.5577090000
0.3370000120,293.5589600000
0.3380000000,293.5601810000
0.3389999870,293.5614320000
0.3400000040,293.5626530000
0.3409999910,293.5639040000
