[Name],,,
Line1mm,,,
,,,
[Data],,,
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0.0000000000,0.0045250002,0.0469250008,0.0083517646
0.0000000000,0.0045282007,0.0469250008,0.0083265426
0.0000000000,0.0045314012,0.0469250008,0.0083293617
0.0000000000,0.0045346017,0.0469250008,0.0083321827
0.0000000000,0.0045378022,0.0469250008,0.0083350083
0.0000000000,0.0045410027,0.0469250008,0.0083378349
0.0000000000,0.0045442032,0.0469250008,0.0083406651
0.0000000000,0.0045474037,0.0469250008,0.0083434973
0.0000000000,0.0045506041,0.0469250008,0.0083463332
0.0000000000,0.0045538046,0.0469250008,0.0083491718
0.0000000000,0.0045570051,0.0469250008,0.0083520124
0.0000000000,0.0045602056,0.0469250008,0.0083548557
0.0000000000,0.0045634061,0.0469250008,0.0083577028
0.0000000000,0.0045666066,0.0469250008,0.0083605526
0.0000000000,0.0045698071,0.0469250008,0.0083634052
0.0000000000,0.0045730076,0.0469250008,0.0083662597
0.0000000000,0.0045762081,0.0469250008,0.0083691180
0.0000000000,0.0045794086,0.0469250008,0.0083719771
0.0000000000,0.0045826091,0.0469250008,0.0083748307
0.0000000000,0.0045858095,0.0469250008,0.0083776424
0.0000000000,0.0045890100,0.0469250008,0.0083804578
0.0000000000,0.0045922105,0.0469250008,0.0083832750
0.0000000000,0.0045954110,0.0469250008,0.0083860941
0.0000000000,0.0045986115,0.0469250008,0.0083889179
0.0000000000,0.0046018120,0.0469250008,0.0083917445
0.0000000000,0.0046050125,0.0469250008,0.0083945738
0.0000000000,0.0046082130,0.0469250008,0.0083974050
0.0000000000,0.0046114135,0.0469250008,0.0084002400
0.0000000000,0.0046146140,0.0469250008,0.0084030787
0.0000000000,0.0046178144,0.0469250008,0.0084059192
0.0000000000,0.0046210149,0.0469250008,0.0084087802
0.0000000000,0.0046242154,0.0469250008,0.0084116505
0.0000000000,0.0046274159,0.0469250008,0.0084145237
0.0000000000,0.0046306164,0.0469250008,0.0084173996
0.0000000000,0.0046338169,0.0469250008,0.0084202774
0.0000000000,0.0046370174,0.0469250008,0.0084231589
0.0000000000,0.0046402179,0.0469250008,0.0084260423
0.0000000000,0.0046434184,0.0469250008,0.0084289284
0.0000000000,0.0046466189,0.0469250008,0.0084318165
0.0000000000,0.0046498193,0.0469250008,0.0084347082
0.0000000000,0.0046530198,0.0469250008,0.0084376028
0.0000000000,0.0046562203,0.0469250008,0.0084404992
0.0000000000,0.0046594208,0.0469250008,0.0084433975
0.0000000000,0.0046626213,0.0469250008,0.0084462985
0.0000000000,0.0046658218,0.0469250008,0.0084492033
0.0000000000,0.0046690223,0.0469250008,0.0084521100
0.0000000000,0.0046722228,0.0469250008,0.0084550194
0.0000000000,0.0046754233,0.0469250008,0.0084579326
0.0000000000,0.0046786238,0.0469250008,0.0084608467
0.0000000000,0.0046818242,0.0469250008,0.0084637636
0.0000000000,0.0046850247,0.0469250008,0.0084666824
0.0000000000,0.0046882252,0.0469250008,0.0084694512
0.0000000000,0.0046914257,0.0469250008,0.0084722443
0.0000000000,0.0046946262,0.0469250008,0.0084750392
0.0000000000,0.0046978267,0.0469250008,0.0084778359
0.0000000000,0.0047010272,0.0469250008,0.0084806355
0.0000000000,0.0047042277,0.0469250008,0.0084836073
0.0000000000,0.0047074282,0.0469250008,0.0084880386
0.0000000000,0.0047106287,0.0469250008,0.0084924744
0.0000000000,0.0047138291,0.0469250008,0.0084969122
0.0000000000,0.0047170296,0.0469250008,0.0085013518
0.0000000000,0.0047202301,0.0469250008,0.0085057942
0.0000000000,0.0047234306,0.0469250008,0.0085102394
0.0000000000,0.0047266311,0.0469250008,0.0085146138
0.0000000000,0.0047298316,0.0469250008,0.0085190134
0.0000000000,0.0047330321,0.0469250008,0.0085233375
0.0000000000,0.0047362326,0.0469250008,0.0085276626
0.0000000000,0.0047394331,0.0469250008,0.0085319923
0.0000000000,0.0047426336,0.0469250008,0.0085363258
0.0000000000,0.0047458340,0.0469250008,0.0085406601
0.0000000000,0.0047490345,0.0469250008,0.0085449954
0.0000000000,0.0047522350,0.0469250008,0.0085493354
0.0000000000,0.0047554355,0.0469250008,0.0085536791
0.0000000000,0.0047586360,0.0469250008,0.0085580237
0.0000000000,0.0047618365,0.0469250008,0.0085623711
0.0000000000,0.0047650370,0.0469250008,0.0085667223
0.0000000000,0.0047682375,0.0469250008,0.0085710753
0.0000000000,0.0047714380,0.0469250008,0.0085754301
0.0000000000,0.0047746385,0.0469250008,0.0085797887
0.0000000000,0.0047778389,0.0469250008,0.0085841510
0.0000000000,0.0047810394,0.0469250008,0.0085885143
0.0000000000,0.0047842399,0.0469250008,0.0085928794
0.0000000000,0.0047874404,0.0469250008,0.0085972482
0.0000000000,0.0047906409,0.0469250008,0.0086016189
0.0000000000,0.0047938414,0.0469250008,0.0086059952
0.0000000000,0.0047970419,0.0469250008,0.0086103706
0.0000000000,0.0048002424,0.0469250008,0.0086147506
0.0000000000,0.0048034429,0.0469250008,0.0086191325
0.0000000000,0.0048066434,0.0469250008,0.0086235134
0.0000000000,0.0048098438,0.0469250008,0.0086278943
0.0000000000,0.0048130443,0.0469250008,0.0086322781
0.0000000000,0.0048162448,0.0469250008,0.0086366646
0.0000000000,0.0048194453,0.0469250008,0.0086410530
0.0000000000,0.0048226458,0.0469250008,0.0086454451
0.0000000000,0.0048258463,0.0469250008,0.0086498410
0.0000000000,0.0048290468,0.0469250008,0.0086542377
0.0000000000,0.0048322473,0.0469250008,0.0086586392
0.0000000000,0.0048354478,0.0469250008,0.0086630415
0.0000000000,0.0048386483,0.0469250008,0.0086674560
0.0000000000,0.0048418487,0.0469250008,0.0086718835
0.0000000000,0.0048450492,0.0469250008,0.0086763157
0.0000000000,0.0048482497,0.0469250008,0.0086807488
0.0000000000,0.0048514502,0.0469250008,0.0086851846
0.0000000000,0.0048546507,0.0469250008,0.0086896233
0.0000000000,0.0048578512,0.0469250008,0.0086940639
0.0000000000,0.0048610517,0.0469250008,0.0086985072
0.0000000000,0.0048642522,0.0469250008,0.0087029543
0.0000000000,0.0048674527,0.0469250008,0.0087074023
0.0000000000,0.0048706532,0.0469250008,0.0087122126
0.0000000000,0.0048738536,0.0469250008,0.0087175854
0.0000000000,0.0048770541,0.0469250008,0.0087229591
0.0000000000,0.0048802546,0.0469250008,0.0087283356
0.0000000000,0.0048834551,0.0469250008,0.0087337159
0.0000000000,0.0048866556,0.0469250008,0.0087390980
0.0000000000,0.0048898561,0.0469250008,0.0087444810
0.0000000000,0.0048930566,0.0469250008,0.0087498678
0.0000000000,0.0048962571,0.0469250008,0.0087552574
0.0000000000,0.0048994576,0.0469250008,0.0087606488
0.0000000000,0.0049026581,0.0469250008,0.0087660439
0.0000000000,0.0049058585,0.0469250008,0.0087714391
0.0000000000,0.0049090590,0.0469250008,0.0087768389
0.0000000000,0.0049122595,0.0469250008,0.0087822387
0.0000000000,0.0049154600,0.0469250008,0.0087880939
0.0000000000,0.0049186605,0.0469250008,0.0087928604
0.0000000000,0.0049218610,0.0469250008,0.0087980516
0.0000000000,0.0049250615,0.0469250008,0.0088032456
0.0000000000,0.0049282620,0.0469250008,0.0088084433
0.0000000000,0.0049314625,0.0469250008,0.0088136401
0.0000000000,0.0049346630,0.0469250008,0.0088188415
0.0000000000,0.0049378634,0.0469250008,0.0088240458
0.0000000000,0.0049410639,0.0469250008,0.0088292500
0.0000000000,0.0049442644,0.0469250008,0.0088344570
0.0000000000,0.0049474649,0.0469250008,0.0088396668
0.0000000000,0.0049506654,0.0469250008,0.0088448785
0.0000000000,0.0049538659,0.0469250008,0.0088500911
0.0000000000,0.0049570664,0.0469250008,0.0088553084
0.0000000000,0.0049602669,0.0469250008,0.0088605275
0.0000000000,0.0049634674,0.0469250008,0.0088657476
0.0000000000,0.0049666679,0.0469250008,0.0088709714
0.0000000000,0.0049698683,0.0469250008,0.0088761970
0.0000000000,0.0049730688,0.0469250008,0.0088814236
0.0000000000,0.0049762693,0.0469250008,0.0088866539
0.0000000000,0.0049794698,0.0469250008,0.0088918861
0.0000000000,0.0049826703,0.0469250008,0.0088971192
0.0000000000,0.0049858708,0.0469250008,0.0089023560
0.0000000000,0.0049890713,0.0469250008,0.0089075938
0.0000000000,0.0049922718,0.0469250008,0.0089128343
0.0000000000,0.0049954723,0.0469250008,0.0089180777
0.0000000000,0.0049986728,0.0469250008,0.0089233220
0.0000000000,0.0050018732,0.0469250008,0.0089285681
0.0000000000,0.0050050737,0.0469250008,0.0089338189
0.0000000000,0.0050082742,0.0469250008,0.0089390697
0.0000000000,0.0050114747,0.0469250008,0.0089443233
0.0000000000,0.0050146752,0.0469250008,0.0089495787
0.0000000000,0.0050178757,0.0469250008,0.0089548361
0.0000000000,0.0050210762,0.0469250008,0.0089600962
0.0000000000,0.0050242767,0.0469250008,0.0089653591
0.0000000000,0.0050274772,0.0469250008,0.0089706229
0.0000000000,0.0050306777,0.0469250008,0.0089758886
0.0000000000,0.0050338781,0.0469250008,0.0089817019
0.0000000000,0.0050370786,0.0469250008,0.0089875441
0.0000000000,0.0050402791,0.0469250008,0.0089933872
0.0000000000,0.0050434796,0.0469250008,0.0089992331
0.0000000000,0.0050466801,0.0469250008,0.0090050828
0.0000000000,0.0050498806,0.0469250008,0.0090109315
0.0000000000,0.0050530811,0.0469250008,0.0090167848
0.0000000000,0.0050562816,0.0469250008,0.0090226391
0.0000000000,0.0050594821,0.0469250008,0.0090284953
0.0000000000,0.0050626826,0.0469250008,0.0090343542
0.0000000000,0.0050658830,0.0469250008,0.0090402151
0.0000000000,0.0050690835,0.0469250008,0.0090460777
0.0000000000,0.0050722840,0.0469250008,0.0090519423
0.0000000000,0.0050754845,0.0469250008,0.0090578087
0.0000000000,0.0050786850,0.0469250008,0.0090636779
0.0000000000,0.0050818855,0.0469250008,0.0090695489
0.0000000000,0.0050850860,0.0469250008,0.0090754218
0.0000000000,0.0050882865,0.0469250008,0.0090812976
0.0000000000,0.0050914870,0.0469250008,0.0090871751
0.0000000000,0.0050946875,0.0469250008,0.0090932222
0.0000000000,0.0050978879,0.0469250008,0.0090993876
0.0000000000,0.0051010884,0.0469250008,0.0091055557
0.0000000000,0.0051042889,0.0469250008,0.0091117248
0.0000000000,0.0051074894,0.0469250008,0.0091178967
0.0000000000,0.0051106899,0.0469250008,0.0091240713
0.0000000000,0.0051138904,0.0469250008,0.0091302488
0.0000000000,0.0051170909,0.0469250008,0.0091364272
0.0000000000,0.0051202914,0.0469250008,0.0091426075
0.0000000000,0.0051234919,0.0469250008,0.0091487896
0.0000000000,0.0051266924,0.0469250008,0.0091549745
