[Name],,,
Line1mm,,,
,,,
[Data],,,
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0.0000000000,0.0045250002,0.0469250008,0.0083965883
0.0000000000,0.0045282007,0.0469250008,0.0083958730
0.0000000000,0.0045314012,0.0469250008,0.0083986828
0.0000000000,0.0045346017,0.0469250008,0.0084014935
0.0000000000,0.0045378022,0.0469250008,0.0084043071
0.0000000000,0.0045410027,0.0469250008,0.0084071252
0.0000000000,0.0045442032,0.0469250008,0.0084099434
0.0000000000,0.0045474037,0.0469250008,0.0084127663
0.0000000000,0.0045506041,0.0469250008,0.0084155910
0.0000000000,0.0045538046,0.0469250008,0.0084184185
0.0000000000,0.0045570051,0.0469250008,0.0084212478
0.0000000000,0.0045602056,0.0469250008,0.0084240800
0.0000000000,0.0045634061,0.0469250008,0.0084269149
0.0000000000,0.0045666066,0.0469250008,0.0084297527
0.0000000000,0.0045698071,0.0469250008,0.0084326211
0.0000000000,0.0045730076,0.0469250008,0.0084353443
0.0000000000,0.0045762081,0.0469250008,0.0084380694
0.0000000000,0.0045794086,0.0469250008,0.0084407972
0.0000000000,0.0045826091,0.0469250008,0.0084435279
0.0000000000,0.0045858095,0.0469250008,0.0084462604
0.0000000000,0.0045890100,0.0469250008,0.0084489947
0.0000000000,0.0045922105,0.0469250008,0.0084517319
0.0000000000,0.0045954110,0.0469250008,0.0084544718
0.0000000000,0.0045986115,0.0469250008,0.0084572146
0.0000000000,0.0046018120,0.0469250008,0.0084599582
0.0000000000,0.0046050125,0.0469250008,0.0084627056
0.0000000000,0.0046082130,0.0469250008,0.0084654540
0.0000000000,0.0046114135,0.0469250008,0.0084682060
0.0000000000,0.0046146140,0.0469250008,0.0084709590
0.0000000000,0.0046178144,0.0469250008,0.0084737148
0.0000000000,0.0046210149,0.0469250008,0.0084764734
0.0000000000,0.0046242154,0.0469250008,0.0084792348
0.0000000000,0.0046274159,0.0469250008,0.0084819971
0.0000000000,0.0046306164,0.0469250008,0.0084847631
0.0000000000,0.0046338169,0.0469250008,0.0084875003
0.0000000000,0.0046370174,0.0469250008,0.0084902374
0.0000000000,0.0046402179,0.0469250008,0.0084929476
0.0000000000,0.0046434184,0.0469250008,0.0084956577
0.0000000000,0.0046466189,0.0469250008,0.0084983725
0.0000000000,0.0046498193,0.0469250008,0.0085010892
0.0000000000,0.0046530198,0.0469250008,0.0085038086
0.0000000000,0.0046562203,0.0469250008,0.0085065281
0.0000000000,0.0046594208,0.0469250008,0.0085092513
0.0000000000,0.0046626213,0.0469250008,0.0085119773
0.0000000000,0.0046658218,0.0469250008,0.0085147042
0.0000000000,0.0046690223,0.0469250008,0.0085174339
0.0000000000,0.0046722228,0.0469250008,0.0085201655
0.0000000000,0.0046754233,0.0469250008,0.0085228998
0.0000000000,0.0046786238,0.0469250008,0.0085256351
0.0000000000,0.0046818242,0.0469250008,0.0085283751
0.0000000000,0.0046850247,0.0469250008,0.0085311150
0.0000000000,0.0046882252,0.0469250008,0.0085338578
0.0000000000,0.0046914257,0.0469250008,0.0085366033
0.0000000000,0.0046946262,0.0469250008,0.0085393507
0.0000000000,0.0046978267,0.0469250008,0.0085421000
0.0000000000,0.0047010272,0.0469250008,0.0085449694
0.0000000000,0.0047042277,0.0469250008,0.0085493643
0.0000000000,0.0047074282,0.0469250008,0.0085537611
0.0000000000,0.0047106287,0.0469250008,0.0085581616
0.0000000000,0.0047138291,0.0469250008,0.0085625621
0.0000000000,0.0047170296,0.0469250008,0.0085669663
0.0000000000,0.0047202301,0.0469250008,0.0085713733
0.0000000000,0.0047234306,0.0469250008,0.0085757822
0.0000000000,0.0047266311,0.0469250008,0.0085801939
0.0000000000,0.0047298316,0.0469250008,0.0085846074
0.0000000000,0.0047330321,0.0469250008,0.0085890228
0.0000000000,0.0047362326,0.0469250008,0.0085934410
0.0000000000,0.0047394331,0.0469250008,0.0085978601
0.0000000000,0.0047426336,0.0469250008,0.0086022830
0.0000000000,0.0047458340,0.0469250008,0.0086067086
0.0000000000,0.0047490345,0.0469250008,0.0086111361
0.0000000000,0.0047522350,0.0469250008,0.0086155646
0.0000000000,0.0047554355,0.0469250008,0.0086199958
0.0000000000,0.0047586360,0.0469250008,0.0086244307
0.0000000000,0.0047618365,0.0469250008,0.0086288666
0.0000000000,0.0047650370,0.0469250008,0.0086333053
0.0000000000,0.0047682375,0.0469250008,0.0086377459
0.0000000000,0.0047714380,0.0469250008,0.0086421901
0.0000000000,0.0047746385,0.0469250008,0.0086466344
0.0000000000,0.0047778389,0.0469250008,0.0086510824
0.0000000000,0.0047810394,0.0469250008,0.0086555313
0.0000000000,0.0047842399,0.0469250008,0.0086599840
0.0000000000,0.0047874404,0.0469250008,0.0086644385
0.0000000000,0.0047906409,0.0469250008,0.0086688939
0.0000000000,0.0047938414,0.0469250008,0.0086733531
0.0000000000,0.0047970419,0.0469250008,0.0086778142
0.0000000000,0.0048002424,0.0469250008,0.0086822771
0.0000000000,0.0048034429,0.0469250008,0.0086867427
0.0000000000,0.0048066434,0.0469250008,0.0086912094
0.0000000000,0.0048098438,0.0469250008,0.0086956788
0.0000000000,0.0048130443,0.0469250008,0.0087001519
0.0000000000,0.0048162448,0.0469250008,0.0087046260
0.0000000000,0.0048194453,0.0469250008,0.0087091010
0.0000000000,0.0048226458,0.0469250008,0.0087135807
0.0000000000,0.0048258463,0.0469250008,0.0087179728
0.0000000000,0.0048290468,0.0469250008,0.0087225623
0.0000000000,0.0048322473,0.0469250008,0.0087270644
0.0000000000,0.0048354478,0.0469250008,0.0087315682
0.0000000000,0.0048386483,0.0469250008,0.0087360740
0.0000000000,0.0048418487,0.0469250008,0.0087405825
0.0000000000,0.0048450492,0.0469250008,0.0087450938
0.0000000000,0.0048482497,0.0469250008,0.0087496061
0.0000000000,0.0048514502,0.0469250008,0.0087541221
0.0000000000,0.0048546507,0.0469250008,0.0087586381
0.0000000000,0.0048578512,0.0469250008,0.0087631559
0.0000000000,0.0048610517,0.0469250008,0.0087675899
0.0000000000,0.0048642522,0.0469250008,0.0087718526
0.0000000000,0.0048674527,0.0469250008,0.0087761171
0.0000000000,0.0048706532,0.0469250008,0.0087803816
0.0000000000,0.0048738536,0.0469250008,0.0087846508
0.0000000000,0.0048770541,0.0469250008,0.0087889219
0.0000000000,0.0048802546,0.0469250008,0.0087931957
0.0000000000,0.0048834551,0.0469250008,0.0087974714
0.0000000000,0.0048866556,0.0469250008,0.0088017499
0.0000000000,0.0048898561,0.0469250008,0.0088060284
0.0000000000,0.0048930566,0.0469250008,0.0088103116
0.0000000000,0.0048962571,0.0469250008,0.0088145956
0.0000000000,0.0048994576,0.0469250008,0.0088193081
0.0000000000,0.0049026581,0.0469250008,0.0088245366
0.0000000000,0.0049058585,0.0469250008,0.0088297678
0.0000000000,0.0049090590,0.0469250008,0.0088350018
0.0000000000,0.0049122595,0.0469250008,0.0088402377
0.0000000000,0.0049154600,0.0469250008,0.0088454746
0.0000000000,0.0049186605,0.0469250008,0.0088507142
0.0000000000,0.0049218610,0.0469250008,0.0088559575
0.0000000000,0.0049250615,0.0469250008,0.0088612018
0.0000000000,0.0049282620,0.0469250008,0.0088662319
0.0000000000,0.0049314625,0.0469250008,0.0088717276
0.0000000000,0.0049346630,0.0469250008,0.0088770129
0.0000000000,0.0049378634,0.0469250008,0.0088822590
0.0000000000,0.0049410639,0.0469250008,0.0088875052
0.0000000000,0.0049442644,0.0469250008,0.0088927560
0.0000000000,0.0049474649,0.0469250008,0.0088980068
0.0000000000,0.0049506654,0.0469250008,0.0089032603
0.0000000000,0.0049538659,0.0469250008,0.0089085167
0.0000000000,0.0049570664,0.0469250008,0.0089137740
0.0000000000,0.0049602669,0.0469250008,0.0089190342
0.0000000000,0.0049634674,0.0469250008,0.0089242961
0.0000000000,0.0049666679,0.0469250008,0.0089295600
0.0000000000,0.0049698683,0.0469250008,0.0089348247
0.0000000000,0.0049730688,0.0469250008,0.0089400942
0.0000000000,0.0049762693,0.0469250008,0.0089453626
0.0000000000,0.0049794698,0.0469250008,0.0089506358
0.0000000000,0.0049826703,0.0469250008,0.0089559089
0.0000000000,0.0049858708,0.0469250008,0.0089611849
0.0000000000,0.0049890713,0.0469250008,0.0089664636
0.0000000000,0.0049922718,0.0469250008,0.0089717424
0.0000000000,0.0049954723,0.0469250008,0.0089770230
0.0000000000,0.0049986728,0.0469250008,0.0089823082
0.0000000000,0.0050018732,0.0469250008,0.0089875935
0.0000000000,0.0050050737,0.0469250008,0.0089928806
0.0000000000,0.0050082742,0.0469250008,0.0089981714
0.0000000000,0.0050114747,0.0469250008,0.0090034623
0.0000000000,0.0050146752,0.0469250008,0.0090087568
0.0000000000,0.0050178757,0.0469250008,0.0090140514
0.0000000000,0.0050210762,0.0469250008,0.0090193497
0.0000000000,0.0050242767,0.0469250008,0.0090246489
0.0000000000,0.0050274772,0.0469250008,0.0090299500
0.0000000000,0.0050306777,0.0469250008,0.0090352530
0.0000000000,0.0050338781,0.0469250008,0.0090405587
0.0000000000,0.0050370786,0.0469250008,0.0090458663
0.0000000000,0.0050402791,0.0469250008,0.0090511749
0.0000000000,0.0050434796,0.0469250008,0.0090564862
0.0000000000,0.0050466801,0.0469250008,0.0090618003
0.0000000000,0.0050498806,0.0469250008,0.0090673016
0.0000000000,0.0050530811,0.0469250008,0.0090731485
0.0000000000,0.0050562816,0.0469250008,0.0090789953
0.0000000000,0.0050594821,0.0469250008,0.0090848450
0.0000000000,0.0050626826,0.0469250008,0.0090906983
0.0000000000,0.0050658830,0.0469250008,0.0090965517
0.0000000000,0.0050690835,0.0469250008,0.0091024088
0.0000000000,0.0050722840,0.0469250008,0.0091082659
0.0000000000,0.0050754845,0.0469250008,0.0091141257
0.0000000000,0.0050786850,0.0469250008,0.0091199875
0.0000000000,0.0050818855,0.0469250008,0.0091258511
0.0000000000,0.0050850860,0.0469250008,0.0091317175
0.0000000000,0.0050882865,0.0469250008,0.0091375848
0.0000000000,0.0050914870,0.0469250008,0.0091434559
0.0000000000,0.0050946875,0.0469250008,0.0091493269
0.0000000000,0.0050978879,0.0469250008,0.0091552008
0.0000000000,0.0051010884,0.0469250008,0.0091610765
0.0000000000,0.0051042889,0.0469250008,0.0091669550
0.0000000000,0.0051074894,0.0469250008,0.0091728345
0.0000000000,0.0051106899,0.0469250008,0.0091787158
0.0000000000,0.0051138904,0.0469250008,0.0091845999
0.0000000000,0.0051170909,0.0469250008,0.0091904849
0.0000000000,0.0051202914,0.0469250008,0.0091963727
0.0000000000,0.0051234919,0.0469250008,0.0092022624
0.0000000000,0.0051266924,0.0469250008,0.0092081539
0.0000000000,0.0051298928,0.0469250008,0.0092140473
0.0000000000,0.0051330933,0.0469250008,0.0092199426
0.0000000000,0.0051362938,0.0469250008,0.0092258407
0.0000000000,0.0051394943,0.0469250008,0.0092317387
0.0000000000,0.0051426948,0.0469250008,0.0092376405
0.0000000000,0.0051458953,0.0469250008,0.0092435433
0.0000000000,0.0051490958,0.0469250008,0.0092494478
0.0000000000,0.0051522963,0.0469250008,0.0092553543
0.0000000000,0.0051554968,0.0469250008,0.0092612645
0.0000000000,0.0051586973,0.0469250008,0.0092671756
0.0000000000,0.0051618977,0.0469250008,0.0092730867
0.0000000000,0.0051650982,0.0469250008,0.0092790006
0.0000000000,0.0051682987,0.0469250008,0.0092849173
0.0000000000,0.0051714992,0.0469250008,0.0092908358
0.0000000000,0.0051746997,0.0469250008,0.0092967572
0.0000000000,0.0051779002,0.0469250008,0.0093026776
0.0000000000,0.0051811007,0.0469250008,0.0093086017
0.0000000000,0.0051843012,0.0469250008,0.0093145277
0.0000000000,0.0051875017,0.0469250008,0.0093204565
0.0000000000,0.0051907022,0.0469250008,0.0093262810
0.0000000000,0.0051939026,0.0469250008,0.0093320087
0.0000000000,0.0051971031,0.0469250008,0.0093378210
0.0000000000,0.0052003036,0.0469250008,0.0093438216
