[Name],,,
Line1mm,,,
,,,
[Data],,,
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0.0000000000,0.0045250002,0.0469250008,0.0084939860
0.0000000000,0.0045282007,0.0469250008,0.0085012848
0.0000000000,0.0045314012,0.0469250008,0.0085038003
0.0000000000,0.0045346017,0.0469250008,0.0085063176
0.0000000000,0.0045378022,0.0469250008,0.0085088387
0.0000000000,0.0045410027,0.0469250008,0.0085113607
0.0000000000,0.0045442032,0.0469250008,0.0085138856
0.0000000000,0.0045474037,0.0469250008,0.0085164765
0.0000000000,0.0045506041,0.0469250008,0.0085190702
0.0000000000,0.0045538046,0.0469250008,0.0085216658
0.0000000000,0.0045570051,0.0469250008,0.0085242642
0.0000000000,0.0045602056,0.0469250008,0.0085268626
0.0000000000,0.0045634061,0.0469250008,0.0085294647
0.0000000000,0.0045666066,0.0469250008,0.0085320678
0.0000000000,0.0045698071,0.0469250008,0.0085346727
0.0000000000,0.0045730076,0.0469250008,0.0085372813
0.0000000000,0.0045762081,0.0469250008,0.0085398918
0.0000000000,0.0045794086,0.0469250008,0.0085425042
0.0000000000,0.0045826091,0.0469250008,0.0085451175
0.0000000000,0.0045858095,0.0469250008,0.0085477354
0.0000000000,0.0045890100,0.0469250008,0.0085503543
0.0000000000,0.0045922105,0.0469250008,0.0085529741
0.0000000000,0.0045954110,0.0469250008,0.0085555976
0.0000000000,0.0045986115,0.0469250008,0.0085582221
0.0000000000,0.0046018120,0.0469250008,0.0085608484
0.0000000000,0.0046050125,0.0469250008,0.0085634775
0.0000000000,0.0046082130,0.0469250008,0.0085661095
0.0000000000,0.0046114135,0.0469250008,0.0085687423
0.0000000000,0.0046146140,0.0469250008,0.0085713770
0.0000000000,0.0046178144,0.0469250008,0.0085740155
0.0000000000,0.0046210149,0.0469250008,0.0085766539
0.0000000000,0.0046242154,0.0469250008,0.0085792961
0.0000000000,0.0046274159,0.0469250008,0.0085819401
0.0000000000,0.0046306164,0.0469250008,0.0085845850
0.0000000000,0.0046338169,0.0469250008,0.0085872319
0.0000000000,0.0046370174,0.0469250008,0.0085898824
0.0000000000,0.0046402179,0.0469250008,0.0085926550
0.0000000000,0.0046434184,0.0469250008,0.0085964547
0.0000000000,0.0046466189,0.0469250008,0.0086004501
0.0000000000,0.0046498193,0.0469250008,0.0086044455
0.0000000000,0.0046530198,0.0469250008,0.0086084446
0.0000000000,0.0046562203,0.0469250008,0.0086124456
0.0000000000,0.0046594208,0.0469250008,0.0086164493
0.0000000000,0.0046626213,0.0469250008,0.0086204521
0.0000000000,0.0046658218,0.0469250008,0.0086244605
0.0000000000,0.0046690223,0.0469250008,0.0086284690
0.0000000000,0.0046722228,0.0469250008,0.0086324820
0.0000000000,0.0046754233,0.0469250008,0.0086364932
0.0000000000,0.0046786238,0.0469250008,0.0086405091
0.0000000000,0.0046818242,0.0469250008,0.0086445268
0.0000000000,0.0046850247,0.0469250008,0.0086485455
0.0000000000,0.0046882252,0.0469250008,0.0086525679
0.0000000000,0.0046914257,0.0469250008,0.0086565912
0.0000000000,0.0046946262,0.0469250008,0.0086606173
0.0000000000,0.0046978267,0.0469250008,0.0086646453
0.0000000000,0.0047010272,0.0469250008,0.0086686751
0.0000000000,0.0047042277,0.0469250008,0.0086727068
0.0000000000,0.0047074282,0.0469250008,0.0086767422
0.0000000000,0.0047106287,0.0469250008,0.0086807767
0.0000000000,0.0047138291,0.0469250008,0.0086848158
0.0000000000,0.0047170296,0.0469250008,0.0086888550
0.0000000000,0.0047202301,0.0469250008,0.0086928969
0.0000000000,0.0047234306,0.0469250008,0.0086969417
0.0000000000,0.0047266311,0.0469250008,0.0087009873
0.0000000000,0.0047298316,0.0469250008,0.0087050367
0.0000000000,0.0047330321,0.0469250008,0.0087090861
0.0000000000,0.0047362326,0.0469250008,0.0087131392
0.0000000000,0.0047394331,0.0469250008,0.0087171933
0.0000000000,0.0047426336,0.0469250008,0.0087212492
