[Name],,,
Line1mm,,,
,,,
[Data],,,
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0.0000000000,0.0045250002,0.0469250008,0.0081192469
0.0000000000,0.0045282007,0.0469250008,0.0081793452
0.0000000000,0.0045314012,0.0469250008,0.0081819352
0.0000000000,0.0045346017,0.0469250008,0.0081845289
0.0000000000,0.0045378022,0.0469250008,0.0081871264
0.0000000000,0.0045410027,0.0469250008,0.0081897276
0.0000000000,0.0045442032,0.0469250008,0.0081923325
0.0000000000,0.0045474037,0.0469250008,0.0081949411
0.0000000000,0.0045506041,0.0469250008,0.0081975535
0.0000000000,0.0045538046,0.0469250008,0.0082001686
0.0000000000,0.0045570051,0.0469250008,0.0082027894
0.0000000000,0.0045602056,0.0469250008,0.0082054120
0.0000000000,0.0045634061,0.0469250008,0.0082080392
0.0000000000,0.0045666066,0.0469250008,0.0082106702
0.0000000000,0.0045698071,0.0469250008,0.0082133040
0.0000000000,0.0045730076,0.0469250008,0.0082159415
0.0000000000,0.0045762081,0.0469250008,0.0082185827
0.0000000000,0.0045794086,0.0469250008,0.0082212295
0.0000000000,0.0045826091,0.0469250008,0.0082238782
0.0000000000,0.0045858095,0.0469250008,0.0082265306
0.0000000000,0.0045890100,0.0469250008,0.0082291868
0.0000000000,0.0045922105,0.0469250008,0.0082318475
0.0000000000,0.0045954110,0.0469250008,0.0082345111
0.0000000000,0.0045986115,0.0469250008,0.0082371775
0.0000000000,0.0046018120,0.0469250008,0.0082398485
0.0000000000,0.0046050125,0.0469250008,0.0082425233
0.0000000000,0.0046082130,0.0469250008,0.0082452018
0.0000000000,0.0046114135,0.0469250008,0.0082478337
0.0000000000,0.0046146140,0.0469250008,0.0082503157
0.0000000000,0.0046178144,0.0469250008,0.0082528023
0.0000000000,0.0046210149,0.0469250008,0.0082552899
0.0000000000,0.0046242154,0.0469250008,0.0082577830
0.0000000000,0.0046274159,0.0469250008,0.0082602799
0.0000000000,0.0046306164,0.0469250008,0.0082627805
0.0000000000,0.0046338169,0.0469250008,0.0082652839
0.0000000000,0.0046370174,0.0469250008,0.0082677910
0.0000000000,0.0046402179,0.0469250008,0.0082703019
0.0000000000,0.0046434184,0.0469250008,0.0082728155
0.0000000000,0.0046466189,0.0469250008,0.0082755024
0.0000000000,0.0046498193,0.0469250008,0.0082786065
0.0000000000,0.0046530198,0.0469250008,0.0082817646
0.0000000000,0.0046562203,0.0469250008,0.0082849264
0.0000000000,0.0046594208,0.0469250008,0.0082880929
0.0000000000,0.0046626213,0.0469250008,0.0082912613
0.0000000000,0.0046658218,0.0469250008,0.0082944343
0.0000000000,0.0046690223,0.0469250008,0.0082980525
0.0000000000,0.0046722228,0.0469250008,0.0083017498
0.0000000000,0.0046754233,0.0469250008,0.0083054481
0.0000000000,0.0046786238,0.0469250008,0.0083091510
0.0000000000,0.0046818242,0.0469250008,0.0083128577
0.0000000000,0.0046850247,0.0469250008,0.0083165672
0.0000000000,0.0046882252,0.0469250008,0.0083202794
0.0000000000,0.0046914257,0.0469250008,0.0083239954
0.0000000000,0.0046946262,0.0469250008,0.0083277151
0.0000000000,0.0046978267,0.0469250008,0.0083314367
0.0000000000,0.0047010272,0.0469250008,0.0083351620
0.0000000000,0.0047042277,0.0469250008,0.0083388891
0.0000000000,0.0047074282,0.0469250008,0.0083426889
0.0000000000,0.0047106287,0.0469250008,0.0083465474
0.0000000000,0.0047138291,0.0469250008,0.0083504105
0.0000000000,0.0047170296,0.0469250008,0.0083542755
0.0000000000,0.0047202301,0.0469250008,0.0083581451
0.0000000000,0.0047234306,0.0469250008,0.0083620176
0.0000000000,0.0047266311,0.0469250008,0.0083658937
0.0000000000,0.0047298316,0.0469250008,0.0083697718
0.0000000000,0.0047330321,0.0469250008,0.0083736535
0.0000000000,0.0047362326,0.0469250008,0.0083775390
0.0000000000,0.0047394331,0.0469250008,0.0083814273
0.0000000000,0.0047426336,0.0469250008,0.0083853193
0.0000000000,0.0047458340,0.0469250008,0.0083892141
0.0000000000,0.0047490345,0.0469250008,0.0083931116
0.0000000000,0.0047522350,0.0469250008,0.0083970129
0.0000000000,0.0047554355,0.0469250008,0.0084009161
0.0000000000,0.0047586360,0.0469250008,0.0084048249
0.0000000000,0.0047618365,0.0469250008,0.0084087355
0.0000000000,0.0047650370,0.0469250008,0.0084126499
0.0000000000,0.0047682375,0.0469250008,0.0084165651
0.0000000000,0.0047714380,0.0469250008,0.0084204860
0.0000000000,0.0047746385,0.0469250008,0.0084244097
0.0000000000,0.0047778389,0.0469250008,0.0084283352
0.0000000000,0.0047810394,0.0469250008,0.0084322654
0.0000000000,0.0047842399,0.0469250008,0.0084361993
0.0000000000,0.0047874404,0.0469250008,0.0084401341
0.0000000000,0.0047906409,0.0469250008,0.0084447274
0.0000000000,0.0047938414,0.0469250008,0.0084495172
0.0000000000,0.0047970419,0.0469250008,0.0084543088
0.0000000000,0.0048002424,0.0469250008,0.0084591033
0.0000000000,0.0048034429,0.0469250008,0.0084639005
0.0000000000,0.0048066434,0.0469250008,0.0084687024
0.0000000000,0.0048098438,0.0469250008,0.0084735053
0.0000000000,0.0048130443,0.0469250008,0.0084783128
0.0000000000,0.0048162448,0.0469250008,0.0084831240
0.0000000000,0.0048194453,0.0469250008,0.0084879361
0.0000000000,0.0048226458,0.0469250008,0.0084927538
0.0000000000,0.0048258463,0.0469250008,0.0084975725
0.0000000000,0.0048290468,0.0469250008,0.0085023958
0.0000000000,0.0048322473,0.0469250008,0.0085072210
0.0000000000,0.0048354478,0.0469250008,0.0085120499
0.0000000000,0.0048386483,0.0469250008,0.0085168807
0.0000000000,0.0048418487,0.0469250008,0.0085217152
0.0000000000,0.0048450492,0.0469250008,0.0085265525
0.0000000000,0.0048482497,0.0469250008,0.0085313935
0.0000000000,0.0048514502,0.0469250008,0.0085362373
0.0000000000,0.0048546507,0.0469250008,0.0085410839
0.0000000000,0.0048578512,0.0469250008,0.0085459342
