Time [s],Monitor Point: CenterVel (Velocity) [m s^-1],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: r0Vel (Velocity) [m s^-1],Monitor Point: r1Vel (Velocity) [m s^-1],Monitor Point: r2Vel (Velocity) [m s^-1],Monitor Point: r3Vel (Velocity) [m s^-1],Monitor Point: r4Vel (Velocity) [m s^-1]
0.1309999970,0.4999366400,0.5086317060,0.4999366400,0.4618672730,0.2937991320,0.1289504920,0.0285111740
0.1334999950,0.5000590090,0.5086317660,0.5000590090,0.4619653820,0.2938712240,0.1288778040,0.0282530393
0.1360000070,0.5001688000,0.5086317660,0.5001688000,0.4620518980,0.2939336900,0.1288138330,0.0280371793
0.1385000050,0.5002661350,0.5086318250,0.5002661350,0.4621281030,0.2939885560,0.1287577750,0.0278531127
0.1410000030,0.5003514290,0.5086318850,0.5003514290,0.4621950690,0.2940373720,0.1287088100,0.0276928321
0.1435000000,0.5004254580,0.5086318850,0.5004254580,0.4622538980,0.2940812410,0.1286659840,0.0275503155
0.1459999980,0.5004894140,0.5086318850,0.5004894140,0.4623055460,0.2941211160,0.1286283430,0.0274210125
0.1484999950,0.5005446080,0.5086319450,0.5005446080,0.4623511140,0.2941576840,0.1285948900,0.0273016356
0.1509999930,0.5005924110,0.5086319450,0.5005924110,0.4623916450,0.2941914800,0.1285648050,0.0271900613
0.1535000060,0.5006342530,0.5086319450,0.5006342530,0.4624281230,0.2942229210,0.1285374760,0.0270849187
0.1560000030,0.5006712680,0.5086320040,0.5006712680,0.4624613820,0.2942524850,0.1285124870,0.0269854050
0.1585000010,0.5007044670,0.5086320040,0.5007044670,0.4624921380,0.2942804400,0.1284892710,0.0268908981
0.1609999980,0.5007346870,0.5086320040,0.5007346870,0.4625208970,0.2943070530,0.1284675750,0.0268011335
0.1634999960,0.5007625220,0.5086320040,0.5007625220,0.4625480770,0.2943325040,0.1284472940,0.0267159957
0.1659999940,0.5007884500,0.5086320640,0.5007884500,0.4625739460,0.2943568830,0.1284282950,0.0266354121
0.1685000060,0.5008127690,0.5086320640,0.5008127690,0.4625987110,0.2943803070,0.1284104880,0.0265592597
0.1710000040,0.5008358360,0.5086320640,0.5008358360,0.4626224640,0.2944028680,0.1283937990,0.0264874306
0.1735000010,0.5008577110,0.5086320640,0.5008577110,0.4626453220,0.2944245640,0.1283781530,0.0264198277
0.1759999990,0.5008786320,0.5086320640,0.5008786320,0.4626673160,0.2944454250,0.1283635350,0.0263563301
0.1784999970,0.5008986000,0.5086321230,0.5008986000,0.4626884460,0.2944654820,0.1283498850,0.0262967888
0.1809999940,0.5009176730,0.5086321230,0.5009176730,0.4627087710,0.2944847350,0.1283371750,0.0262410212
0.1835000070,0.5009359720,0.5086321230,0.5009359720,0.4627282920,0.2945032120,0.1283253430,0.0261888243
0.1860000040,0.5009533760,0.5086321230,0.5009533760,0.4627469480,0.2945208850,0.1283142720,0.0261399187
0.1885000020,0.5009700060,0.5086321230,0.5009700060,0.4627648000,0.2945377830,0.1283039150,0.0260940585
0.1910000000,0.5009858610,0.5086321230,0.5009858610,0.4627818170,0.2945539360,0.1282942300,0.0260510258
0.1934999970,0.5010009410,0.5086321230,0.5010009410,0.4627980590,0.2945693730,0.1282852140,0.0260106158
0.1959999950,0.5010153060,0.5086321830,0.5010153060,0.4628134970,0.2945840950,0.1282768550,0.0259726364
0.1985000070,0.5010290150,0.5086321830,0.5010290150,0.4628282490,0.2945982220,0.1282691060,0.0259368941
0.2010000050,0.5010420080,0.5086321830,0.5010420080,0.4628422860,0.2946116920,0.1282619090,0.0259032045
0.2035000030,0.5010544060,0.5086321830,0.5010544060,0.4628556370,0.2946245970,0.1282552330,0.0258713905
0.2060000000,0.5010661480,0.5086321830,0.5010661480,0.4628683630,0.2946369350,0.1282490190,0.0258412939
0.2084999980,0.5010772940,0.5086321830,0.5010772940,0.4628804620,0.2946487070,0.1282432230,0.0258127749
0.2109999950,0.5010879040,0.5086321830,0.5010879040,0.4628919660,0.2946600020,0.1282378140,0.0257857107
0.2134999930,0.5010979770,0.5086321830,0.5010979770,0.4629029040,0.2946707610,0.1282327470,0.0257599875
0.2160000060,0.5011075740,0.5086321830,0.5011075740,0.4629133640,0.2946810720,0.1282279640,0.0257355049
0.2185000030,0.5011166930,0.5086322430,0.5011166930,0.4629232880,0.2946909370,0.1282234790,0.0257121697
0.2210000010,0.5011254550,0.5086322430,0.5011254550,0.4629327650,0.2947004140,0.1282192320,0.0256899036
0.2234999980,0.5011337400,0.5086322430,0.5011337400,0.4629417960,0.2947094440,0.1282152090,0.0256686304
0.2259999960,0.5011416670,0.5086322430,0.5011416670,0.4629504380,0.2947181170,0.1282113940,0.0256482884
0.2284999940,0.5011492370,0.5086322430,0.5011492370,0.4629587230,0.2947264310,0.1282077730,0.0256288238
0.2310000060,0.5011565090,0.5086322430,0.5011565090,0.4629666210,0.2947344180,0.1282043310,0.0256101824
0.2335000040,0.5011634230,0.5086322430,0.5011634230,0.4629742210,0.2947420480,0.1282010530,0.0255923197
0.2360000010,0.5011700990,0.5086322430,0.5011700990,0.4629814920,0.2947494090,0.1281979230,0.0255751908
0.2384999990,0.5011764760,0.5086322430,0.5011764760,0.4629884360,0.2947564720,0.1281949130,0.0255587567
0.2409999970,0.5011826160,0.5086322430,0.5011826160,0.4629951420,0.2947632370,0.1281920670,0.0255429875
0.2434999940,0.5011885170,0.5086322430,0.5011885170,0.4630015790,0.2947697640,0.1281893250,0.0255278535
0.2460000070,0.5011941790,0.5086322430,0.5011941790,0.4630077480,0.2947760520,0.1281867180,0.0255133174
0.2485000040,0.5011996630,0.5086322430,0.5011996630,0.4630136790,0.2947820720,0.1281842140,0.0254993476
0.2509999870,0.5012048480,0.5086322430,0.5012048480,0.4630194010,0.2947878840,0.1281818150,0.0254859142
0.2535000150,0.5012099150,0.5086322430,0.5012099150,0.4630249140,0.2947934870,0.1281795350,0.0254729912
0.2560000120,0.5012147430,0.5086323020,0.5012147430,0.4630301890,0.2947988810,0.1281773150,0.0254605487
0.2585000100,0.5012194510,0.5086323020,0.5012194510,0.4630352850,0.2948040660,0.1281751990,0.0254485663
0.2610000070,0.5012239220,0.5086323020,0.5012239220,0.4630402030,0.2948091030,0.1281731580,0.0254370198
0.2635000050,0.5012282730,0.5086323020,0.5012282730,0.4630449410,0.2948139310,0.1281711910,0.0254258905
0.2660000030,0.5012324450,0.5086323020,0.5012324450,0.4630495010,0.2948185800,0.1281692980,0.0254151598
0.2685000000,0.5012364980,0.5086323020,0.5012364980,0.4630539120,0.2948230800,0.1281674650,0.0254048053
0.2709999980,0.5012403730,0.5086323020,0.5012403730,0.4630581440,0.2948274310,0.1281657220,0.0253948141
0.2734999950,0.5012441280,0.5086323020,0.5012441280,0.4630622570,0.2948316340,0.1281640230,0.0253851693
0.2759999930,0.5012477640,0.5086323020,0.5012477640,0.4630662200,0.2948356870,0.1281623840,0.0253758524
0.2784999910,0.5012512800,0.5086323020,0.5012512800,0.4630700350,0.2948396210,0.1281608050,0.0253668502
0.2809999880,0.5012546780,0.5086323020,0.5012546780,0.4630737300,0.2948434050,0.1281592850,0.0253581516
0.2834999860,0.5012579560,0.5086323020,0.5012579560,0.4630773070,0.2948470710,0.1281578240,0.0253497418
0.2860000130,0.5012611150,0.5086323020,0.5012611150,0.4630807640,0.2948506180,0.1281564090,0.0253416076
0.2885000110,0.5012641550,0.5086323020,0.5012641550,0.4630841020,0.2948540450,0.1281550380,0.0253337398
