Time [s],Monitor Point: Mouthpiece1mm0mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm1mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm2mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm3mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm4mmTempX0YZ (Temperature) [K]
0.0734999999,293.1500550000,293.1500240000,293.1500240000,293.1499940000,293.1499940000
0.0759999976,293.1500550000,293.1500550000,293.1500240000,293.1500240000,293.1499940000
0.0785000026,293.1500550000,293.1500550000,293.1500240000,293.1500240000,293.1499940000
0.0810000002,293.1500850000,293.1500850000,293.1500550000,293.1500240000,293.1499940000
0.0834999979,293.1501160000,293.1501160000,293.1500550000,293.1500240000,293.1499940000
0.0860000029,293.1501770000,293.1501460000,293.1500850000,293.1500240000,293.1499940000
0.0885000005,293.1502080000,293.1501770000,293.1500850000,293.1500240000,293.1499940000
0.0909999982,293.1502690000,293.1502380000,293.1501160000,293.1500550000,293.1499940000
0.0935000032,293.1503300000,293.1502990000,293.1501460000,293.1500550000,293.1500240000
0.0960000008,293.1504210000,293.1503600000,293.1502080000,293.1500550000,293.1500240000
0.0984999985,293.1505130000,293.1504520000,293.1502380000,293.1500850000,293.1500240000
0.1010000040,293.1506040000,293.1505430000,293.1502990000,293.1501160000,293.1500240000
0.1035000010,293.1507260000,293.1506350000,293.1503600000,293.1501460000,293.1500240000
0.1059999990,293.1508480000,293.1507570000,293.1504210000,293.1501770000,293.1500240000
0.1084999960,293.1509700000,293.1508790000,293.1505130000,293.1502080000,293.1500240000
0.1110000010,293.1511230000,293.1510010000,293.1506040000,293.1502380000,293.1500240000
0.1134999990,293.1512760000,293.1511540000,293.1506650000,293.1502690000,293.1500240000
0.1159999970,293.1514590000,293.1513060000,293.1507870000,293.1503300000,293.1500550000
0.1185000020,293.1516720000,293.1514890000,293.1508790000,293.1503600000,293.1500550000
0.1209999990,293.1518550000,293.1516720000,293.1510010000,293.1504210000,293.1500550000
0.1234999970,293.1520690000,293.1518860000,293.1511540000,293.1504820000,293.1500550000
0.1260000020,293.1523130000,293.1521000000,293.1512760000,293.1505740000,293.1500850000
0.1285000000,293.1525570000,293.1523130000,293.1514280000,293.1506350000,293.1500850000
0.1309999970,293.1528320000,293.1525570000,293.1515810000,293.1506960000,293.1501160000
0.1334999950,293.1531070000,293.1528320000,293.1517640000,293.1507870000,293.1501160000
0.1360000070,293.1534120000,293.1531070000,293.1519170000,293.1508790000,293.1501460000
0.1385000050,293.1537170000,293.1533810000,293.1521300000,293.1509700000,293.1501460000
0.1410000030,293.1540220000,293.1536870000,293.1523130000,293.1510620000,293.1501770000
0.1435000000,293.1543580000,293.1539920000,293.1525270000,293.1511840000,293.1501770000
0.1459999980,293.1547240000,293.1543270000,293.1527400000,293.1512760000,293.1502080000
0.1484999950,293.1550900000,293.1546940000,293.1529850000,293.1513980000,293.1502380000
0.1509999930,293.1554870000,293.1550290000,293.1532290000,293.1515200000,293.1502690000
0.1535000060,293.1559140000,293.1554260000,293.1535030000,293.1516720000,293.1502990000
0.1560000030,293.1563110000,293.1558230000,293.1537480000,293.1517940000,293.1503300000
0.1585000010,293.1567690000,293.1562190000,293.1540530000,293.1519470000,293.1503600000
0.1609999980,293.1571960000,293.1566470000,293.1543270000,293.1521000000,293.1503910000
0.1634999960,293.1576840000,293.1570740000,293.1546330000,293.1522520000,293.1504210000
0.1659999940,293.1581730000,293.1575320000,293.1549680000,293.1524350000,293.1504520000
0.1685000060,293.1586610000,293.1579900000,293.1553040000,293.1526180000,293.1505130000
0.1710000040,293.1591800000,293.1584780000,293.1556400000,293.1528020000,293.1505430000
0.1735000010,293.1597290000,293.1589970000,293.1559750000,293.1529850000,293.1506040000
