Z [ m ],Temperature [ K ]
0.0535878316,323.5187990000
0.0535257384,323.5620420000
0.0534636453,323.6094670000
0.0534015521,323.6320190000
0.0533394590,323.6576230000
0.0532773659,323.6832280000
0.0532152727,323.7088620000
0.0531531796,323.7344360000
0.0530910864,323.7600710000
0.0530289933,323.7857060000
0.0529669002,323.8151550000
0.0529048070,323.8223570000
0.0528427139,323.8284610000
0.0527806208,323.8345640000
0.0527185276,323.8433840000
0.0526564345,323.9010930000
0.0525943413,323.9505000000
0.0525322482,323.9950560000
0.0524701551,324.0395810000
0.0524080619,324.0841060000
0.0523459688,324.1286320000
0.0522838756,324.1731870000
0.0522217825,324.2177120000
0.0521596894,324.2622380000
0.0520975962,324.3052980000
0.0520355031,324.3212590000
0.0519734100,324.3366700000
0.0519113168,324.3520510000
0.0518492237,324.3674320000
0.0517871305,324.3828430000
0.0517250374,324.3982240000
0.0516629443,324.4136050000
0.0516008511,324.4289860000
0.0515387580,324.4443970000
0.0514766648,324.4598080000
0.0514145717,324.4977420000
0.0513524786,324.5707090000
0.0512903854,324.6436770000
0.0512282923,324.7166140000
0.0511661991,324.7895510000
0.0511041060,324.8625180000
0.0510420129,324.9354550000
0.0509799197,325.0083920000
0.0509178266,325.0813600000
0.0508557335,325.1530150000
0.0507936403,325.2227480000
0.0507315472,325.2924800000
0.0506694540,325.3469850000
0.0506073609,325.3846440000
0.0505452678,325.4223020000
0.0504831746,325.4599910000
0.0504210815,325.4976810000
0.0503589883,325.5530400000
0.0502968952,325.6117550000
0.0502348021,325.6561890000
0.0501727089,325.6845090000
0.0501106158,325.7129210000
0.0500485227,325.7412720000
0.0499864295,325.7546080000
0.0499243364,325.7631230000
0.0498622432,325.7716670000
0.0498001501,325.7801820000
0.0497380570,325.7887570000
0.0496759638,325.7972720000
0.0496138707,325.8173830000
0.0495517775,325.8716430000
0.0494896844,325.9259640000
0.0494275913,325.9708860000
0.0493654981,326.0107120000
0.0493034050,326.0505070000
0.0492413118,326.0903320000
0.0491792187,326.1300960000
0.0491171256,326.1699220000
0.0490550324,326.2097780000
0.0489929393,326.2495730000
0.0489308462,326.2760310000
0.0488687530,326.2978520000
0.0488066599,326.3196720000
0.0487445667,326.3414920000
0.0486824736,326.3632810000
0.0486203805,326.3850710000
0.0485582873,326.4068910000
0.0484961942,326.4246830000
0.0484341010,326.4377140000
0.0483720079,326.4720460000
0.0483099148,326.5032040000
0.0482478216,326.5215450000
0.0481857285,326.5398860000
0.0481236354,326.5582280000
0.0480615422,326.5765690000
0.0479994491,326.5949100000
0.0479373559,326.6132810000
0.0478752628,326.6316220000
0.0478131697,326.6499630000
0.0477510765,326.6619870000
0.0476889834,326.6694340000
0.0476268902,326.6881710000
0.0475647971,326.7351680000
0.0475027040,326.7821350000
0.0474406108,326.8217770000
0.0473785177,326.8518680000
0.0473164245,326.8819890000
0.0472543314,326.9120480000
0.0471922383,326.9421690000
0.0471301451,326.9546510000
0.0470680520,326.9650270000
0.0470059589,326.9922180000
0.0469438657,327.0296020000
0.0468817726,327.0545650000
0.0468196794,327.0783080000
0.0467575863,327.1097110000
0.0466954932,327.1468510000
0.0466334000,327.1991270000
