Z [ m ],Velocity [ m s^-1 ]
0.0322898850,0.9626122710
0.0322277918,0.9623466130
0.0321656987,0.9623602030
0.0321036056,0.9627680180
0.0320415124,0.9633208510
0.0319794193,0.9639243480
0.0319173262,0.9645345810
0.0318552330,0.9646041990
0.0317931399,0.9644358160
0.0317310467,0.9643222090
0.0316689536,0.9642083640
0.0316068605,0.9642808440
0.0315447673,0.9646598700
0.0314826742,0.9647629260
0.0314205810,0.9652375580
0.0313584879,0.9660779830
0.0312963948,0.9668377640
0.0312343035,0.9669712780
0.0311722122,0.9668270950
0.0311101209,0.9666214590
0.0310480297,0.9664160610
0.0309859384,0.9662104850
0.0309238471,0.9667482380
0.0308617558,0.9672787190
0.0307996646,0.9675096870
0.0307375733,0.9675918220
0.0306754820,0.9676737790
0.0306133907,0.9676840900
0.0305512995,0.9675240520
0.0304892082,0.9677672390
0.0304271169,0.9680103060
0.0303650256,0.9681243900
0.0303029343,0.9685682060
0.0302408431,0.9688537120
0.0301787518,0.9689137340
0.0301166605,0.9685564040
0.0300545692,0.9685936570
0.0299924780,0.9688361880
0.0299303867,0.9688643810
0.0298682954,0.9689512850
0.0298062041,0.9695432190
0.0297441129,0.9701350930
0.0296820216,0.9705686570
0.0296199303,0.9709085230
0.0295578390,0.9712484480
0.0294957478,0.9718576070
0.0294336565,0.9724893570
0.0293715652,0.9728460310
0.0293094739,0.9728668930
0.0292473827,0.9729591010
0.0291852914,0.9728508000
0.0291232001,0.9722801450
0.0290611088,0.9712490440
0.0289990176,0.9708596470
0.0289369263,0.9717379210
0.0288748350,0.9720110890
0.0288127437,0.9721966980
0.0287506524,0.9723692540
0.0286885612,0.9724950790
0.0286264699,0.9717190270
0.0285643786,0.9718493220
0.0285022873,0.9721161130
0.0284401961,0.9723826650
0.0283781048,0.9723750350
0.0283160135,0.9723411800
0.0282539222,0.9723130460
0.0281918310,0.9723037480
0.0281297397,0.9726358650
0.0280676484,0.9731018540
0.0280055571,0.9735779760
0.0279434659,0.9740540980
0.0278813746,0.9740961790
0.0278192833,0.9740692380
0.0277571920,0.9741302730
