 Y [ m ],Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.01075714,0.98615348,0.98628074
0.01076295,0.98531860,0.98544586
0.01076876,0.98455924,0.98468316
0.01077456,0.98380029,0.98392087
0.01078037,0.98304152,0.98315901
0.01078617,0.98228335,0.98239744
0.01079198,0.98152542,0.98163635
0.01079778,0.98076797,0.98087555
0.01080359,0.98001093,0.98011523
0.0108094,0.97925419,0.97935522
0.0108152,0.97849786,0.97859573
0.01082101,0.97774202,0.97783661
0.01082681,0.97703856,0.97712898
0.01083262,0.97648776,0.97657144
0.01083843,0.97593743,0.97601426
0.01084423,0.97538733,0.97545755
0.01085004,0.97483778,0.97490126
0.01085584,0.97431570,0.97437364
0.01086165,0.97385401,0.97390926
0.01086746,0.97339261,0.97344512
0.01087326,0.97293133,0.9729811
0.01087907,0.97247040,0.97251737
0.01088487,0.97200960,0.97205389
0.01089068,0.97154278,0.9715842
0.01089648,0.97104603,0.97108376
0.01090229,0.97054946,0.9705835
0.0109081,0.97005320,0.97008359
0.0109139,0.96955729,0.96958405
0.01091971,0.96906167,0.9690848
0.01092551,0.96856624,0.96858585
0.01093132,0.96807128,0.9680872
0.01093713,0.96757656,0.96758878
0.01094293,0.96708214,0.96709085
0.01094874,0.96659267,0.9665978
0.01095454,0.96616375,0.96616685
0.01096035,0.96573520,0.96573609
0.01096615,0.96530676,0.96530545
0.01097196,0.96487856,0.96487504
0.01097777,0.96445048,0.96444482
0.01098357,0.96402264,0.96401477
0.01098938,0.96364862,0.96364021
0.01099518,0.96335065,0.96334404
0.01100099,0.96305287,0.96304804
0.0110068,0.96275508,0.96275198
0.0110126,0.96245766,0.96245629
0.01101841,0.96216029,0.96216083
0.01102421,0.96186322,0.96186531
0.01103002,0.96156627,0.9615702
0.01103583,0.96126950,0.96127522
0.01104163,0.96098346,0.96098858
0.01104744,0.96071386,0.96071446
0.01105324,0.96044433,0.96044052
0.01105905,0.96017492,0.96016681
0.01106485,0.95990562,0.95989311
0.01107066,0.95963657,0.95961958
0.01107647,0.95936757,0.95934623
0.01108227,0.95909870,0.95907289
0.01108808,0.95883000,0.95879984
0.01109388,0.95856136,0.95852685
0.01109969,0.95829290,0.95825398
0.0111055,0.95802456,0.95798135
0.0111113,0.95775634,0.95770872
0.01111711,0.95748836,0.9574362
0.01112291,0.95720297,0.95714831
0.01112872,0.95691711,0.95685989
0.01113452,0.95664978,0.95658886
0.01114033,0.95641237,0.956348
0.01114614,0.95623678,0.95616966
0.01115194,0.95606118,0.95599121
0.01115775,0.95588565,0.95581305
0.01116355,0.95571017,0.95563495
0.01116936,0.95553494,0.95545685
0.01117517,0.95535976,0.95527893
0.01118097,0.95518464,0.95510119
0.01118678,0.95500964,0.95492339
0.01119258,0.95483476,0.95474589
0.01119839,0.95466000,0.95456833
0.0112042,0.95448524,0.95439094
0.01121,0.95431072,0.95421374
0.01121581,0.95413619,0.95403647
0.01122161,0.95395774,0.95385557
0.01122742,0.95377225,0.95366812
0.01123322,0.95358688,0.95348078
0.01123903,0.95340157,0.95329356
0.01124484,0.95321643,0.9531064
0.01125064,0.95303130,0.95291936
0.01125645,0.95284623,0.95273227
0.01126225,0.95266128,0.95254534
0.01126806,0.95247638,0.9523586
0.01127387,0.95230001,0.95218039
0.01127967,0.95218515,0.95206523
0.01128548,0.95207047,0.95195019
0.01129128,0.95195591,0.95183516
0.01129709,0.95184124,0.95172024
0.01130289,0.95172673,0.95160538
0.0113087,0.95159990,0.95147794
0.01131451,0.95145947,0.9513368
0.01132031,0.95131916,0.95119578
0.01132612,0.95117891,0.95105475
0.01133192,0.95103872,0.95091391
0.01133773,0.95089853,0.950773
0.01134354,0.95075846,0.95063215
0.01134934,0.95061845,0.95049149
0.01135515,0.95047861,0.95035088
0.01136095,0.95033866,0.95021021
0.01136676,0.95019883,0.95006967
0.01137257,0.95005912,0.94992924
0.01137837,0.94991946,0.94978875
0.01138418,0.94981420,0.94968367
0.01138998,0.94972682,0.94959676
0.01139579,0.94962883,0.94949818
0.01140159,0.94952756,0.94939607
0.0114074,0.94942629,0.94929403
0.01141321,0.94932508,0.94919199
0.01141901,0.94922388,0.94908994
0.01142482,0.94912291,0.94898808
0.01143062,0.94902182,0.94888616
0.01143643,0.94892079,0.94878423
0.01144224,0.94881988,0.94868249
0.01144804,0.94871902,0.94858074
0.01145385,0.94861805,0.948479
0.01145965,0.94851732,0.94837749
0.01146546,0.94841653,0.9482758
0.01147126,0.94831640,0.94817489
0.01147707,0.94821870,0.94807655
0.01148288,0.94812113,0.94797802
0.01148868,0.94804490,0.94790012
0.01149449,0.94796866,0.94782215
0.01150029,0.94789249,0.94774431
0.0115061,0.94781643,0.94766653
0.01151191,0.94774032,0.94758892
0.01151771,0.94766438,0.94751108
0.01152352,0.94758838,0.94743341
0.01152932,0.94751239,0.94735587
0.01153513,0.94743651,0.9472782
0.01154094,0.94736069,0.94720078
0.01154674,0.94728488,0.94712317
0.01155255,0.94720906,0.94704562
0.01155835,0.94713336,0.94696826
0.01156416,0.94705760,0.94689083
0.01156996,0.94698197,0.94681352
0.01157577,0.94690347,0.94673347
0.01158158,0.94681829,0.94664723
0.01158738,0.94673306,0.94656098
0.01159319,0.94664788,0.94647479
0.01159899,0.94658315,0.9464094
0.0116048,0.94652474,0.94635034
0.01161061,0.94646639,0.94629133
0.01161641,0.94640809,0.94623232
0.01162222,0.94634980,0.94617337
0.01162802,0.94629151,0.94611442
0.01163383,0.94623339,0.94605559
0.01163964,0.94617510,0.94599664
0.01164544,0.94611692,0.94593781
0.01165125,0.94605881,0.94587904
0.01165705,0.94600070,0.94582027
0.01166286,0.94593787,0.94575608
0.01166866,0.94587463,0.94569147
0.01167447,0.94581145,0.9456268
0.01168028,0.94574833,0.94556224
0.01168608,0.94568515,0.94549769
0.01169189,0.94562203,0.94543314
0.01169769,0.94555897,0.94536853
0.0117035,0.94549596,0.9453041
0.01170931,0.94543290,0.94523972
0.01171511,0.94536996,0.94517535
0.01172092,0.94532377,0.9451288
0.01172672,0.94528288,0.94508779
0.01173253,0.94524193,0.94504696
0.01173833,0.94519967,0.94500458
0.01174414,0.94515330,0.94495785
0.01174995,0.94510704,0.94491106
0.01175575,0.94506055,0.94486433
0.01176156,0.94501436,0.9448176
0.01176736,0.94497454,0.9447788
0.01177317,0.94493568,0.94474125
0.01177898,0.94489688,0.94470364
0.01178478,0.94485813,0.94466615
0.01179059,0.94481939,0.9446286
0.01179639,0.94478065,0.9445911
0.0118022,0.94474185,0.94455361
0.01180801,0.94470322,0.94451618
0.01181381,0.94466448,0.94447881
0.01181962,0.94462311,0.94443887
0.01182542,0.94457477,0.94439268
0.01183123,0.94452649,0.94434655
0.01183703,0.94447827,0.94430047
0.01184284,0.94442999,0.94425434
0.01184865,0.94438183,0.94420838
0.01185445,0.94433367,0.94416243
0.01186026,0.94428551,0.94411635
0.01186606,0.94425941,0.94409382
0.01187187,0.94423336,0.94407141
0.01187768,0.94420743,0.94404912
0.01188348,0.94418138,0.94402671
0.01188929,0.94415540,0.9440043
0.01189509,0.94412947,0.94398206
0.0119009,0.94410366,0.94395977
0.0119067,0.94407701,0.94393617
0.01191251,0.94404972,0.94391185
0.01191832,0.94402248,0.94388741
0.01192412,0.94399530,0.94386292
0.01192993,0.94396812,0.94383883
0.01193573,0.94393718,0.94380963
0.01194154,0.94390422,0.9437781
0.01194735,0.94387138,0.94374657
0.01195315,0.94383860,0.94371504
0.01195896,0.94380575,0.94368356
0.01196476,0.94377303,0.94365209
0.01197057,0.94374025,0.94362068
0.01197638,0.94370735,0.94358933
0.01198218,0.94367468,0.94355792
0.01198799,0.94364196,0.94352651
0.01199379,0.94360930,0.94349521
0.0119996,0.94357860,0.94346553
0.0120054,0.94356042,0.94344735
0.01201121,0.94354218,0.94342911
0.01201702,0.94352400,0.94341099
0.01202282,0.94350588,0.94339275
0.01202863,0.94348776,0.94337457
0.01203443,0.94346869,0.94335479
0.01204024,0.94344735,0.94333142
0.01204605,0.94342607,0.94330812
0.01205185,0.94340479,0.94328481
0.01205766,0.94338351,0.94326156
0.01206346,0.94336230,0.94323832
0.01206927,0.94334108,0.94321507
0.01207507,0.94331986,0.94319189
0.01208088,0.94329870,0.94316864
0.01208669,0.94327754,0.94314551
0.01209249,0.94325638,0.94312239
0.0120983,0.94323528,0.9430992
0.0121041,0.94322157,0.94308257
0.01210991,0.94321084,0.94306862
0.01211572,0.94320029,0.9430548
0.01212152,0.94318956,0.94304079
0.01212733,0.94317901,0.9430269
0.01213313,0.94316840,0.94301301
0.01213894,0.94315451,0.94299614
0.01214475,0.94313824,0.94297695
0.01215055,0.94312185,0.94295794
0.01215636,0.94310546,0.94293869
0.01216216,0.94308913,0.94291955
0.01216797,0.94307292,0.94290048
0.01217377,0.94305664,0.94288141
0.01217958,0.94304025,0.94286245
0.01218539,0.94302404,0.94284332
0.01219119,0.94300777,0.94282436
0.012197,0.94299155,0.94280529
0.0122028,0.94297540,0.94278634
0.01220861,0.94296044,0.94276905
0.01221442,0.94295216,0.9427613
0.01222022,0.94294393,0.94275361
0.01222603,0.94293582,0.94274592
0.01223183,0.94292766,0.94273812
0.01223764,0.94291943,0.94273055
0.01224345,0.94290704,0.94271946
0.01224925,0.94289154,0.94270617
0.01225506,0.94287592,0.94269282
0.01226086,0.94286042,0.94267941
0.01226667,0.94284499,0.94266617
0.01227247,0.94282949,0.94265276
0.01227828,0.94281399,0.94263947
0.01228409,0.94279850,0.94262624
0.01228989,0.94278306,0.94261295
0.0122957,0.94276762,0.94259965
0.0123015,0.94275218,0.94258636
0.01230731,0.94273686,0.94257325
0.01231312,0.94272155,0.94256002
0.01231892,0.94270670,0.94254881
0.01232473,0.94269222,0.94253874
0.01233053,0.94267774,0.94252855
0.01233634,0.94266349,0.94251865
0.01234214,0.94265127,0.94251072
0.01234795,0.94263917,0.94250286
0.01235376,0.94262707,0.94249499
0.01235956,0.94261485,0.94248712
0.01236537,0.94260275,0.94247943
0.01237117,0.94259071,0.94247162
0.01237698,0.94257861,0.94246376
0.01238279,0.94256657,0.94245601
0.01238859,0.94255459,0.94244832
0.0123944,0.94254243,0.94244051
