t[s],Power[W m^-3]
0.0,0.0
0.01609697971361303,767788.8880179033
0.03219395942722606,1535577.7760358066
0.048290939140839095,2303366.66405371
0.06438791885445212,3071155.5520716133
0.08048489856806515,3838944.440089516
0.09658187828167819,4606733.32810742
0.11267885799529122,5374522.216125323
0.12877583770890424,6142311.1041432265
0.14487281742251729,6910099.9921611305
0.1609697971361303,7677888.880179032
0.17706677684974334,8445677.768196937
0.19316375656335638,9213466.65621484
0.2092607362769694,9981255.544232741
0.22535771599058244,10749044.432250647
0.24145469570419545,11516833.320268549
0.2575516754178085,12284622.208286453
0.2736486551314215,13052411.096304355
0.28974563484503457,13820199.984322261
0.3058426145586476,14587988.872340163
0.3219395942722606,15355777.760358064
0.33803657398587367,16123566.64837597
0.3541335536994867,16891355.536393873
0.3702305334130997,17659144.424411774
0.38632751312671276,18426933.31242968
0.4024244928403258,19194722.200447578
0.4185214725539388,19962511.088465482
0.4346184522675518,20730299.976483386
0.45071543198116487,21498088.864501294
0.4668124116947779,22265877.752519198
0.4829093914083909,23033666.640537098
0.49900637112200397,23801455.528555002
0.515103350835617,24569244.416572906
0.53120033054923,25337033.30459081
0.547297310262843,26104822.19260871
0.563394289976456,26872611.080626614
0.5794912696900691,27640399.968644522
0.5955882494036822,28408188.856662422
0.6116852291172952,29175977.744680326
0.6277822088309082,29943766.63269823
0.6438791885445212,30711555.520716127
0.6599761682581342,31479344.40873403
0.6760731479717473,32247133.29675194
0.6921701276853603,33014922.18476984
0.7082671073989734,33782711.07278775
0.7243640871125864,34550499.96080565
0.7404610668261994,35318288.84882355
0.7565580465398124,36086077.73684145
0.7726550262534255,36853866.62485936
0.7887520059670385,37621655.512877256
0.8048489856806516,38389444.400895156
0.8209459653942646,39157233.28891306
0.8370429451078776,39925022.176930964
0.8531399248214906,40692811.06494887
0.8692369045351036,41460599.95296677
0.8853338842487167,42228388.84098468
0.9014308639623297,42996177.72900259
0.9175278436759428,43763966.61702049
0.9336248233895558,44531755.505038396
0.9497218031031688,45299544.393056296
0.9658187828167818,46067333.281074196
0.9819157625303949,46835122.169092104
0.9980127422440079,47602911.057110004
1.014109721957621,48370699.94512791
1.030206701671234,49138488.83314581
1.046303681384847,49906277.72116371
1.06240066109846,50674066.60918162
1.078497640812073,51441855.49719952
1.094594620525686,52209644.38521742
1.110691600239299,52977433.27323533
1.126788579952912,53745222.16125323
1.1428855596665253,54513011.04927114
1.1589825393801383,55280799.937289044
1.1750795190937513,56048588.825306945
1.1911764988073643,56816377.713324845
1.2072734785209773,57584166.60134275
1.2233704582345903,58351955.48936065
1.2394674379482034,59119744.377378546
1.2555644176618164,59887533.26539646
1.2716613973754294,60655322.153414354
1.2877583770890424,61423111.041432254
1.3038553568026554,62190899.92945016
1.3199523365162684,62958688.81746806
1.3360493162298814,63726477.70548596
1.3521462959434947,64494266.59350388
1.3682432756571077,65262055.48152178
1.3843402553707207,66029844.36953968
1.4004372350843337,66797633.25755759
1.4165342147979467,67565422.1455755
1.4326311945115597,68333211.0335934
1.4487281742251727,69100999.9216113
1.4648251539387858,69868788.8096292
1.4809221336523988,70636577.6976471
1.4970191133660118,71404366.585665
1.5131160930796248,72172155.4736829
1.5292130727932378,72939944.3617008
1.545310052506851,73707733.24971873
1.561407032220464,74475522.13773663
1.577504011934077,75243311.02575451
1.59360099164769,76011099.91377243
1.60360099164769,76011099.91377243
9.999,76011099.91377243
10.001,76011099.91377243
10.01708687870351,75243311.02575453
10.033173757407024,74475522.13773663
10.049260636110535,73707733.24971873
10.065347514814048,72939944.36170082
10.08143439351756,72172155.47368291
10.097521272221071,71404366.58566502
10.113608150924584,70636577.69764711
10.129695029628095,69868788.80962922
10.145781908331609,69100999.9216113
10.16186878703512,68333211.0335934
10.177955665738631,67565422.1455755
10.194042544442144,66797633.25755759
10.210129423145656,66029844.36953969
10.226216301849169,65262055.48152178
10.24230318055268,64494266.59350388
10.258390059256191,63726477.70548598
10.274476937959705,62958688.81746808
10.290563816663216,62190899.92945016
10.306650695366727,61423111.04143227
10.32273757407024,60655322.15341437
10.338824452773752,59887533.26539646
10.354911331477265,59119744.37737856
10.370998210180776,58351955.48936066
10.387085088884287,57584166.60134275
10.4031719675878,56816377.71332485
10.419258846291312,56048588.82530695
10.435345724994825,55280799.937289044
10.451432603698336,54513011.04927114
10.467519482401848,53745222.161253236
10.48360636110536,52977433.273235336
10.499693239808872,52209644.38521743
10.515780118512385,51441855.49719953
10.531866997215896,50674066.60918163
10.547953875919408,49906277.72116372
10.564040754622921,49138488.83314582
10.580127633326432,48370699.94512791
10.596214512029945,47602911.05711001
10.612301390733457,46835122.169092104
10.628388269436968,46067333.2810742
10.644475148140481,45299544.3930563
10.660562026843992,44531755.505038396
10.676648905547506,43763966.61702049
10.692735784251017,42996177.72900259
10.708822662954528,42228388.84098468
10.724909541658041,41460599.95296677
10.740996420361553,40692811.06494889
10.757083299065066,39925022.17693098
10.773170177768577,39157233.28891306
10.789257056472088,38389444.40089517
10.805343935175602,37621655.51287727
10.821430813879113,36853866.62485936
10.837517692582626,36086077.73684146
10.853604571286137,35318288.84882356
10.869691449989649,34550499.960805655
10.885778328693162,33782711.07278775
10.901865207396673,33014922.184769846
10.917952086100186,32247133.296751946
10.934038964803698,31479344.40873404
10.950125843507209,30711555.52071614
10.966212722210722,29943766.632698238
10.982299600914233,29175977.74468033
10.998386479617745,28408188.85666243
11.014473358321258,27640399.968644522
11.030560237024769,26872611.08062662
11.046647115728282,26104822.19260872
11.062733994431794,25337033.304590814
11.078820873135305,24569244.416572914
11.094907751838818,23801455.528555013
11.11099463054233,23033666.640537106
11.127081509245842,22265877.752519205
11.143168387949354,21498088.864501294
11.159255266652865,20730299.976483386
11.175342145356378,19962511.08846549
11.19142902405989,19194722.20044759
11.207515902763403,18426933.31242968
11.223602781466914,17659144.42441178
11.239689660170425,16891355.53639388
11.255776538873938,16123566.648375973
11.27186341757745,15355777.760358073
11.287950296280961,14587988.872340174
11.304037174984474,13820199.984322265
11.320124053687985,13052411.096304365
11.336210932391499,12284622.208286464
11.35229781109501,11516833.320268549
11.368384689798521,10749044.432250647
11.384471568502034,9981255.544232748
11.400558447205546,9213466.65621484
11.416645325909059,8445677.76819694
11.43273220461257,7677888.880179041
11.448819083316081,6910099.992161132
11.464905962019595,6142311.104143232
11.480992840723106,5374522.216125333
11.497079719426619,4606733.328107432
11.51316659813013,3838944.4400895247
11.529253476833642,3071155.552071625
11.545340355537155,2303366.6640537083
11.561427234240666,1535577.776035808
11.57751411294418,767788.8880179083
11.59360099164769,0.0
11.60360099164769,0.0
15.0,0.0
