t[s],Power[W m^-3]
0.0,0.0
0.026429933058585858,768181.6776478953
0.052859866117171715,1536363.3552957906
0.07928979917575757,2304545.032943686
0.10571973223434343,3072726.710591581
0.1321496652929293,3840908.3882394764
0.15857959835151514,4609090.065887372
0.185009531410101,5377271.743535267
0.21143946446868686,6145453.421183162
0.2378693975272727,6913635.098831058
0.2642993305858586,7681816.776478953
0.29072926364444446,8449998.454126848
0.3171591967030303,9218180.131774744
0.34358912976161615,9986361.809422638
0.370019062820202,10754543.487070534
0.39644899587878785,11522725.164718429
0.4228789289373737,12290906.842366325
0.4493088619959596,13059088.520014219
0.4757387950545454,13827270.197662115
0.5021687281131313,14595451.875310011
0.5285986611717172,15363633.552957905
0.555028594230303,16131815.2306058
0.5814585272888889,16899996.908253696
0.6078884603474747,17668178.585901592
0.6343183934060606,18436360.263549488
0.6607483264646464,19204541.941197384
0.6871782595232323,19972723.618845277
0.7136081925818182,20740905.296493173
0.740038125640404,21509086.97414107
0.7664680586989898,22277268.65178896
0.7928979917575757,23045450.329436857
0.8193279248161616,23813632.007084753
0.8457578578747474,24581813.68473265
0.8721877909333333,25349995.362380546
0.8986177239919192,26118177.040028438
0.9250476570505051,26886358.717676334
0.9514775901090908,27654540.39532423
0.9779075231676767,28422722.072972126
1.0043374562262626,29190903.750620022
1.0307673892848483,29959085.428267915
1.0571973223434343,30727267.10591581
1.08362725540202,31495448.783563703
1.110057188460606,32263630.4612116
1.1364871215191918,33031812.138859496
1.1629170545777778,33799993.81650739
1.1893469876363636,34568175.49415529
1.2157769206949494,35336357.171803184
1.2422068537535353,36104538.84945108
1.268636786812121,36872720.527098976
1.295066719870707,37640902.20474687
1.3214966529292929,38409083.88239477
1.3479265859878788,39177265.560042664
1.3743565190464646,39945447.23769055
1.4007864521050504,40713628.91533845
1.4272163851636364,41481810.592986345
1.4536463182222221,42249992.270634234
1.480076251280808,43018173.94828214
1.5065061843393939,43786355.625930026
1.5329361173979796,44554537.30357792
1.5593660504565656,45322718.98122582
1.5857959835151514,46090900.658873715
1.6122259165737374,46859082.33652161
1.6386558496323231,47627264.01416951
1.6650857826909091,48395445.691817395
1.6915157157494949,49163627.3694653
1.7179456488080806,49931809.04711319
1.7443755818666666,50699990.72476109
1.7708055149252524,51468172.40240898
1.7972354479838384,52236354.080056876
1.8236653810424241,53004535.75770477
1.8500953141010101,53772717.43535267
1.876525247159596,54540899.113000564
1.9029551802181817,55309080.79064846
1.9293851132767676,56077262.46829635
1.9558150463353534,56845444.14594425
1.9822449793939394,57613625.82359214
2.008674912452525,58381807.501240045
2.035104845511111,59149989.17888793
2.0615347785696967,59918170.85653583
2.087964711628283,60686352.534183726
2.1143946446868687,61454534.21183162
2.1408245777454544,62222715.88947952
2.16725451080404,62990897.56712741
2.1936844438626264,63759079.24477531
2.220114376921212,64527260.9224232
2.246544309979798,65295442.6000711
2.2729742430383837,66063624.27771899
2.2994041760969695,66831805.95536689
2.3258341091555557,67599987.63301478
2.3522640422141414,68368169.31066269
2.378693975272727,69136350.98831058
2.405123908331313,69904532.66595848
2.4315538413898987,70672714.34360637
2.457983774448485,71440896.02125427
2.4844137075070707,72209077.69890216
2.5108436405656565,72977259.37655005
2.537273573624242,73745441.05419795
2.563703506682828,74513622.73184584
2.590133439741414,75281804.40949374
2.6165633728,76049986.08714163
2.6265633727999997,76049986.08714163
9.999,76049986.08714163
10.001,76049986.08714163
10.027419832048484,75281804.40949374
10.05383966409697,74513622.73184584
10.080259496145453,73745441.05419795
10.10667932819394,72977259.37655005
10.133099160242423,72209077.69890216
10.15951899229091,71440896.02125427
10.185938824339393,70672714.34360637
10.212358656387877,69904532.66595848
10.238778488436363,69136350.98831058
10.265198320484847,68368169.31066269
10.291618152533333,67599987.63301478
10.318037984581817,66831805.95536689
10.344457816630303,66063624.27771899
10.370877648678787,65295442.6000711
10.397297480727271,64527260.9224232
10.423717312775757,63759079.244775295
