 Y [ m ], Velocity [ m s^-1 ]
0.0050249998,0.0279648807
0.0050400151,0.0280331112
0.0050550299,0.0281014219
0.0050700447,0.0281698182
0.0050850594,0.0282382965
0.0051000742,0.0283068568
0.0051150890,0.0283754971
0.0051301038,0.0284442212
0.0051451186,0.0285130255
0.0051601334,0.0285819080
0.0051751481,0.0286508687
0.0051901629,0.0287199095
0.0052051777,0.0287890285
0.0052201925,0.0288582277
0.0052352073,0.0289258100
0.0052502220,0.0289904196
0.0052652368,0.0290550720
0.0052802516,0.0291197635
0.0052952664,0.0291844923
0.0053102812,0.0292492583
0.0053252960,0.0293140654
0.0053403107,0.0293789096
0.0053553255,0.0294437930
0.0053703403,0.0295087118
0.0053853551,0.0295736697
0.0054003699,0.0296386629
0.0054153847,0.0297036953
0.0054303994,0.0297687612
0.0054454142,0.0298338644
0.0054604290,0.0298990067
0.0054754438,0.0299641825
0.0054904586,0.0300293937
0.0055054734,0.0300946385
0.0055204881,0.0301599205
0.0055355029,0.0302252378
0.0055505177,0.0302905906
0.0055655325,0.0303559769
0.0055805473,0.0304213967
0.0055955620,0.0304868482
0.0056105768,0.0305523388
0.0056255916,0.0306178611
0.0056406064,0.0306834169
0.0056556212,0.0307490043
0.0056706360,0.0308146272
0.0056856507,0.0308802817
0.0057006655,0.0309459660
0.0057156803,0.0310116857
0.0057306951,0.0310774390
0.0057457099,0.0311432220
0.0057607247,0.0312090386
0.0057757394,0.0312748812
0.0057907542,0.0313407630
0.0058057690,0.0314066745
0.0058207838,0.0314726084
0.0058357986,0.0315385833
0.0058508134,0.0316045843
0.0058658281,0.0316706188
0.0058808429,0.0317366757
0.0058958577,0.0318027698
0.0059108725,0.0318688899
0.0059258873,0.0319350436
0.0059409020,0.0320012234
0.0059559168,0.0321106017
0.0059709316,0.0322385356
0.0059859464,0.0323666595
0.0060009612,0.0324949883
0.0060159760,0.0326235034
0.0060309907,0.0327522159
0.0060460055,0.0328811072
0.0060610203,0.0330101922
0.0060760351,0.0331394523
0.0060910499,0.0332688987
0.0061060647,0.0333985239
0.0061210794,0.0335310996
0.0061360942,0.0336739384
0.0061511090,0.0338168778
0.0061661238,0.0339599065
0.0061811386,0.0341030359
0.0061961534,0.0342462584
0.0062111681,0.0343895741
0.0062261829,0.0345329829
0.0062411977,0.0346764885
0.0062562125,0.0348200798
