 Y [ m ], Velocity [ m s^-1 ]
0.0079979273,0.1654374450
0.0080129420,0.1656567007
0.0080279568,0.1658762097
0.0080429716,0.1660959721
0.0080579864,0.1663160324
0.0080730012,0.1665363163
0.0080880160,0.1667568982
0.0081030307,0.1669777036
0.0081180455,0.1671988070
0.0081330603,0.1675943136
0.0081480751,0.1681665927
0.0081630899,0.1687475443
0.0081781046,0.1693371087
0.0081931194,0.1699351370
0.0082081342,0.1705415845
0.0082231490,0.1711563468
0.0082381638,0.1717793346
0.0082531786,0.1724104732
0.0082681933,0.1730496585
0.0082832081,0.1736968011
0.0082982229,0.1743518263
0.0083132377,0.1750146300
0.0083282525,0.1756851226
0.0083432673,0.1763632447
0.0083582820,0.1770488769
0.0083732968,0.1777419448
0.0083883116,0.1784423590
0.0084033264,0.1791500300
0.0084183412,0.1798648834
0.0084333559,0.1805868298
0.0084483707,0.1813157797
0.0084633855,0.1820516288
0.0084784003,0.1827943474
0.0084934151,0.1835438162
0.0085084299,0.1842999458
0.0085234446,0.1850626767
0.0085384594,0.1858319193
0.0085534742,0.1866075844
0.0085684890,0.1844455153
0.0085835038,0.1807568073
0.0085985186,0.1771063954
0.0086135333,0.1734966785
0.0086285481,0.1699302644
0.0086435629,0.1664099395
0.0086585777,0.1629386693
0.0086735925,0.1595196873
0.0086886073,0.1561564058
0.0087036220,0.1528525055
0.0087186368,0.1496119201
0.0087336516,0.1464388520
0.0087486664,0.1433377862
0.0087636812,0.1403135061
0.0087786959,0.1373710930
0.0087937107,0.1345158666
0.0088087255,0.1317535490
0.0088237403,0.1290900856
0.0088387551,0.1265317351
0.0088537699,0.1240849644
0.0088687846,0.1217565239
0.0088837994,0.1195533350
0.0088988142,0.1174824238
0.0089138290,0.1155509129
0.0089288438,0.1137658954
0.0089438586,0.1121343970
0.0089588733,0.1106631756
0.0089738881,0.1093587130
0.0089889029,0.1082270294
0.0090039177,0.1072736085
0.0090189325,0.1065032184
0.0090339473,0.1059198678
0.0090489620,0.1055266559
0.0090639768,0.1053257138
0.0090789916,0.1053181216
0.0090940064,0.1055039614
0.0091090212,0.1058821902
0.0091240359,0.1064507440
0.0091390507,0.1072066203
0.0091540655,0.1081458777
0.0091690803,0.1095920205
0.0091840951,0.1114353314
0.0091991099,0.1134873629
0.0092141246,0.1157370284
0.0092291394,0.1181730107
0.0092441542,0.1207840666
0.0092591690,0.1235590652
0.0092741838,0.1264872551
0.0092891986,0.1295582205
0.0093042133,0.1327620745
0.0093192281,0.1360894144
0.0093342429,0.1395314187
0.0093492577,0.1446168870
0.0093642725,0.1594051570
0.0093792873,0.1745494008
0.0093943020,0.1899645031
0.0094093168,0.2055894435
0.0094243316,0.2213798612
0.0094393464,0.2373027206
0.0094543612,0.2533330619
0.0094693759,0.2694516778
0.0094843907,0.2856436074
0.0094994055,0.3018971384
0.0095144203,0.3182027638
0.0095294351,0.3345528841
0.0095444499,0.3509412706
0.0095594646,0.3673627973
0.0095744794,0.3838132620
0.0095894942,0.4002889991
0.0096045090,0.4167870879
0.0096195238,0.4333049357
0.0096345386,0.4498404563
0.0096495533,0.4678427279
0.0096645681,0.4864900410
0.0096795829,0.5051485896
0.0096945977,0.5238171816
0.0097096125,0.5424949527
0.0097246272,0.5611807704
0.0097396420,0.5798739195
0.0097546568,0.5985736251
0.0097696716,0.6172794104
0.0097846864,0.6359907985
0.0097997012,0.6547071338
0.0098147159,0.6734280586
0.0098297307,0.6921533346
0.0098447455,0.7108824849
0.0098597603,0.7296152711
0.0098747751,0.7483513355
0.0098897899,0.7670905590
0.0099048046,0.7858325839
0.0099198194,0.8045772910
0.0099348342,0.8233245015
0.0099498490,0.8420739770
0.0099648638,0.8608257175
0.0099798786,0.8795794249
0.0099948933,0.8983350396
0.0100099081,0.9170925617
0.0100249229,0.9358516336
0.0100399377,0.9546123147
0.0100549525,0.9733744860
0.0100699672,0.9906091094
0.0100849820,1.0071904659
0.0100999968,1.0237729549
0.0101150116,1.0403560400
0.0101300264,1.0569400787
0.0101450412,1.0735250711
0.0101600559,1.0901106596
0.0101750707,1.1066972017
0.0101900855,1.1232843399
0.0102051003,1.1398721933
0.0102201151,1.1564607620
0.0102351299,1.1730499268
0.0102501446,1.1896395683
0.0102651594,1.2062299252
0.0102801742,1.2228208780
0.0102951890,1.2394121885
0.0103102038,1.2560040951
0.0103252186,1.2725964785
0.0103402333,1.2891894579
0.0103552481,1.3057827950
0.0103702629,1.3223763704
0.0103852777,1.3389707804
0.0104002925,1.3555653095
0.0104153072,1.3721604347
0.0104303220,1.3887556791
0.0104453368,1.4053514004
0.0104603516,1.4219474792
0.0104753664,1.4385439157
0.0104903812,1.4551405907
0.0105053959,1.4717377424
0.0105204107,1.4883351326
0.0105354255,1.5049326420
0.0105504403,1.5218080282
0.0105654551,1.5390675068
0.0105804699,1.5563275814
0.0105954846,1.5735878944
0.0106104994,1.5908483267
0.0106255142,1.6081095934
0.0106405290,1.6253707409
0.0106555438,1.6426326036
0.0106705585,1.6598944664
0.0106855733,1.6771570444
0.0107005881,1.6944196224
0.0107156029,1.7116824389
0.0107306177,1.7289456129
0.0107456325,1.7462090254
0.0107606472,1.7634727955
0.0107756620,1.7807366848
0.0107906768,1.7980010509
0.0108056916,1.8152654171
0.0108207064,1.8325301409
0.0108357212,1.8497951031
0.0108507359,1.8670603037
0.0108657507,1.8843256235
0.0108807655,1.9015911818
0.0108957803,1.9188569784
0.0109107951,1.9361230135
0.0109258099,1.9519674778
0.0109408246,1.9592078924
0.0109558394,1.9657748938
0.0109708542,1.9723423719
0.0109858690,1.9789098501
0.0110008838,1.9854775667
0.0110158985,1.9920455217
0.0110309133,1.9986137152
0.0110459281,2.0051820278
0.0110609429,2.0117502213
0.0110759577,2.0183188915
0.0110909725,2.0248878002
0.0111059872,2.0314564705
0.0111210020,2.0380256176
0.0111360168,2.0445950031
0.0111510316,2.0511646271
0.0111660464,2.0577340126
0.0111810612,2.0643041134
0.0111960759,2.0708739758
0.0112110907,2.0774438381
0.0112261055,2.0840141773
0.0112411203,2.0905845165
0.0112561351,2.0971550941
0.0112711499,2.1037256718
0.0112861646,2.1102969646
0.0113011794,2.1168677807
0.0113161942,2.1234385967
0.0113312090,2.1300103664
0.0113462238,2.1365814209
0.0113612385,2.1431531906
0.0113762533,2.1497249603
0.0113912681,2.1562969685
0.0114062829,2.1628687382
0.0114212977,2.1687631607
0.0114363125,2.1746175289
0.0114513272,2.1804718971
0.0114663420,2.1863267422
0.0114813568,2.1921815872
0.0114963716,2.1980364323
0.0115113864,2.2038915157
0.0115264012,2.2097470760
0.0115414159,2.2156023979
0.0115564307,2.2214579582
0.0115714455,2.2273137569
0.0115864603,2.2331700325
0.0116014751,2.2390263081
0.0116164899,2.2448828220
0.0116315046,2.2507393360
0.0116465194,2.2565958500
0.0116615342,2.2624528408
0.0116765490,2.2683100700
0.0116915638,2.2741670609
0.0117065785,2.2800247669
0.0117215933,2.2858822346
0.0117366081,2.2917399406
0.0117516229,2.2975978851
0.0117666377,2.3034560680
0.0117816525,2.3093140125
0.0117966672,2.3151726723
0.0118116820,2.3210310936
0.0118266968,2.3268897533
0.0118417116,2.3327486515
0.0118567264,2.3386075497
0.0118717412,2.3444666862
0.0118867559,2.3503258228
0.0119017707,2.3561851978
0.0119167855,2.3620450497
0.0119318003,2.3673768044
0.0119468151,2.3678154945
0.0119618298,2.3681631088
0.0119768446,2.3685109615
0.0119918594,2.3688590527
0.0120068742,2.3692069054
0.0120218890,2.3695549965
0.0120369038,2.3699030876
0.0120519185,2.3702518940
0.0120669333,2.3706002235
0.0120819481,2.3709485531
0.0120969629,2.3712973595
0.0121119777,2.3716464043
0.0121269925,2.3719952106
0.0121420072,2.3723444939
0.0121570220,2.3726935387
0.0121720368,2.3730430603
0.0121870516,2.3733923435
0.0122020664,2.3737416267
0.0122170812,2.3740911484
0.0122320959,2.3744411469
0.0122471107,2.3747911453
0.0122621255,2.3751411438
0.0122771403,2.3754911423
