 Y [ m ], Velocity [ m s^-1 ]
0.0084183412,0.0857018083
0.0084333559,0.0870826319
0.0084483707,0.0884635895
0.0084633855,0.0898447111
0.0084784003,0.0912259668
0.0084934151,0.0926073566
0.0085084299,0.0939888731
0.0085234446,0.0953705013
0.0085384594,0.0967522636
0.0085534742,0.0981341228
0.0085684890,0.1002224684
0.0085835038,0.1026864648
0.0085985186,0.1051525697
0.0086135333,0.1076206565
0.0086285481,0.1100905687
0.0086435629,0.1125622019
0.0086585777,0.1150354520
0.0086735925,0.1175102070
0.0086886073,0.1199863628
0.0087036220,0.1224638522
0.0087186368,0.1249425784
0.0087336516,0.1274224967
0.0087486664,0.1299035251
0.0087636812,0.1323855668
0.0087786959,0.1348686218
0.0087937107,0.1373526007
0.0088087255,0.1398374736
0.0088237403,0.1423231810
0.0088387551,0.1448096782
0.0088537699,0.1472969353
0.0088687846,0.1497849077
0.0088837994,0.1522735655
0.0088988142,0.1547628641
0.0089138290,0.1572527885
0.0089288438,0.1597432941
0.0089438586,0.1622343659
0.0089588733,0.1647259742
0.0089738881,0.1672180891
0.0089889029,0.1697107106
0.0090039177,0.1722037792
0.0090189325,0.1746973395
0.0090339473,0.1771912873
0.0090489620,0.1796856672
0.0090639768,0.1821804196
0.0090789916,0.1846755445
0.0090940064,0.1871710420
0.0091090212,0.1896668971
0.0091240359,0.1921631247
0.0091390507,0.1946596205
0.0091540655,0.1971564591
0.0091690803,0.1994489133
0.0091840951,0.2016253173
0.0091991099,0.2038019002
0.0092141246,0.2059787065
0.0092291394,0.2081557065
0.0092441542,0.2103329003
0.0092591690,0.2125102878
0.0092741838,0.2146878541
0.0092891986,0.2168655992
0.0093042133,0.2190435082
0.0093192281,0.2212215960
0.0093342429,0.2233998627
0.0093492577,0.2255937308
0.0093642725,0.2278831005
0.0093792873,0.2301734984
0.0093943020,0.2324649245
0.0094093168,0.2347573489
0.0094243316,0.2370507270
0.0094393464,0.2393450588
0.0094543612,0.2416402847
0.0094693759,0.2439363897
0.0094843907,0.2462333739
0.0094994055,0.2485311627
0.0095144203,0.2508297861
0.0095294351,0.2531292141
0.0095444499,0.2554293871
0.0095594646,0.2577303350
0.0095744794,0.2600319982
0.0095894942,0.2623343766
0.0096045090,0.2646374106
0.0096195238,0.2669411600
0.0096345386,0.2692455649
0.0096495533,0.2716344297
0.0096645681,0.2740606964
0.0096795829,0.2764879465
0.0096945977,0.2789161205
0.0097096125,0.2813451886
0.0097246272,0.2837751508
0.0097396420,0.2862059772
0.0097546568,0.2886376083
0.0097696716,0.2910700738
0.0097846864,0.2935033441
0.0097997012,0.2959373593
0.0098147159,0.2983721495
0.0098297307,0.3008076549
0.0098447455,0.3032439053
0.0098597603,0.3056808710
0.0098747751,0.3081184924
0.0098897899,0.3105567694
0.0099048046,0.3129957616
0.0099198194,0.3154353499
0.0099348342,0.3178755641
0.0099498490,0.3203163743
