t[s],Power[W m^-3]
0.0,0.0
0.017255313995510606,767832.9200966173
0.03451062799102121,1535665.8401932346
0.05176594198653182,2303498.760289852
0.06902125598204242,3071331.6803864692
0.08627656997755304,3839164.6004830874
0.10353188397306363,4606997.520579704
0.12078719796857423,5374830.440676321
0.13804251196408485,6142663.3607729385
0.15529782595959546,6910496.2808695575
0.17255313995510607,7678329.200966175
0.18980845395061666,8446162.121062791
0.20706376794612727,9213995.041159408
0.22431908194163788,9981827.961256025
0.24157439593714847,10749660.881352643
0.2588297099326591,11517493.80144926
0.2760850239281697,12285326.721545877
0.2933403379236803,13053159.641642496
0.3105956519191909,13820992.561739115
0.32785096591470153,14588825.48183573
0.34510627991021214,15356658.40193235
0.3623615939057227,16124491.322028963
0.3796169079012333,16892324.242125582
0.3968722218967439,17660157.1622222
0.41412753589225454,18427990.082318816
0.43138284988776515,19195823.002415434
0.44863816388327576,19963655.92251205
0.4658934778787864,20731488.842608668
0.48314879187429693,21499321.762705285
0.5004041058698075,22267154.682801902
0.5176594198653182,23034987.60289852
0.5349147338608288,23802820.52299514
0.5521700478563394,24570653.443091754
0.56942536185185,25338486.363188375
0.5866806758473606,26106319.283284992
0.6039359898428712,26874152.203381613
0.6211913038383818,27641985.12347823
0.6384466178338924,28409818.04357484
0.6557019318294031,29177650.96367146
0.6729572458249137,29945483.883768078
0.6902125598204243,30713316.8038647
0.7074678738159348,31481149.723961316
0.7247231878114454,32248982.644057926
0.741978501806956,33016815.564154547
0.7592338158024666,33784648.484251164
0.7764891297979772,34552481.40434778
0.7937444437934879,35320314.3244444
0.8109997577889985,36088147.24454101
0.8282550717845091,36855980.16463763
0.8455103857800197,37623813.08473425
0.8627656997755303,38391646.00483087
0.8800210137710409,39159478.92492749
0.8972763277665515,39927311.8450241
0.9145316417620621,40695144.76512073
0.9317869557575728,41462977.685217336
0.9490422697530834,42230810.60531396
0.9662975837485939,42998643.52541057
0.9835528977441045,43766476.44550719
1.000808211739615,44534309.365603805
1.0180635257351258,45302142.285700426
1.0353188397306363,46069975.20579704
