[Name],
PowerSample6,
[Spatial Fields],
t,
[Data],
t[s],Power[W m^-3]
0.0000000000,0.0000000000
0.0202020202,764246.5112453630
0.0404040404,1528493.0224907200
0.0606060606,2292739.5337360800
0.0808080808,3056986.0449814500
0.1010101010,3821232.5562268100
0.1212121212,4585479.0674721700
0.1414141414,5349725.5787175400
0.1616161616,6113972.0899629000
0.1818181818,6878218.6012082600
0.2020202020,7642465.1124536300
0.2222222222,8406711.6236989900
0.2424242424,9170958.1349443500
0.2626262626,9935204.6461897200
0.2828282828,10699451.1574350000
0.3030303030,11463697.6686804000
0.3232323232,12227944.1799258000
0.3434343434,12992190.6911711000
0.3636363636,13756437.2024165000
0.3838383838,14520683.7136619000
0.4040404040,15284930.2249072000
0.4242424242,16049176.7361526000
0.4444444444,16813423.2473979000
0.4646464646,17577669.7586433000
0.4848484848,18341916.2698887000
0.5050505051,19106162.7811340000
0.5252525253,19870409.2923794000
0.5454545455,20634655.8036248000
0.5656565657,21398902.3148701000
0.5858585859,22163148.8261155000
0.6060606061,22927395.3373609000
0.6262626263,23691641.8486062000
0.6464646465,24455888.3598516000
0.6666666667,25220134.8710969000
0.6868686869,25984381.3823423000
0.7070707071,26748627.8935877000
0.7272727273,27512874.4048330000
0.7474747475,28277120.9160784000
0.7676767677,29041367.4273238000
0.7878787879,29805613.9385691000
0.8080808081,30569860.4498145000
0.8282828283,31334106.9610599000
0.8484848485,32098353.4723052000
0.8686868687,32862599.9835506000
0.8888888889,33626846.4947959000
0.9090909091,34391093.0060413000
0.9292929293,35155339.5172867000
0.9494949495,35919586.0285320000
0.9696969697,36683832.5397774000
0.9898989899,37448079.0510228000
1.0101010101,38212325.5622681000
1.0303030303,38976572.0735135000
1.0505050505,39740818.5847588000
1.0707070707,40505065.0960042000
1.0909090909,41269311.6072496000
1.1111111111,42033558.1184949000
1.1313131313,42797804.6297403000
1.1515151515,43562051.1409857000
1.1717171717,44326297.6522310000
1.1919191919,45090544.1634764000
1.2121212121,45854790.6747218000
1.2323232323,46619037.1859671000
1.2525252525,47383283.6972125000
1.2727272727,48147530.2084578000
1.2929292929,48911776.7197032000
1.3131313131,49676023.2309486000
1.3333333333,50440269.7421939000
1.3535353535,51204516.2534393000
1.3737373737,51968762.7646847000
1.3939393939,52733009.2759300000
1.4141414141,53497255.7871754000
1.4343434343,54261502.2984207000
1.4545454545,55025748.8096661000
1.4747474747,55789995.3209115000
1.4949494949,56554241.8321568000
1.5151515152,57318488.3434022000
1.5353535354,58082734.8546476000
1.5555555556,58846981.3658929000
1.5757575758,59611227.8771383000
1.5959595960,60375474.3883837000
1.6161616162,61139720.8996290000
1.6363636364,61903967.4108744000
1.6565656566,62668213.9221198000
1.6767676768,63432460.4333651000
1.6969696970,64196706.9446105000
1.7171717172,64960953.4558558000
1.7373737374,65725199.9671012000
1.7575757576,66489446.4783466000
1.7777777778,67253692.9895919000
1.7979797980,68017939.5008373000
1.8181818182,68782186.0120827000
1.8383838384,69546432.5233280000
1.8585858586,70310679.0345734000
1.8787878788,71074925.5458187000
1.8989898990,71839172.0570641000
1.9191919192,72603418.5683095000
1.9393939394,73367665.0795548000
1.9595959596,74131911.5908002000
1.9797979798,74896158.1020456000
2.0000000000,75660404.6132909000
2.0100000000,75660404.6132909000
9.9990000000,75660404.6132909000
10.0010000000,75660404.6132909000
10.0211919192,74896158.1020456000
10.0413838384,74131911.5908002000
10.0615757576,73367665.0795548000
10.0817676768,72603418.5683095000
10.1019595960,71839172.0570641000
10.1221515152,71074925.5458187000
10.1423434343,70310679.0345734000
10.1625353535,69546432.5233280000
10.1827272727,68782186.0120827000
10.2029191919,68017939.5008373000
10.2231111111,67253692.9895919000
10.2433030303,66489446.4783466000
10.2634949495,65725199.9671012000
10.2836868687,64960953.4558558000
10.3038787879,64196706.9446105000
10.3240707071,63432460.4333651000
10.3442626263,62668213.9221197000
10.3644545455,61903967.4108744000
10.3846464646,61139720.8996290000
10.4048383838,60375474.3883837000
10.4250303030,59611227.8771383000
10.4452222222,58846981.3658929000
10.4654141414,58082734.8546476000
10.4856060606,57318488.3434022000
10.5057979798,56554241.8321568000
10.5259898990,55789995.3209115000
10.5461818182,55025748.8096661000
10.5663737374,54261502.2984207000
10.5865656566,53497255.7871754000
10.6067575758,52733009.2759300000
10.6269494949,51968762.7646847000
10.6471414141,51204516.2534393000
10.6673333333,50440269.7421939000
10.6875252525,49676023.2309486000
10.7077171717,48911776.7197032000
10.7279090909,48147530.2084578000
10.7481010101,47383283.6972125000
10.7682929293,46619037.1859671000
10.7884848485,45854790.6747217000
10.8086767677,45090544.1634764000
10.8288686869,44326297.6522310000
10.8490606061,43562051.1409857000
10.8692525253,42797804.6297403000
10.8894444444,42033558.1184949000
10.9096363636,41269311.6072496000
10.9298282828,40505065.0960042000
10.9500202020,39740818.5847588000
10.9702121212,38976572.0735135000
10.9904040404,38212325.5622681000
11.0105959596,37448079.0510228000
11.0307878788,36683832.5397774000
11.0509797980,35919586.0285320000
11.0711717172,35155339.5172867000
11.0913636364,34391093.0060413000
11.1115555556,33626846.4947959000
11.1317474747,32862599.9835506000
11.1519393939,32098353.4723052000
11.1721313131,31334106.9610598000
11.1923232323,30569860.4498145000
11.2125151515,29805613.9385691000
11.2327070707,29041367.4273237000
11.2528989899,28277120.9160784000
11.2730909091,27512874.4048330000
11.2932828283,26748627.8935877000
11.3134747475,25984381.3823423000
11.3336666667,25220134.8710969000
11.3538585859,24455888.3598516000
11.3740505051,23691641.8486062000
11.3942424242,22927395.3373608000
11.4144343434,22163148.8261155000
11.4346262626,21398902.3148701000
11.4548181818,20634655.8036248000
11.4750101010,19870409.2923794000
11.4952020202,19106162.7811340000
11.5153939394,18341916.2698887000
11.5355858586,17577669.7586433000
11.5557777778,16813423.2473979000
11.5759696970,16049176.7361526000
11.5961616162,15284930.2249072000
11.6163535354,14520683.7136618000
11.6365454545,13756437.2024165000
11.6567373737,12992190.6911711000
11.6769292929,12227944.1799258000
11.6971212121,11463697.6686804000
11.7173131313,10699451.1574350000
11.7375050505,9935204.6461897200
11.7576969697,9170958.1349443500
11.7778888889,8406711.6236989900
11.7980808081,7642465.1124536200
11.8182727273,6878218.6012082600
11.8384646465,6113972.0899629000
11.8586565657,5349725.5787175300
11.8788484848,4585479.0674721700
11.8990404040,3821232.5562268000
11.9192323232,3056986.0449814400
11.9394242424,2292739.5337360800
11.9596161616,1528493.0224907100
11.9798080808,764246.5112453590
12.0000000000,0.0000000000
12.0100000000,0.0000000000
15.0000000000,0.0000000000
