[Name],
PowerSample1,
[Spatial Fields],
t,
[Data],
t[s],Power[W m^-3]
0.0000000000,0.0000000000
0.0202020202,766147.1749571310
0.0404040404,1532294.3499142600
0.0606060606,2298441.5248713900
0.0808080808,3064588.6998285200
0.1010101010,3830735.8747856500
0.1212121212,4596883.0497427800
0.1414141414,5363030.2246999200
0.1616161616,6129177.3996570500
0.1818181818,6895324.5746141800
0.2020202020,7661471.7495713100
0.2222222222,8427618.9245284400
0.2424242424,9193766.0994855700
0.2626262626,9959913.2744427000
0.2828282828,10726060.4493998000
0.3030303030,11492207.6243569000
0.3232323232,12258354.7993141000
0.3434343434,13024501.9742712000
0.3636363636,13790649.1492283000
0.3838383838,14556796.3241854000
0.4040404040,15322943.4991426000
0.4242424242,16089090.6740997000
0.4444444444,16855237.8490568000
0.4646464646,17621385.0240140000
0.4848484848,18387532.1989711000
0.5050505051,19153679.3739282000
0.5252525253,19919826.5488854000
0.5454545455,20685973.7238425000
0.5656565657,21452120.8987996000
0.5858585859,22218268.0737568000
0.6060606061,22984415.2487139000
0.6262626263,23750562.4236710000
0.6464646465,24516709.5986282000
0.6666666667,25282856.7735853000
0.6868686869,26049003.9485424000
0.7070707071,26815151.1234996000
0.7272727273,27581298.2984567000
0.7474747475,28347445.4734138000
0.7676767677,29113592.6483709000
0.7878787879,29879739.8233281000
0.8080808081,30645886.9982852000
0.8282828283,31412034.1732423000
0.8484848485,32178181.3481995000
0.8686868687,32944328.5231566000
0.8888888889,33710475.6981137000
0.9090909091,34476622.8730709000
0.9292929293,35242770.0480280000
0.9494949495,36008917.2229851000
0.9696969697,36775064.3979423000
0.9898989899,37541211.5728994000
1.0101010101,38307358.7478565000
1.0303030303,39073505.9228137000
1.0505050505,39839653.0977708000
1.0707070707,40605800.2727279000
1.0909090909,41371947.4476851000
1.1111111111,42138094.6226422000
1.1313131313,42904241.7975993000
1.1515151515,43670388.9725564000
1.1717171717,44436536.1475136000
1.1919191919,45202683.3224707000
1.2121212121,45968830.4974278000
1.2323232323,46734977.6723850000
1.2525252525,47501124.8473421000
1.2727272727,48267272.0222992000
1.2929292929,49033419.1972564000
1.3131313131,49799566.3722135000
1.3333333333,50565713.5471706000
1.3535353535,51331860.7221278000
1.3737373737,52098007.8970849000
1.3939393939,52864155.0720420000
1.4141414141,53630302.2469992000
1.4343434343,54396449.4219563000
1.4545454545,55162596.5969134000
1.4747474747,55928743.7718706000
1.4949494949,56694890.9468277000
1.5151515152,57461038.1217848000
1.5353535354,58227185.2967419000
1.5555555556,58993332.4716991000
1.5757575758,59759479.6466562000
1.5959595960,60525626.8216133000
1.6161616162,61291773.9965705000
1.6363636364,62057921.1715276000
1.6565656566,62824068.3464847000
1.6767676768,63590215.5214419000
1.6969696970,64356362.6963990000
1.7171717172,65122509.8713561000
1.7373737374,65888657.0463133000
1.7575757576,66654804.2212704000
1.7777777778,67420951.3962275000
1.7979797980,68187098.5711847000
1.8181818182,68953245.7461418000
1.8383838384,69719392.9210989000
1.8585858586,70485540.0960560000
1.8787878788,71251687.2710132000
1.8989898990,72017834.4459703000
1.9191919192,72783981.6209274000
1.9393939394,73550128.7958846000
1.9595959596,74316275.9708417000
1.9797979798,75082423.1457988000
2.0000000000,75848570.3207560000
2.0100000000,75848570.3207560000
9.9990000000,75848570.3207560000
10.0010000000,75848570.3207560000
10.0211919192,75082423.1457988000
10.0413838384,74316275.9708417000
10.0615757576,73550128.7958846000
10.0817676768,72783981.6209274000
10.1019595960,72017834.4459703000
10.1221515152,71251687.2710132000
10.1423434343,70485540.0960560000
10.1625353535,69719392.9210989000
10.1827272727,68953245.7461418000
10.2029191919,68187098.5711847000
10.2231111111,67420951.3962275000
10.2433030303,66654804.2212704000
10.2634949495,65888657.0463133000
10.2836868687,65122509.8713561000
10.3038787879,64356362.6963990000
10.3240707071,63590215.5214419000
10.3442626263,62824068.3464847000
10.3644545455,62057921.1715276000
10.3846464646,61291773.9965705000
10.4048383838,60525626.8216133000
10.4250303030,59759479.6466562000
10.4452222222,58993332.4716991000
10.4654141414,58227185.2967419000
10.4856060606,57461038.1217848000
10.5057979798,56694890.9468277000
10.5259898990,55928743.7718705000
10.5461818182,55162596.5969134000
10.5663737374,54396449.4219563000
10.5865656566,53630302.2469992000
10.6067575758,52864155.0720420000
10.6269494949,52098007.8970849000
10.6471414141,51331860.7221277000
10.6673333333,50565713.5471706000
10.6875252525,49799566.3722135000
10.7077171717,49033419.1972564000
10.7279090909,48267272.0222992000
10.7481010101,47501124.8473421000
10.7682929293,46734977.6723850000
10.7884848485,45968830.4974278000
10.8086767677,45202683.3224707000
10.8288686869,44436536.1475136000
10.8490606061,43670388.9725564000
10.8692525253,42904241.7975993000
10.8894444444,42138094.6226422000
10.9096363636,41371947.4476850000
10.9298282828,40605800.2727279000
10.9500202020,39839653.0977708000
10.9702121212,39073505.9228137000
10.9904040404,38307358.7478565000
11.0105959596,37541211.5728994000
11.0307878788,36775064.3979423000
11.0509797980,36008917.2229851000
11.0711717172,35242770.0480280000
11.0913636364,34476622.8730709000
11.1115555556,33710475.6981137000
11.1317474747,32944328.5231566000
11.1519393939,32178181.3481995000
11.1721313131,31412034.1732423000
11.1923232323,30645886.9982852000
11.2125151515,29879739.8233281000
11.2327070707,29113592.6483709000
11.2528989899,28347445.4734138000
11.2730909091,27581298.2984567000
11.2932828283,26815151.1234995000
11.3134747475,26049003.9485424000
11.3336666667,25282856.7735853000
11.3538585859,24516709.5986282000
11.3740505051,23750562.4236710000
11.3942424242,22984415.2487139000
11.4144343434,22218268.0737568000
11.4346262626,21452120.8987996000
11.4548181818,20685973.7238425000
11.4750101010,19919826.5488854000
11.4952020202,19153679.3739282000
11.5153939394,18387532.1989711000
11.5355858586,17621385.0240140000
11.5557777778,16855237.8490568000
11.5759696970,16089090.6740997000
11.5961616162,15322943.4991426000
11.6163535354,14556796.3241854000
11.6365454545,13790649.1492283000
