t[s],Power[W m^-3]
0.0,0.0
0.02557389616420616,768149.1366418399
0.05114779232841232,1536298.2732836797
0.07672168849261848,2304447.4099255195
0.10229558465682465,3072596.5465673595
0.1278694808210308,3840745.6832091995
0.15344337698523697,4608894.819851039
0.17901727314944313,5377043.9564928785
0.2045911693136493,6145193.093134719
0.23016506547785545,6913342.2297765585
0.2557389616420616,7681491.366418399
0.2813128578062678,8449640.503060238
0.30688675397047394,9217789.639702078
0.33246065013468007,9985938.776343916
0.35803454629888626,10754087.912985757
0.38360844246309245,11522237.049627598
0.4091823386272986,12290386.186269438
0.4347562347915047,13058535.322911276
0.4603301309557109,13826684.459553117
0.4859040271199171,14594833.596194956
0.5114779232841232,15362982.732836798
0.5370518194483294,16131131.869478635
0.5626257156125356,16899281.006120477
0.5881996117767417,17667430.14276232
0.6137735079409479,18435579.279404156
0.639347404105154,19203728.416045997
0.6649213002693601,19971877.55268783
0.6904951964335664,20740026.68932968
0.7160690925977725,21508175.825971514
0.7416429887619786,22276324.962613355
0.7672168849261849,23044474.099255197
0.792790781090391,23812623.235897034
0.8183646772545972,24580772.372538876
0.8439385734188033,25348921.50918071
0.8695124695830094,26117070.64582255
0.8950863657472157,26885219.782464396
0.9206602619114218,27653368.919106234
0.9462341580756279,28421518.05574807
0.9718080542398342,29189667.192389913
0.9973819504040403,29957816.329031754
1.0229558465682465,30725965.465673596
1.0485297427324527,31494114.602315437
1.0741036388966587,32262263.73895727
1.099677535060865,33030412.87559911
1.1252514312250712,33798562.012240954
1.1508253273892772,34566711.14888279
1.1763992235534835,35334860.28552464
1.2019731197176895,36103009.42216647
1.2275470158818957,36871158.55880831
1.253120912046102,37639307.69545015
1.278694808210308,38407456.832091995
1.3042687043745143,39175605.968733825
1.3298426005387203,39943755.10537566
1.3554164967029265,40711904.24201751
1.3809903928671328,41480053.37865936
1.4065642890313388,42248202.51530119
1.432138185195545,43016351.65194303
1.4577120813597513,43784500.788584866
1.4832859775239573,44552649.92522671
1.5088598736881635,45320799.061868556
1.5344337698523698,46088948.19851039
1.5600076660165758,46857097.33515222
1.585581562180782,47625246.47179407
1.611155458344988,48393395.60843591
1.6367293545091943,49161544.74507775
1.6623032506734006,49929693.8817196
1.6878771468376066,50697843.01836142
1.7134510430018128,51465992.15500327
1.7390249391660189,52234141.2916451
1.764598835330225,53002290.42828695
1.7901727314944313,53770439.56492879
1.8157466276586374,54538588.70157062
1.8413205238228436,55306737.83821247
1.8668944199870499,56074886.97485431
1.8924683161512559,56843036.11149614
1.9180422123154621,57611185.24813799
1.9436161084796684,58379334.384779826
1.9691900046438744,59147483.52142166
1.9947639008080806,59915632.65806351
2.020337796972287,60683781.79470535
2.045911693136493,61451930.93134719
2.071485589300699,62220080.067989014
2.0970594854649054,62988229.204630874
2.1226333816291114,63756378.341272704
2.1482072777933174,64524527.47791454
2.173781173957524,65292676.61455639
2.19935507012173,66060825.75119822
2.224928966285936,66828974.88784006
2.2505028624501424,67597124.02448191
2.2760767586143484,68365273.16112374
2.3016506547785545,69133422.29776558
2.3272245509427605,69901571.43440741
2.352798447106967,70669720.57104927
2.378372343271173,71437869.7076911
2.403946239435379,72206018.84433293
2.4295201355995855,72974167.98097478
2.4550940317637915,73742317.11761662
2.4806679279279975,74510466.25425845
2.506241824092204,75278615.3909003
2.53181572025641,76046764.52754214
2.54181572025641,76046764.52754214
9.999,76046764.52754214
10.001,76046764.52754214
10.026563795154104,75278615.3909003
10.05212759030821,74510466.25425845
10.077691385462314,73742317.11761662
10.10325518061642,72974167.98097478
10.128818975770525,72206018.84433293
10.15438277092463,71437869.7076911
10.179946566078735,70669720.57104926
10.205510361232841,69901571.43440743
10.231074156386946,69133422.29776558
10.256637951541052,68365273.16112374
10.282201746695156,67597124.0244819
10.307765541849262,66828974.88784006
10.333329337003367,66060825.75119822
10.358893132157473,65292676.61455639
10.384456927311577,64524527.47791454
10.410020722465681,63756378.34127269
10.435584517619787,62988229.20463086
10.461148312773892,62220080.067989014
10.486712107927998,61451930.931347184
10.512275903082102,60683781.79470534
10.537839698236208,59915632.6580635
10.563403493390313,59147483.521421656
10.588967288544419,58379334.38477982
10.614531083698523,57611185.24813799
10.64009487885263,56843036.111496136
10.665658674006734,56074886.97485431
10.69122246916084,55306737.83821247
10.716786264314944,54538588.70157062
10.74235005946905,53770439.564928785
10.767913854623155,53002290.42828694
10.793477649777259,52234141.2916451
10.819041444931365,51465992.15500326
10.84460524008547,50697843.01836143
10.870169035239575,49929693.88171958
10.89573283039368,49161544.745077744
10.921296625547786,48393395.60843591
10.94686042070189,47625246.47179407
10.972424215855996,46857097.33515222
10.9979880110101,46088948.19851038
11.023551806164207,45320799.06186854
11.049115601318311,44552649.92522671
11.074679396472416,43784500.78858486
11.100243191626522,43016351.65194303
11.125806986780628,42248202.51530118
11.151370781934732,41480053.378659345
11.176934577088836,40711904.2420175
11.202498372242943,39943755.10537567
11.228062167397047,39175605.968733825
11.253625962551153,38407456.83209199
11.279189757705257,37639307.69545014
11.304753552859363,36871158.55880831
11.330317348013468,36103009.422166474
11.355881143167574,35334860.28552463
11.381444938321678,34566711.148882784
11.407008733475784,33798562.01224095
11.432572528629889,33030412.87559911
11.458136323783993,32262263.73895727
11.4837001189381,31494114.60231543
11.509263914092204,30725965.46567359
11.53482770924631,29957816.32903174
11.560391504400414,29189667.192389913
11.58595529955452,28421518.055748068
11.611519094708624,27653368.919106234
11.63708288986273,26885219.782464385
11.662646685016835,26117070.645822544
11.688210480170941,25348921.509180713
