Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
0.1099999990,298.1500550000,298.1574710000,298.1644590000,298.1758420000,298.1771550000,298.1527400000,298.1499940000,0.5280068520,0.2713014480,298.1500550000,0.2170435040,298.1500240000,0.2170435040,298.1500240000,0.1271580160,298.1500240000,0.0431298390,298.1499940000,298.1510620000,298.1503600000,298.1501460000,298.1500550000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,0.1168110300,298.1592100000,298.1535640000,298.1510620000,298.1717530000
0.1199999970,298.1500550000,298.1589970000,298.1672970000,298.1808170000,298.1823430000,298.1532590000,298.1499940000,0.5280068520,0.2707869710,298.1501160000,0.2167890070,298.1500550000,0.2167890070,298.1500550000,0.1272676440,298.1500240000,0.0425784029,298.1499940000,298.1514280000,298.1505740000,298.1502380000,298.1501160000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,0.1350141470,298.1611940000,298.1545410000,298.1514280000,298.1759340000
0.1299999950,298.1500850000,298.1606750000,298.1704100000,298.1862180000,298.1879880000,298.1538700000,298.1499940000,0.5280068520,0.2703369860,298.1501770000,0.2164274160,298.1500850000,0.2164274160,298.1500850000,0.1272751690,298.1500550000,0.0419316851,298.1499940000,298.1518860000,298.1507870000,298.1503910000,298.1501770000,298.1500550000,298.1499940000,298.1499940000,298.1499940000,0.1503173260,298.1633610000,298.1556090000,298.1518860000,298.1804810000
0.1400000010,298.1500850000,298.1624760000,298.1737980000,298.1920780000,298.1940920000,298.1544800000,298.1499940000,0.5280068520,0.2700166700,298.1502690000,0.2160660770,298.1501460000,0.2160660770,298.1501460000,0.1271954770,298.1500550000,0.0412166044,298.1500240000,298.1524050000,298.1510620000,298.1505430000,298.1502690000,298.1500550000,298.1500240000,298.1499940000,298.1500240000,0.1618623440,298.1657410000,298.1567990000,298.1524050000,298.1853940000
0.1500000060,298.1500850000,298.1644290000,298.1774290000,298.1983950000,298.2006530000,298.1551820000,298.1499940000,0.5280068520,0.2698121960,298.1504210000,0.2157620190,298.1502380000,0.2157620190,298.1502380000,0.1270739140,298.1500850000,0.0404816046,298.1500240000,298.1529850000,298.1513980000,298.1507570000,298.1504210000,298.1500850000,298.1500240000,298.1499940000,298.1500240000,0.1696928140,298.1683040000,298.1581420000,298.1529850000,298.1906740000
0.1599999960,298.1501160000,298.1665340000,298.1813050000,298.2051090000,298.2076720000,298.1559140000,298.1499940000,0.5280068520,0.2696862220,298.1506040000,0.2155351190,298.1503600000,0.2155351190,298.1503600000,0.1269515900,298.1501460000,0.0397778749,298.1500240000,298.1535950000,298.1517640000,298.1510010000,298.1506040000,298.1501460000,298.1500240000,298.1499940000,298.1500240000,0.1743824330,298.1710510000,298.1595460000,298.1535950000,298.1962890000
0.1700000020,298.1501160000,298.1687620000,298.1854550000,298.2123110000,298.2151490000,298.1566770000,298.1499940000,0.5280068520,0.2696116570,298.1507870000,0.2153870760,298.1504820000,0.2153870760,298.1504820000,0.1268559250,298.1502080000,0.0391428694,298.1500240000,298.1542970000,298.1521910000,298.1512760000,298.1507870000,298.1502380000,298.1500550000,298.1499940000,298.1500550000,0.1767434330,298.1740110000,298.1611020000,298.1542970000,298.2023010000
0.1800000070,298.1501460000,298.1711430000,298.1898500000,298.2199100000,298.2230530000,298.1575320000,298.1499940000,0.5280068520,0.2695702610,298.1510310000,0.2153064010,298.1506350000,0.2153064010,298.1506350000,0.1267965880,298.1502690000,0.0385976061,298.1500550000,298.1550900000,298.1526490000,298.1515810000,298.1510310000,298.1503600000,298.1500850000,298.1499940000,298.1500550000,0.1775856320,298.1771550000,298.1627810000,298.1550900000,298.2086790000
0.1899999980,298.1501770000,298.1736760000,298.1945190000,298.2279660000,298.2314450000,298.1583860000,298.1499940000,0.5280068520,0.2695489530,298.1513060000,0.2152733950,298.1508180000,0.2152733950,298.1508180000,0.1267685290,298.1503600000,0.0381485932,298.1500550000,298.1559140000,298.1531370000,298.1519170000,298.1513060000,298.1504820000,298.1501460000,298.1499940000,298.1500850000,0.1775460540,298.1804810000,298.1645510000,298.1559140000,298.2154240000
0.2000000030,298.1501770000,298.1763310000,298.1994320000,298.2364500000,298.2402650000,298.1593320000,298.1499940000,0.5280068520,0.2695389990,298.1516110000,0.2152679410,298.1510310000,0.2152679410,298.1510310000,0.1267602590,298.1504820000,0.0377910472,298.1500850000,298.1567990000,298.1536870000,298.1523130000,298.1516110000,298.1506350000,298.1502080000,298.1499940000,298.1501460000,0.1770623030,298.1840210000,298.1664430000,298.1567990000,298.2225040000
