 Y [ m ], Velocity [ m s^-1 ]
0.0079979273,0.0822565109
0.0080129420,0.0820929110
0.0080279568,0.0819295123
0.0080429716,0.0817663148
0.0080579864,0.0816033185
0.0080730012,0.0814405158
0.0080880160,0.0812779292
0.0081030307,0.0811155364
0.0081180455,0.0809533596
0.0081330603,0.0807811320
0.0081480751,0.0806001946
0.0081630899,0.0804209635
0.0081781046,0.0802434161
0.0081931194,0.0800675824
0.0082081342,0.0798934773
0.0082231490,0.0797211230
0.0082381638,0.0795504898
0.0082531786,0.0793816298
0.0082681933,0.0792145357
0.0082832081,0.0790492222
0.0082982229,0.0788856968
0.0083132377,0.0787239745
0.0083282525,0.0785640702
0.0083432673,0.0784059837
0.0083582820,0.0782497376
0.0083732968,0.0780953318
0.0083883116,0.0779427961
0.0084033264,0.0777921230
0.0084183412,0.0776433349
0.0084333559,0.0774964243
0.0084483707,0.0773514211
0.0084633855,0.0772083327
0.0084784003,0.0770671666
0.0084934151,0.0769279301
0.0085084299,0.0767906383
0.0085234446,0.0766553059
0.0085384594,0.0765219331
0.0085534742,0.0763905346
0.0085684890,0.0756851584
0.0085835038,0.0746941566
0.0085985186,0.0737266466
0.0086135333,0.0727835596
0.0086285481,0.0718658790
0.0086435629,0.0709745809
0.0086585777,0.0701106563
0.0086735925,0.0692751333
0.0086886073,0.0684690773
0.0087036220,0.0676935241
0.0087186368,0.0669495240
0.0087336516,0.0662381426
0.0087486664,0.0655604675
0.0087636812,0.0649175271
0.0087786959,0.0643103644
0.0087937107,0.0637400225
0.0088087255,0.0632074699
0.0088237403,0.0627136901
0.0088387551,0.0622596033
0.0088537699,0.0618460774
0.0088687846,0.0614739321
0.0088837994,0.0611439273
0.0088988142,0.0608567446
0.0089138290,0.0606129915
0.0089288438,0.0604131967
0.0089438586,0.0602577962
0.0089588733,0.0601471365
0.0089738881,0.0600814633
0.0089889029,0.0600609221
0.0090039177,0.0600855611
0.0090189325,0.0601553246
0.0090339473,0.0602700561
0.0090489620,0.0604294986
0.0090639768,0.0606333017
0.0090789916,0.0608810149
0.0090940064,0.0611721091
0.0091090212,0.0615059733
0.0091240359,0.0618818998
0.0091390507,0.0622991398
0.0091540655,0.0627568737
0.0091690803,0.0633352846
0.0091840951,0.0640040860
0.0091991099,0.0647170693
0.0092141246,0.0654727891
0.0092291394,0.0662697777
0.0092441542,0.0671065748
0.0092591690,0.0679817051
0.0092741838,0.0688937083
0.0092891986,0.0698411390
0.0093042133,0.0708225742
0.0093192281,0.0718366206
0.0093342429,0.0728819221
0.0093492577,0.0745951235
0.0093642725,0.0802837834
0.0093792873,0.0860580876
0.0093943020,0.0919018835
0.0094093168,0.0978026688
0.0094243316,0.1037507728
0.0094393464,0.1097384840
0.0094543612,0.1157596633
0.0094693759,0.1218093187
0.0094843907,0.1278834641
0.0094994055,0.1339787096
0.0095144203,0.1400923282
0.0095294351,0.1462220252
0.0095444499,0.1523658335
0.0095594646,0.1585221589
0.0095744794,0.1646895409
0.0095894942,0.1708668172
0.0096045090,0.1770529300
0.0096195238,0.1832470149
0.0096345386,0.1894482821
0.0096495533,0.1963001341
0.0096645681,0.2034376264
0.0096795829,0.2105794400
0.0096945977,0.2177251875
0.0097096125,0.2248744965
0.0097246272,0.2320270091
0.0097396420,0.2391824424
0.0097546568,0.2463405281
0.0097696716,0.2535010874
0.0097846864,0.2606638670
0.0097997012,0.2678287327
0.0098147159,0.2749955058
0.0098297307,0.2821640670
0.0098447455,0.2893341780
0.0098597603,0.2965058684
0.0098747751,0.3036789596
0.0098897899,0.3108533323
0.0099048046,0.3180289269
0.0099198194,0.3252056539
0.0099348342,0.3323834240
0.0099498490,0.3395622373
0.0099648638,0.3467419446
0.0099798786,0.3539225757
0.0099948933,0.3611040115
0.0100099081,0.3682861924
0.0100249229,0.3754691184
0.0100399377,0.3826527894
0.0100549525,0.3898370564
0.0100699672,0.3968166411
0.0100849820,0.4037087560
0.0100999968,0.4106012881
0.0101150116,0.4174941480
